Q31	बेल्जियम
Q657004	कँटरबरी प्रदेश
Q678730	२०१३ ऑस्ट्रेलियन ओपन
Q693658	इझाबल विभाग
Q744748	जॉर्ज बुश आंतरखंडीय विमानतळ
Q751722	लैंगिक छळ
Q782192	२००० ऑस्ट्रेलियन ओपन
Q806125	बनासकांठा जिल्हा
Q815314	बेलाव्हिया
Q842330	नोकिया ५८०० एक्सप्रेसम्युझिक
Q847618	चिनी बौद्ध धर्म
Q850256	शीन्टी
Q851356	मॅक्रोमीडिया फ्रीहॅन्ड
Q854979	भिक्खुणी
Q855054	भोपाळ विभाग
Q865146	बिरेंद्रनगर
Q870138	मेरीलँड काउंटी
Q877155	चेर साम्राज्य
Q904519	मॅक ओएस ९
Q907112	ट्रान्सनिस्ट्रिया
Q944356	दिल से..
Q948720	भारतीय विज्ञान संस्था
Q963718	मारुती सुझुकी
Q984264	फ्रैंकलिन
Q1085464	सुदान फुटबॉल संघ
Q1121020	रेडबूक (सीडी-डिए ऑडिओ)
Q1140046	गणिताच्या शाखा
Q1140557	अ ॅडोबे फ्लॅश बिल्डर
Q1153760	मायक्रोसॉफ्ट ऑफिस २००३ मराठी
Q1163330	महाराज
Q1248784	विमानतळ
Q1321958	मार्क्सवादी स्त्रीवाद
Q1431295	फेरबँक्स आंतरराष्ट्रीय विमानतळ
Q1541064	गंधज्ञान
Q1650120	नोकिया ६२३३
Q1651187	नोकिया एन८५
Q1798750	आणंद
Q1854343	विंडोज फोन ७
Q2118067	वॉरविक
Q2176651	दशावतार
Q2297724	अंकारा प्रांत
Q2298993	तरन तारन जिल्हा
Q2353931	गदग जिल्हा
Q2445525	एमएसएक्स-डॉस
Q2561180	योरो
Q2586973	सिस्टर निर्मला जोशी
Q2721919	सुखदेव थापर
Q3181879	नायगन
Q3253281	तळे
Q3524853	आळ्वार
Q3532499	मलिंदा वर्णपुरा
Q3572804	विश्वरूपम
Q3595222	कलाकंद
Q3595751	कवियूर पोन्नम्मा
Q3606845	कृषि विज्ञान
Q4817467	आटपाडी
Q4990531	संवेदनाहारक
Q5090723	चन चोंग स्वी
Q5138347	जलदुर्ग
Q5423287	एळुपुन्न
Q5447188	द्रावण
Q6178890	खोरासान प्रांत
Q6373506	कर्तारसिंग दुग्गल
Q6733343	महाराष्ट्र विधानसभा
Q6968410	नटरंग (चित्रपट)
Q7237277	प्रबुद्ध भारत
Q8575586	उमायद खिलाफत
Q12413015	अंधेरी
Q27	आयर्लंडचे प्रजासत्ताक
Q49	उत्तर अमेरिका
Q64	बर्लिन
Q115	इथियोपिया
Q145	युनायटेड किंग्डम
Q173	अलाबामा
Q189	आइसलँड
Q212	युक्रेन
Q221	मॅसिडोनिया
Q222	आल्बेनिया
Q229	सायप्रस
Q287	लाकूड
Q294	इस्लेन्स्का भाषा
Q361	पहिले महायुद्ध
Q384	स्कोप्ये
Q437	लियुब्लियाना
Q525	सूर्य
Q574	पूर्व तिमोर
Q612	दुबई
Q615	लायोनेल मेस्सी
Q677	लोखंड
Q691	पापुआ न्यू गिनी
Q697	नौरू
Q712	फिजी
Q724	मेन
Q734	गयाना
Q736	इक्वेडोर
Q739	कोलंबिया
Q750	बोलिव्हिया
Q753	तांबे
Q780	कोंबडी
Q781	अँटिगा आणि बार्बुडा
Q783	होन्डुरास
Q803	उट्रेख्त
Q805	येमेनचे प्रजासत्ताक
Q843	पाकिस्तान
Q874	तुर्कमेनिस्तान
Q889	अफगाणिस्तान
Q908	रोस्तोव दॉन
Q914	वोल्गोग्राद
Q928	फिलिपाईन्स
Q956	बीजिंग
Q959	व्लादिवोस्तॉक
Q960	तुवा प्रजासत्ताक
Q1032	नायजर
Q1033	नायजेरिया
Q1037	रवांडा
Q1061	गुजरात
Q1072	हृदय
Q1105	नेप्चूनियम
Q1116	अँटवर्प
Q1118	फ्लाम्स ब्राबांत
Q1164	आसाम
Q1184	झारखंड
Q1202	जाक्सन
Q1210	लोंबार्दिया
Q1239	हिंदी महासागर
Q1243	व्हेनेतो
Q1273	तोस्काना
Q1282	लात्सियो
Q1335	मोन्तेविदेओ
Q1345	फिलाडेल्फिया
Q1354	ढाका
Q1355	बंगळूर
Q1356	पश्चिम बंगाल
Q1362	इस्लामाबाद
Q1394	व्लादिमिर इलिच लेनिन
Q1418	नोकिया
Q1425	ट्राजान
Q1435	झाग्रेब
Q1439	टेक्सास
Q1467	सेबु शहर
Q1492	बार्सिलोना
Q1498	उत्तर प्रदेश
Q1502	मिझोरम
Q1571	मराठी
Q1581	मिसूरी
Q1612	आर्कान्सा
Q1653	डॅन्यूब नदी
Q1734	व्हॉलीबॉल
Q1773	रिगा
Q1794	फ्रांकफुर्ट
Q1803	गॉर्डियन दुसरा
Q1805	बॅल्बिनस
Q1858	हनोई
Q1897	काग्लियारी
Q1952	नोव्हा स्कॉशिया
Q1960	दार एस सलाम
Q1965	न्यू ब्रुन्सविक
Q2028	व्हेरोना
Q2184	रशियाचे सोव्हियेत साम्यवादी संघीय प्रजासत्ताक
Q2462	हायड्रोजन आयोडाइड
Q2516	हेल्मुट श्मिट
Q2539	यंत्र शिक्षण
Q2634	नापोली
Q2736	फुटबॉल
Q2887	सान्तियागो, चिली
Q2973	डार्मश्टाट
Q3130	सिडनी
Q3230	पृथ्वीचे वातावरण
Q3238	तेगुसिगल्पा
Q3258	ऑस्ट्रेलियन कॅपिटल टेरिटोरी
Q3410	हर्टफर्डशायर
Q3437	पेरुजिया
Q3540	बांतेन
Q3551	रबात
Q3559	धूमकेतू
Q3674	नियामे
Q3757	जावा
Q3787	अबुजा
Q3820	बैरूत
Q3856	निकोसिया
Q3903	उत्तर कालिमांतान
Q3935	विंडहोक
Q4443	पोप पायस आठवा
Q5043	ख्रिश्चन धर्म
Q5340	मोर्दोविया प्रजासत्ताक
Q5413	यांगत्से
Q5456	आन्देस
Q5465	केपटाउन
Q5597	रफायेल
Q5879	योहान वोल्फगांग फॉन ग्यॉटे
Q5942	आल्ताय क्राय
Q6320	खान्ती-मान्सी स्वायत्त ऑक्रूग
Q6437	एअर बस ए-३००
Q6506	व्हर्ना
Q6534	फ्रेंच राज्यक्रांती
Q6663	ह्यामबर्गर
Q7204	मध्यपूर्व
Q7207	पहिली एलिझाबेथ, इंग्लंड
Q7604	लिओनार्ड ऑइलर
Q7737	रशियन भाषा
Q7742	चौदावा लुई, फ्रान्स
Q7809	युनेस्को
Q7903	कासाब्लांका
Q8006	अकिरा कुरोसावा
Q8087	भूमिती
Q8343	क्लॅरिनेट
Q8531	१९९६ उन्हाळी ऑलिंपिक
Q8581	सालादिन
Q8652	मायामी
Q8753	एन्रिको फर्मी
Q8877	स्टीव्हन स्पीलबर्ग
Q9106	दिमित्री मेंडेलीव
Q9142	आयरिश भाषा
Q9181	अब्राहम
Q9246	मंगोलियन भाषा
Q9270	थिंफू
Q9387	मॅक्स वेबर
Q9479	आयपॉड
Q9585	शिया इस्लाम
Q9903	मिंग राजवंश
Q9916	ड्वाइट डी. आयझेनहॉवर
Q10086	म्हैसूर
Q10135	लिब्रेऑफिस
Q10690	कार्डिफ
Q10884	झाड
Q11264	क्युबन क्रांती
Q11451	शेती
Q11475	हवाबंद
Q11661	माहिती तंत्रज्ञान
Q11709	लोदी
Q11869	विल्यम हेन्री हॅरिसन
Q11896	झकॅरी टेलर
Q12146	बासल-लांडशाफ्ट
Q12187	प्रतिजैविक
Q12418	मोनालिसा
Q12439	डेट्रॉईट
Q12483	संख्याशास्त्र
Q12526	जिरोंद
Q13437	बेनेवेंटो
Q13670	स्यराक्यूज
Q13840	लागुना
Q13879	सीकुईजोर
Q15207	तिरुवनमलै जिल्हा
Q16224	ऑल्बीया-टेम्पीओ प्रांत
Q16287	ट्यूरिन प्रांत
Q16641	अमेरिकन सामोआ
Q17252	तिबेट
Q17269	तिबेट स्वायत्त प्रदेश
Q18125	मँचेस्टर
Q18575	तुसॉन
Q19673	अॅल गोर
Q19821	त्रिकोण
Q19848	लेडी गागा
Q21195	स्कँडिनेव्हिया
Q21207	विंडोज भ्रमणध्वनी
Q22656	खनिज तेल
Q22905	ब्रॅडफोर्ड
Q23064	चेशायर
Q23077	लँकेशायर
Q23079	नॉर्थअंबरलँड
Q23103	श्रॉपशायर
Q23115	नॉर्थअँप्टनशायर
Q23129	हर्फर्डशायर
Q23165	ग्लॉस्टरशायर
Q23413	गढी
Q23442	बेट
Q23530	दिमित्री मेदवेदेव
Q23635	बर्म्युडा
Q25395	न्यूअर्क
Q25396	बोनरे
Q26576	हफथाली साम्राज्य
Q27293	पश्चिम आशिया
Q27860	जयपुरा
Q28218	बॅटन रूज
Q28389	पटकथाकार
Q28419	मंडन
Q30185	महापौर
Q31063	क्रिसमस द्वीप
Q32112	बॉक्सिंग
Q32620	तुलसी गॅब्बार्ड
Q33971	पान
Q34095	कांसे
Q34366	टास्मानिया
Q34503	दुसरा मेहमेद, ओस्मानी सम्राट
Q35572	युएफा
Q35666	हिमनदी
Q36236	मलयाळम
Q36330	ज्योर्दानो ब्रुनो
Q36963	शिकार
Q37043	टॅलाहासी
Q37090	ट्रिनिटी
Q37122	अथीना
Q37577	जॅान कॅल्व्हिन
Q37868	शैवाल
Q38311	पदरचनाशास्त्र
Q39397	कुऱ्हाड
Q39833	सूक्ष्मजीव
Q39984	कान
Q40738	बुर्सा
Q40861	संगमरवर
Q40904	वर्नर हायझेनबर्ग
Q41207	नाणेशास्त्र
Q41217	यामिकी
Q41304	वायमार प्रजासत्ताक
Q41415	रस्सा
Q41509	मोल
Q41673	भारताचा ध्वज
Q41675	गिनेस वर्ल्ड रेकॉर्ड्स
Q42063	ह्युएन-त्सांग
Q42262	इसा
Q42901	अरारिया जिल्हा
Q42992	गोल्डा मायर
Q43199	ओमाहा
Q43509	ग्वायाकिल
Q43511	बडीशेप
Q43944	हमीद करझाई
Q44013	वॉघन
Q46841	लेना नदी
Q47359	क्योटो प्रोटोकॉल
Q47891	फिनलंडचा ध्वज
Q47967	वायव्य इंग्लंड
Q48187	एरिक क्लॅप्टन
Q48340	सीएनएन
Q48344	रेसिफे
Q48821	केनेडी अंतराळ केंद्र
Q49024	व्हेनिस आंतरराष्ट्रीय चित्रपट महोत्सव
Q49218	रॉचेस्टर, न्यू यॉर्क
Q49240	स्टॉकटन
Q49247	अ‍ॅनाहाइम
Q49272	चांडलर
Q51690	इर्विंग
Q53268	टोयोटा मोटर कंपनी
Q54939	व्हॅलेन्सिया प्रांत
Q55741	ऍन्जेलिस
Q58734	प्रदूषण
Q59670	कोलंबिया
Q75856	फेलिक्स हॉस्डॉर्फ
Q77183	विल्हेम मार्क्स
Q79848	साउथहँप्टन
Q80517	श्रीवपोर्ट
Q80987	फ्लुमिनेन्स फुटबॉल क्लब
Q81676	ऑस्ट्रेलियाचा ध्वज
Q83069	सकार्या प्रांत
Q83653	जहांगीर
Q92743	विन्ट सर्फ
Q102397	मिस्कोल्क
Q103955	गूस्टाफ श्ट्रीजमान
Q104231	स्टॉकहोम काउंटी
Q122392	जेकब बर्नोली
Q124754	पोप पायस सातवा
Q125076	स्लमडॉग मिलियोनेर
Q126269	वोल्वरहॅम्प्टन
Q128614	जॉन डीफेनबेकर
Q130975	रॉबर्ट अँड्रुझ मिलिकन
Q131204	व्हियेतनामचा ध्वज
Q131674	अनातोली कार्पोव
Q132265	थेरवाद
Q132708	पोप इनोसंट बारावा
Q138311	एलिझाबेथ
Q138391	पीटरसन, न्यू जर्सी
Q139918	वाइकाटो प्रदेश
Q141844	गॅटिनयु
Q149315	पोप सिल्व्हेरियस
Q151121	सिनसिनाटी/उत्तर केंटकी आंतरराष्ट्रीय विमानतळ
Q151509	अब्दुल अझीझ अल-सौद, सौदी अरेबिया
Q154674	युट्रेख्टचा तह
Q156349	सर्वपल्ली राधाकृष्णन
Q156711	उझहोरॉड
Q160213	राम
Q160549	कॉन्ककॅफ
Q161701	कर्क रास
Q166304	बिलिंग्स
Q166635	स्टॅन्ली बाल्डविन
Q169342	दृष्टिपटल
Q169577	अर्नेस्ट लॉरेन्स
Q169923	काउंटी गॅलवे
Q170303	पोप पेलाजियस पहिला
Q171195	आचार्य नागार्जुन
Q171382	बामयान
Q171626	पोप अर्बन सहावा
Q171632	माराकाईबो
Q171985	मॅसेच्युसेट्स बे ट्रान्सपोर्टेशन ऑथोरिटी
Q172398	पोप एड्रियन तिसरा
Q172721	मर्सिडीज जीपी
Q172877	आर्नो अ‍ॅलन पेन्झियास
Q172916	पोप जॉन एकविसावा
Q172928	पोप क्लेमेंट चौथा
Q174249	मिनामोतो नो सानेतोमो
Q178577	नॉर्बर्ट वीनर
Q179126	जॉन रस्किन
Q179224	डोव्हर
Q181114	क्रायस्लर
Q184590	धावपट्टी
Q184599	काउंटी वेक्सफोर्ड
Q188096	पेनांग
Q188586	सिसिलीचे राजतंत्र
Q188712	जपानी साम्राज्य
Q188959	कोव्हाना काउंटी
Q191838	द काउंट ऑफ मॉन्टे क्रिस्टो
Q192055	नान्जिंगची कत्तल
Q192207	योगी अरविंद
Q192611	सांसदीय मतदारसंघ
Q193279	अनाथ
Q194316	सुवर्णभूमी विमानतळ
Q200054	जमशेदपूर
Q203591	अनास्ताशिया मिस्किना
Q205842	ॲस्पेन
Q206933	लाईरीया
Q208033	कतार एअरवेज
Q208635	कॅनडा फुटबॉल संघ
Q209338	ऑक्सनार्ड
Q211086	हायड्रोजन क्लोराइड
Q214874	झेलम नदी
Q216173	डान्झिगचे स्वतंत्र शहर
Q217160	केनी रॉजर्स
Q219710	विंडोज एरो
Q221142	अँजेलोस बसिनास
Q222996	मॅक ओएस एक्स लेपर्ड
Q225360	बल्गेरियाचा ध्वज
Q231765	जीलॉंग
Q234050	इरॅस्मस डार्विन
Q234898	प्रभुपाद
Q244730	राज्यसभा
Q252657	जॉर्जियोस रॅलिस
Q258499	स्क्वेअर किलोमीटर ॲरे
Q271887	लुई बार्थु
Q314006	गी मोले
Q330158	ढाका विभाग
Q336122	लोपबरी
Q367566	योगी बेरा
Q378839	डेव्हिड जानोवस्की
Q388980	तेव्हज जिल्हा
Q392564	पॅरिस मशीद
Q411320	ब्रोमिक आम्ल
Q455442	फिरोजशाह तुघलक
Q466443	कभी खुशी कभी गम
Q466538	कॅबो डेलगाडो प्रांत
Q483110	स्टेडियम
Q483868	चेक प्रजासत्ताक फुटबॉल संघ
Q485547	औरंगजेब
Q486007	पश्चिम कझाकस्तान
Q491239	केंटन
Q504637	अल्टा वेरापाझ विभाग
Q542146	दक्षिण भारत
Q548278	स्टँडर्ड चार्टर्ड बँक
Q575092	google glass
Q607336	रुमबिक
Q607685	प्रियांका रॉबर्ट वड्रा
Q609625	पालर नदी
Q638231	लार्सन एंड टूब्रो
Q639408	वॉटरलू
Q641542	विंडोज लाइव्ह ओळख
Q644008	कार्सशी
Q653999	लोटस १-२-३
Q675576	पेब्लो
Q712828	अप्पर ईस्ट प्रदेश
Q715607	वाल्मीकि
Q727286	नोकिया एन८
Q729170	बारी
Q734729	तेहरान इमाम खोमेनी आंतरराष्ट्रीय विमानतळ
Q739951	सेंटर
Q758545	ऑबर्न, मैन
Q771405	दक्षिण आशिया
Q777855	मिन्स्क राष्ट्रीय विमानतळ
Q806916	बन्नू
Q810923	बाटंबॅंग प्रांत
Q819537	इंटरनेट एक्सप्लोरर १०
Q820940	सिझन जिल्हा
Q824000	मिनामीरुपशु
Q833202	ब्रिक्‍स
Q835456	बिर्ला सन लाइफ इन्शुअरन्स
Q843533	स्तनमंडल
Q861255	हिगशिकागावा
Q864889	विंडोज लाइव्ह स्कायड्राइव्ह
Q909169	लोटस सॉफ्टवेअर
Q960389	बासरी
Q974642	पिंडमोन्हाहंगबा
Q974850	क्षेपणास्त्र
Q1048495	फ्लायदुबई
Q1114954	ल्वेन्गो जिल्हा
Q1124402	तुघलक घराणे
Q1132490	व्हियेतनाममधील बौद्ध धर्म
Q1135349	मोहब्बतें
Q1153608	नोकिया एन७०
Q1340204	स्काय स्पोर्ट्‌स
Q1391255	नंदन निलेकणी
Q1517901	खुदा के लिए
Q1646181	वुस्टर
Q1771774	अमरावती जिल्हा
Q1784324	एअरबस ए३१८
Q1858071	पन्ना राष्ट्रीय उद्यान
Q1988986	मिश्‍चेल
Q2295896	कोरिया जिल्हा
Q2449793	सिधी जिल्हा
Q2720784	शोरणूर
Q2721505	अमोल पालेकर
Q3025733	दूळ
Q3276107	आंध्र प्रदेश उच्च न्यायालय
Q3521109	संघवी
Q3633440	काका हाथरसी
Q4116214	lekhakankarita avashyak dastayvaj strotancha vishalesanatmak va tulnatmak abhyas
Q4620674	गुप्तांग
Q4842921	बहुजन विकास आघाडी
Q5278080	दिनेश चन्द्र गुप्ता
Q6027048	इंद्रायणी नदी
Q6500954	झैर
Q6938775	मुरली देवडा
Q44	बियर
Q88	अलेक्झांड्रीया
Q90	पॅरिस
Q114	केनिया
Q159	रशिया
Q165	समुद्र
Q192	डेव्हिड कॅमेरॉन
Q211	लात्व्हिया
Q214	स्लोव्हाकिया
Q224	क्रोएशिया
Q236	माँटेनिग्रो
Q241	क्युबा
Q265	उझबेकिस्तान
Q270	वर्झावा
Q302	येशू ख्रिस्त
Q312	ॲपल
Q333	खगोलशास्त्र
Q334	सिंगापूर
Q347	लिश्टनस्टाइन
Q388	लिनक्स
Q408	ऑस्ट्रेलिया
Q458	युरोपियन संघ
Q482	कविता
Q492	मेमरी
Q567	आंगेला मेर्केल
Q583	माँट ब्लॅंक
Q588	कातोवित्सा
Q629	प्राणवायू
Q682	गंधक
Q703	पलाश
Q748	बौद्ध धर्म
Q758	जस्त
Q769	ग्रेनेडा
Q774	ग्वातेमाला
Q779	कनेटिकट
Q786	डॉमिनिकन प्रजासत्ताक
Q796	इराक
Q809	पोलिश भाषा
Q813	किर्गिझस्तान
Q822	लेबेनॉन
Q854	श्रीलंका
Q868	ॲरिस्टॉटल
Q881	व्हियेतनाम
Q886	सिम्पसन्स
Q911	उफा
Q921	ब्रुनेई
Q945	टोगो
Q953	झांबिया
Q963	बोत्स्वाना
Q1005	गांबिया
Q1011	केप व्हर्दे
Q1041	सेनेगाल
Q1043	कार्ल लिनेयस
Q1084	नाम
Q1101	नूर्द-ब्राबांत
Q1119	हाफ्नियम
Q1126	लक्झेंबर्ग
Q1177	हिमाचल प्रदेश
Q1180	जम्मू आणि काश्मीर
Q1194	श्लेस्विग-होल्श्टाइन
Q1205	थ्युरिंगेन
Q1211	साउथ डकोटा
Q1295	डॉर्टमुंड
Q1296	गेंट
Q1321	स्पॅनिश भाषा
Q1342	पिट्सबर्ग
Q1344	ऑपेरा
Q1361	हैदराबाद
Q1387	र्‍होड आयलंड
Q1406	मायक्रोसॉफ्ट विंडोज
Q1408	न्यू जर्सी
Q1420	मोटारवाहन
Q1437	राजस्थान
Q1447	पुलीया
Q1491	ला पाझ
Q1538	पुणे
Q1546	आयोवा
Q1553	नेब्रास्का
Q1575	इंटरनेट एक्सप्लोरर
Q1731	ड्रेस्डेन
Q1800	कोची
Q1841	कॅथलिक धर्म
Q1845	बायबल
Q1895	पेट्रोझेवोडस्क
Q1904	ऑन्टारियो
Q1930	ओटावा
Q1951	आल्बर्टा
Q1989	सास्काचेवान
Q2023	नुनाव्हुत
Q2090	न्युर्नबर्ग
Q2865	कासेल
Q2900	क्वितो
Q3044	शार्लमेन
Q3110	सान साल्व्हाडोर
Q3139	आल्प-मरितीम
Q3203	गॅलिलियन उपग्रह
Q3206	वेस्टर्न ऑस्ट्रेलिया
Q3561	अल्जीयर्स
Q3640	अंकारा
Q3703	बमाको
Q3734	अदिगेया प्रजासत्ताक
Q3897	लुआंडा
Q4398	पँजिआ
Q4454	खबारोव्स्क
Q4616	मॅरिलिन मन्रो
Q4628	फेरो द्वीपसमूह
Q4631	मोहमद मोर्सी
Q5092	बॉल्टिमोर
Q5118	दागिस्तान प्रजासत्ताक
Q5187	चेचन्या
Q5372	बास्केटबॉल
Q5401	युरेशिया
Q5422	उद्मुर्तिया प्रजासत्ताक
Q5466	चुवाशिया प्रजासत्ताक
Q5682	मिगेल सर्व्हान्तेस
Q5705	कातालोनिया
Q5738	अॅडोल्फ तियेर
Q5776	बेथलेहेम
Q5783	आंदालुसिया
Q5831	मेलिया
Q6353	जेरार्डस मर्केटर
Q6563	क्रास्नोयार्स्क क्राय
Q6602	स्त्रासबुर्ग
Q6607	गिटार
Q6636	समलैंगिकता
Q6882	जेम्स जॉइस
Q7003	दिजाँ
Q7184	नाटो
Q7200	अलेक्सांद्र पुश्किन
Q7252	स्त्रीवाद
Q7272	समाजवाद
Q7378	हत्ती
Q7430	डिऑक्सिरायबोन्यूक्लिक आम्ल
Q7825	जागतिक व्यापार संघटना
Q7857	संडास
Q7948	कामचत्का क्राय
Q8047	उत्प्रेरक
Q8068	पूर
Q8074	ढग
Q8091	व्याकरण
Q8134	अर्थशास्त्र
Q8162	भाषाशास्त्र
Q8196	अरबी वर्णमाला
Q8261	कादंबरी
Q8703	गॅटविक विमानतळ
Q8747	युक्लीड
Q8785	आर्मेनियन भाषा
Q8798	युक्रेनियन भाषा
Q9043	नॉर्वेजियन भाषा
Q9058	स्लोव्हाक भाषा
Q9061	कार्ल मार्क्स
Q9063	स्लोव्हेन भाषा
Q9067	हंगेरियन भाषा
Q9095	जेम्स क्लार्क मॅक्सवेल
Q9121	अणू
Q9168	फारसी भाषा
Q9200	सेंट पॉल
Q9240	बहासा इंडोनेशिया
Q9268	ज्यू धर्म
Q9288	हिब्रू भाषा
Q9326	व्हिआंतियान
Q9364	ज्याँ-पॉल सार्त्र
Q9439	व्हिक्टोरिया राणी
Q9576	जेम्स कॅलाघन
Q9648	फॉकलंड द्वीपसमूह
Q9885	कोइंबतूर
Q10125	अँडी मरे
Q11059	संस् कृत भाषा
Q11196	स्राप्स्काचे प्रजासत्ताक
Q11205	अंकगणित
Q11359	पहिला आर्यभट्ट
Q11404	ड्रम
Q11406	विद्युतचुंबकत्व
Q11412	गुरुत्वाकर्षण
Q11469	काच
Q11698	अमेरिकेचे संविधान
Q11725	चोंगछिंग
Q11739	लाहोर
Q11746	वूहान
Q11817	अँड्र्यू जॅक्सन
Q11974	लास पाल्मास दि ग्रॅन कॅनरिया
Q12503	पूर्ण संख्या
Q12556	एंद्र-ए-लावार
Q12578	लोत-एत-गारोन
Q14314	सांतियागो दे कोंपोस्तेला
Q14773	मकाओ
Q14799	लेनोव्हो
Q14960	ब्रनो
Q15388	रंगारेड्डी जिल्हा
Q15789	एफ.से. बायर्न म्युन्शन
Q15807	पाऊल
Q15878	नोर्मंदी
Q16172	फ्लॉरेन्स  प्रांत
Q16567	कोलंबस
Q16578	फ्लॉरेस विभाग
Q18013	साक्रामेंटो
Q18335	किरणोत्सर्ग
Q18389	न्यू इंग्लंड
Q18419	ब्रूकलिन
Q18869	कॉकेशस
Q19557	अल्क धातू
Q19660	बुखारेस्ट
Q21203	अरूबा
Q23098	डर्बीशायर
Q23100	मर्सिसाइड
Q23109	नॉरफोक
Q23333	गॉफ व्हिटलॅम
Q23384	भरती व ओहोटी
Q23666	ग्रेट ब्रिटन
Q24861	आल्बनी
Q25322	आर्क्टिक
Q26988	कूक द्वीपसमूह
Q27306	प्रशियाचे राजतंत्र
Q27827	क्रीस्तादेल्फियान
Q28249	काँकोर्ड, न्यू हॅम्पशायर
Q28472	केस
Q28911	लाटी
Q29171	पायदळ सैनिक
Q29179	फ्रांसिस्को फ्रँको
Q29364	माँटगोमेरी, अलाबामा
Q30002	छंतू
Q30547	मदर तेरेसा
Q30603	शाहजलाल आंतरराष्ट्रीय विमानतळ
Q30971	फ्रेंच पॉलिनेशिया
Q31057	नॉरफोक द्वीप
Q33298	फिलिपिनो भाषा
Q33946	चेकोस्लोव्हाकिया
Q34020	न्युए
Q34218	बर्लिंगटन
Q34296	वूड्रो विल्सन
Q34374	क्रीट
Q34597	जेम्स गारफील्ड
Q34617	सेंट पियेर व मिकेलो
Q34932	ब्रिस्बेन
Q35127	संकेतस्थळ
Q35381	कोलंबो
Q35493	अल्माटी
Q35581	होक्काइदो
Q35672	पिटकेर्न द्वीपसमूह
Q35775	बॉइझी
Q35986	सौंदर्यशास्त्र
Q36074	क्वीन्सलंड
Q36117	बोर्नियो
Q36260	आपिया
Q36420	शांघाय पुडोंग आंतरराष्ट्रीय विमानतळ
Q36687	व्हिक्टोरिया
Q36704	युगोस्लाव्हिया
Q37079	टॉम क्रूझ
Q37362	आक्रोतिरी आणि ढेकेलिया
Q39825	जनगणना
Q40395	बेलेट जिल्हा
Q40495	परवेझ मुशर्रफ
Q40754	वजाबाकी
Q40840	तांपेरे
Q40993	पोर्शं
Q41057	टोपेका
Q42013	अन्वर अल सादात
Q42332	पीडीएफ
Q42448	शेफील्ड
Q43063	ऑस्ट्रियाचा आर्कड्युक फ्रान्झ फर्डिनांड
Q43067	हाइनरिश हिमलर
Q43421	रिचमंड
Q43433	चंदिगढ
Q43450	जिम्नॅस्टिक्स
Q44279	ऑलिव्हर क्रॉमवेल
Q44512	प्लेग
Q44703	पक्षीशास्त्र
Q44868	क्वांगचौ बैयून आंतरराष्ट्रीय विमानतळ
Q44980	अॅलेक्स फर्ग्युसन
Q45661	कोको शनेल
Q45868	अल्बा काउंटी
Q46120	विल्यम आल्फ्रेड फाउलर
Q46325	स्फाक्स
Q47602	मासिमो दालेमा
Q47652	व्हीनस
Q47916	लखनौ
Q48026	नैऋत्य इंग्लंड
Q48329	मेरिहॅम
Q49169	स्टॅमफर्ड, कनेटिकट
Q49255	टँपा, फ्लोरिडा
Q49389	पर्यटन
Q50020	जॉन स्टुअर्ट मिल
Q50618	बस्केरुड
Q51614	अनातोलिया
Q52535	रोझारियो
Q53713	ओलोफ पाल्मे
Q54925	गडालजारा प्रांत
Q55180	ज़ारागोजा प्रांत
Q55407	राज कपूर
Q55834	वॉयचेख यारुझेल्स्की
Q57052	च्यांग्शी
Q57068	विल्हेल्म वियेन
Q57278	न्यूकॅसल
Q60130	बेराक्रुथ
Q62897	जॉन डग्लस कॉकक्रॉफ्ट
Q63734	ओएस एक्स माउंटन लायन
Q64436	आर्क दे त्रायाँ
Q66710	दमण आणि दीव
Q76127	सुकर्णो
Q79531	गूगल क्रोम ओएस
Q79875	मोबिल
Q80110	कॅनडाचा ध्वज
Q81009	संभाषण कला
Q81041	जलचक्र
Q82019	कांचनगंगा
Q83055	ऑपरेशन बार्बारोसा
Q83090	अवतार
Q83786	शिमला
Q95088	सिविल प्रांत
Q102178	जागतिक बुद्धिबळ महासंघ
Q105674	धावणे
Q105756	जॉन अपडाइक
Q107126	आर्लिंग्टन, व्हर्जिनिया
Q108206	जॉन बन्यन
Q114749	पहिला एहमेद
Q127771	लढाऊ विमान
Q128102	इर्तिश नदी
Q128267	सेंट जोसेफ
Q128645	आर्थर मेइघेन
Q128655	रॉबर्ट लेर्ड बोर्डेन
Q128902	धाकटा पिट
Q131083	नखिवियन ऑटोनॉमस रिपब्लिक
Q131120	अ‍ॅना कुर्निकोव्हा
Q131559	ढाल
Q131645	रोमेनियन लेउ
Q131733	हेन्‍री कॅव्हेन्डिश
Q133001	पोप पॉल तिसरा
Q133083	ग्वाटेंग
Q134685	हॅमरलँड
Q134874	बोलिव्हियाचा ध्वज
Q138765	सी.एन. अण्णादुराई
Q153509	मकारियोस तिसरा
Q157259	जॉन रसेल
Q157273	कॉमर्झबँक-अरेना
Q159636	जोसेफ प्रिस्टली
Q160349	सहावा शार्ल
Q161885	ग्रेट ब्रिटनचे राजतंत्र
Q163798	तृशुर
Q164134	अमेरिका फुटबॉल संघ
Q164389	विल्हेल्म ब्येर्कनेस
Q165044	हरितगृह
Q166530	मुक्तिवेग
Q168935	मलेशियाचा ध्वज
Q170036	क्यीव ओब्लास्त
Q170263	चेस्टर
