Q31	Бельгия
Q15852579	Лаутереккен-Вольфштайн
Q15922520	двустишие
Q16013984	Хильда Уотсон
Q16062504	Смит, Лестер
Q17157056	Amiibo
Q17377026	Nokia X family
Q17512668	Дивергент, глава 4: Асцендент
Q17587679	The Struts
Q18611456	Ошибка времени
Q18684181	Луан Эмера
Q18821736	Долгая яркая темнота
Q18844946	Windows Mixed Reality
Q18941856	Одно большое счастье
Q19276753	Лесли Мегахи
Q19627512	Апельсиновый мармелад
Q18	Южная Америка
Q30	США
Q1337	leet
Q38	Италия
Q43	Турция
Q48	Азия
Q60	Нью-Йорк
Q66	Boeing
Q87	Александрия
Q190	бог
Q193	Сатурн
Q206	Стивен Харпер
Q213	Чехия
Q234	Фландрия
Q235	Монако
Q240	Брюссельский столичный регион
Q242	Белиз
Q252	Индонезия
Q256	турецкий язык
Q258	ЮАР
Q262	Алжир
Q303	Элвис Пресли
Q307	Галилео Галилей
Q309	история
Q315	язык
Q322	Лланвайр Пуллгвингилл
Q375	вафля
Q405	Луна
Q413	физика
Q435	Александрийская библиотека
Q472	София
Q532	село
Q548	Висла
Q663	алюминий
Q664	Новая Зеландия
Q668	Индия
Q671	франций
Q672	Тувалу
Q695	Палау
Q702	Микронезия
Q706	кальций
Q710	Кирибати
Q717	Венесуэла
Q718	шахматы
Q785	Джерси
Q929	Центральноафриканская Республика
Q948	Тунис
Q989	Иоанн Павел II
Q994	Тбилиси
Q1006	Гвинея
Q1007	Гвинея-Бисау
Q1027	Маврикий
Q1036	Уганда
Q1053	молибден
Q1089	палладий
Q1114	Восточная Фландрия
Q1145	Жан-Филипп Рамо
Q1159	Андхра-Прадеш
Q1252	хассий
Q1263	Эмилия-Романья
Q1353	Дели
Q1364	плод
Q1400	Пенсильвания
Q1415	Индиана
Q1456	Южная Каролина
Q1524	Афины
Q1666	Жак Брель
Q1715	Ганновер
Q1733	Магдебург
Q1770	Таллин
Q1780	Братислава
Q1781	Будапешт
Q1850	Пномпень
Q1861	Бангкок
Q1889	дипломатия
Q1891	Болонья
Q1910	Кабай, Йоан
Q1943	Абу Диаби
Q1980	Жерлан (стадион)
Q1997	оксид углерода(IV)
Q2007	Северо-Западные территории
Q2141	Галифакс
Q2145	Квебек
Q2164	Ненецкий автономный округ
Q2167	Лунд
Q2256	Бирмингем
Q2277	Римская империя
Q2283	Майкрософт
Q2468	фтороводород
Q2599	Пол Маккартни
Q2766	iPhone
Q2796	IPad
Q3013	АйКарли
Q3043	Бельмопан
Q3138	Трир
Q3302	Траве
Q3337	1-й округ Лиона
Q3376	Тренто
Q3616	Тегеран
Q3624	Аддис-Абеба
Q3748	Монровия
Q3805	Амман
Q3816	Жорж Санд
Q3889	Мапуту
Q4021	анатомия растений
Q4022	река
Q4396	Всеукраинское объединение «Свобода»
Q4409	Sinclair Research
Q4533	Виктория-победительница
Q4579	Книга притчей Соломоновых
Q4648	Бали
Q5064	Волшебная флейта
Q5095	Папуа
Q5105	Селин Дион
Q5287	японский язык
Q5289	.NET Framework
Q5377	гольф
Q5450	Ди Мартино, Антониетта
Q5588	Фрида Кало
Q5715	Мемфис
Q5812	Новак Джокович
Q5928	Джими Хендрикс
Q5977	Бадди Холли
Q6065	Южный Песисир
Q6097	чай
Q6235	национализм
Q6287	Рейн-Зиг
Q6471	Airbus A310
Q6605	Якутия
Q6691	Гомер
Q7057	Лерте
Q7141	цитология
Q7218	Токсикология
Q7231	Роза Люксембург
Q7248	Букиттинги
Q7331	Ибн Баттута
Q7349	Йозеф Гайдн
Q7351	Роберт Шуман
Q7362	ухо
Q7568	Джокьякарта
Q7721	Наполеон III
Q7724	Юхан Август Стриндберг
Q7726	Жозеф Бонапарт
Q7734	Иисус Навин
Q7768	Ассоциация государств Юго-Восточной Азии
Q7793	Донато Браманте
Q7802	хлеб
Q7886	лёгкие
Q7908	Верхний Таунус
Q7909	Майн-Таунус
Q7991	естественные науки
Q8005	Жосеп Таррадельяс
Q8148	промышленность
Q8177	Рейн-Неккар
Q8224	Ратен
Q8371	виолончель
Q8434	образование
Q8475	Интерпол
Q8486	кофе
Q8597	Акбар I Великий
Q8673	Лагос
Q8712	Лутон
Q8733	империя Цин
Q8750	Майкл Фарадей
Q8774	International Airlines Group
Q8810	Гранада
Q8821	черногорский язык
Q9013	А4
Q9015	А5
Q9035	датский язык
Q9064	Карраско
Q9078	латышский язык
Q9083	литовский язык
Q9089	индуизм
Q9184	Книга Бытия
Q9203	А29
Q9237	малайский язык
Q9361	Бишкек
Q9415	эмоция
Q9584	Honda
Q9589	iTunes
Q9683	Тан
Q9961	Чжу Юньвэнь
Q10185	Berliner Zeitung
Q10282	Памплона
Q10304	Сеттимо-Торинезе
Q10414	Аугсбург
Q10530	Берхтесгаден
Q10737	самоубийство
Q10779	Цвенкау
Q10812	А44
Q10835	А67
Q10846	А81
Q10854	А98
Q10943	сыр
Q11146	Маастрихтский договор
Q11215	Windows 7
Q11221	Смурфы
Q11246	Windows Server 2003
Q11255	Microsoft Office
Q11369	молекула
Q11387	рассеянное звёздное скопление
Q11409	апартеид
Q11424	фильм
Q11442	велосипед
Q11642	гончарное производство
Q11708	Юго-Восточная Азия
Q11758	Людвик Лазарь Заменгоф
Q11772	Древняя Греция
Q11774	Государство Гуптов
Q11834	Кот в сапогах
Q11887	Уильям Роуэн Гамильтон
Q11901	Хэнсен, Бек
Q11903	Гипатия
Q11917	Женева
Q11975	Бритни Спирс
Q12013	Карты Google
Q12078	злокачественная опухоль
Q12117	зерновые культуры
Q12280	мост
Q12284	канал
Q12393	The Legend of Zelda
Q12548	Священная Римская империя
Q12572	Верхняя Луара
Q12680	Поль Думер
Q12724	Тичино
Q12755	Юра
Q12771	Во
Q12796	огнестрельное оружие
Q13205	Стад де Франс
Q13230	Фердинанд де Соссюр
Q13276	пирожное
Q13694	Давао (регион)
Q14081	Чимборасо
Q14086	Марисса Майер
Q14620	оптика
Q15121	Милан
Q15864	Объединённое королевство Нидерланды
Q16277	Сиракуза
Q16295	лобная кость
Q16321	клиновидная кость
Q16391	бутанол-1
Q16508	Харама
Q16521	таксон
Q16552	Сан-Диего
Q16555	Хьюстон
Q17167	Римская республика
Q17280	Борго-Сан-Мартино
Q17451	гарнитура
Q18066	Эдуард Успенский
Q18362	теоретическая физика
Q18425	Марселен Бертло
Q18547	Шанхайская башня
Q18813	Новый Завет
Q19199	Делсон, Брэд
Q19201	Майк Шинода
Q19425	Пётр Андреевич Вяземский
Q19444	Бирмингем Сити
Q19481	Лестер Сити
Q19568	Борнмут
Q19721	Клайд
Q19798	Хитчин
Q20028	Энтраккуе
Q20148	Чжан Сюэлян
Q20503	Соммарива-дель-Боско
Q20710	Шарко, Жан Мартен
Q21080	Афганская борзая
Q21208	Хэбэй
Q23009	дверная ручка
Q23111	Суффолк
Q23276	Суррей
Q23311	Лондонский Сити
Q23397	озеро
Q23404	антропология
Q23438	Ашхабад
Q23471	Lordi
Q23498	археология
Q23640	голова
Q23682	Премиа
Q23733	Сайнфелд
Q23757	известняк
Q24194	Шептицкий, Андрей
Q24879	Бремен
Q25177	Rammstein
Q25223	федеральный президент Германии
Q25270	Приштина
Q25757	УНИКС
Q26124	Дерна
Q26180	Синт-Эстатиус
Q26885	Колорадо
Q26933	Таунсенд, Пит
Q27538	Саскуэханна
Q27586	Ferrari
Q28214	Убийство
Q28237	Лансинг
Q28370	Когурё
Q28480	Макс Брод
Q28898	Завентем
Q29024	Эско Тапани Ахо
Q29182	епископ
Q29221	слоёное тесто
Q29524	Естественное право
Q29540	австро-баварский язык
Q30113	Jeep
Q30578	Урбан II
Q31058	Бёрлингтон
Q31747	Ирландское Свободное государство
Q32488	Две девицы на мели
Q33187	Рукав Ориона
Q33384	диалект
Q33959	Ницца
Q34006	Голливуд
Q34105	Хосни Мубарак
Q34266	Российская империя
Q34389	Уитни Хьюстон
Q34474	Александр Исаевич Солженицын
Q34628	Готхольд Эфраим Лессинг
Q34664	Хиросима
Q35794	Кембриджский университет
Q35903	WWE NXT
Q35919	Lexus
Q36124	Гибралтарский пролив
Q36312	Калгари
Q36462	Виртус
Q36600	Гаага
Q37024	Сербия и Черногория
Q37066	Бисмарк
Q37156	IBM
Q37960	Жёлтое море
Q37970	Мендель, Грегор Иоганн
Q38823	Рухолла Мусави Хомейни
Q39042	Шайенн
Q39303	Бадок
Q39330	Йоркширский терьер
Q39760	сектор Газа
Q39837	Ибн Рушд
Q40213	Уильям Батлер Йейтс
Q40218	космический аппарат
Q40362	Сахарская Арабская Демократическая Республика
Q40898	Нанси
Q40909	Вирджиния Вулф
Q40990	Pontiac
Q41177	гранит
Q41370	Давид
Q41466	хоккей с шайбой
Q41502	Генрик Сенкевич
Q41534	крахмал
Q41550	Организация экономического сотрудничества и развития
Q41688	Лоренц, Хендрик Антон
Q41749	Йозеф Геббельс
Q42240	исследование
Q42295	Кустарник
Q42876	флаг Италии
Q42946	Треццано-суль-Навиглио
Q42952	Тор
Q43109	референдум
Q43196	Цинциннати
Q43244	Александрийский маяк
Q43303	Малкольм Икс
Q43327	Motown Records
Q43746	Бонавентура
Q43939	Ансельм Кентерберийский
Q44170	Игнатий Богоносец
Q44237	Мендоса
Q44564	Чарлстон
Q44819	Сухарто
Q44989	Талса
Q45584	вайшнавизм
Q45682	Ян Сибелиус
Q45782	аквариум
Q45789	Шатьендранат Бозе
Q45922	стрела
Q46280	Париж — Шарль-де-Голль
Q46420	Ибн Араби
Q46585	Флаг Нидерландов
Q47041	биоразнообразие
Q47163	Марк Витрувий Поллион
Q47280	авраамические религии
Q47478	Вивекананда
Q47577	числа Фибоначчи
Q47680	Книга Иисуса Навина
Q48039	Мольяно-Венето
Q48196	стволовые клетки
Q48263	Xbox 360
Q48298	шофар
Q48604	Мир
Q48803	растениеводство
Q48939	Эксетер Сити
Q49164	Амхерст
Q49233	Орландо
Q49447	мировоззрение
Q49686	Василий III
Q49831	Нуайон
Q50002	Эмма Бонино
Q50617	Оппланн
Q50956	Евгений Онегин
Q51513	Гуго фон Гофмансталь
Q52105	местообитание
Q52107	физическая география
Q52922	Карл Бильдт
Q52933	Ульрика Элеонора Шведская
Q52948	взаимодействие
Q53203	Вальвазоне
Q54140	Сейлем
Q54237	осмос
Q54441	Страффорд
Q54880	Валенсия
Q54922	Реал Мадрид
Q54929	Толедо
Q55095	Ла-Кондамин
Q56429	Саркский диалект
Q57063	Ленард, Филипп Эдуард Антон фон
Q57075	Фриц Габер
Q57145	Шварцшильд, Карл
Q57212	Анна Магдалена Бах
Q57286	Фанни Мендельсон
Q57430	Карл Фридрих Гёрделер
Q57686	Гедеон Буркхард
Q57871	Шедсму
Q57912	Ши
Q58031	Зомбарт, Вернер
Q58195	Карел Шварценберг
Q58381	Duran Duran
Q58635	панджаби
Q58810	Масуд I
Q59114	Jacobs University Bremen
Q59134	Фирни
Q60026	Жорж-Мари-Мартен Коттье
Q60052	Густав Роберт Кирхгоф
Q60195	семиотика
Q60259	Эккарт, Дитрих
Q60554	Август Кундт
Q60677	Штейнмец, Чарлз Протеус
Q60861	Виннеке, Фридрих Август Теодор
Q60889	Вольфганг Регенсбургский
Q60974	Оттава
Q61342	Земпер, Готфрид
Q61414	Арканзас
Q61520	Хирт, Август
Q61753	Хирцебрух, Фридрих
Q61962	Станислав Гозий
Q61965	Динценхофер, Килиан Игнац
Q62698	Георг Копп
Q62943	Империя Маурьев
Q63659	Хайнце, Габриэль
Q63817	Восточные Альпы
Q63946	Ивердон-Ле-Бен
Q64390	Фуст, Иоганн
Q64544	Карл Христиан Фридрих фон Ледебур
Q65780	Эрнст Людвиг фон Герлах
Q66055	дробь
Q66485	Джайпур
Q66944	Микулич-Радецкий, Йоханн
Q67113	Генри Фредерик Конрад Сандер
Q67901	Девриент, Эдуард
Q68185	Бремгартен-Берн
Q68947	подвид
Q69401	Морж
Q69706	Бриссаго
Q69808	Режим Виши
Q70328	Bosco Gurin
Q70612	Гранита
Q70992	Вернер фон Бломберг
Q71112	Кольб, Аннетта
Q71529	Иоганн Фридрих Котта
Q71694	Yahoo! Messenger
Q72259	Портсмут
Q73048	Вихерн, Иоганн Хинрих
Q74849	Альберто Мадзукато
Q76428	Карл Филипп Эммануил Бах
Q76485	Иоганн Пахельбель
Q76579	Георгий Агрикола
Q76889	Эрнст Генрих Вебер
Q76904	Керосин
Q77033	Вильгельм фон Глёден
Q77079	Жан Поль
Q77081	Закман, Берт
Q77260	Иоганн Бугенхаген
Q77746	Мадхепур
Q77901	Гуго Эберлейн
Q78531	Люгер, Карл
Q78841	Эрвин Вурм
Q79749	Плазма крови
Q79857	Конья
Q79923	Пуэбла
Q80083	гуманитарные науки
Q80290	Запретный город
Q80389	Курильские острова
Q80399	Эдита Станиславовна Пьеха
Q80541	Голубая мечеть
Q80702	Испанская империя
Q80793	солнечные часы
Q81046	Шарлеруа
Q81130	Андерс Цельсий
Q81398	Акапулько
Q82118	Джейсон Кэмпбелл
Q82205	флаг Ирландии
Q83087	Кремень
Q83093	гриб
Q83251	Иссенайм
Q83370	Windows 95
Q83382	Pentium III
Q83428	Парацельс
Q83476	Альфред Великий
Q83572	Сикхское государство
Q83755	Ляо-чжай-чжи-и
Q83922	Арианство
Q84594	Цетмайр, Томас
Q84824	Коллин, Генрих Иосиф
Q85048	Мария Альтман
Q91391	Эрих Регенер
Q92213	Шаллинг, Мартин
Q92526	Sina Weibo
Q93157	О’Нил, Юджин
Q93620	Кристофер Паолини
Q93709	Фрик, Генри Клэй
Q102139	Маргрете II
Q103251	Македония
Q104196	Илья Рихтер
Q104319	Церковь адвентистов седьмого дня
Q104358	Билли Холидей
Q104668	Виталий Лазаревич Гинзбург
Q106506	Пятый элемент
Q106624	Зевейл, Ахмед
Q107184	сульфат меди(II)
Q107450	Фрэнк Вилчек
Q107473	Карл Барт
Q109063	Джимми Клифф
Q109092	Килкенни
Q109739	Лексингтон-авеню
Q110935	Липскомб, Уильям Нанн
Q111975	Людвиг, эрцгерцог Австрийский
Q112023	Ламмаш, Генрих
Q115182	Кайюга
Q115766	Монаков, Константин фон
Q120649	Золотая перчатка
Q120730	Киото
Q121688	флаг Испании
Q122043	фруктоза
Q122290	Жан-Поль Марат
Q122723	Осака
Q125666	Нюша
Q125976	Муса Абу Марзук
Q126633	Маржан Сатрапи
Q127254	Александр VII
Q127370	Honda Inspire
Q127513	Канагава
Q127688	Снелльман, Йохан Вильгельм
Q128069	Сиракьюс
Q128079	Кит-Карсон
Q128297	Мария Каллас
Q128323	Тринидад
Q128338	Кровь Триединства
Q128361	Одесса
Q128460	Шарль Перро
Q128633	Уильям Лайон Макензи Кинг
Q128686	Томсон, Джон Спэрроу Дэвид
Q129163	оксид олова(IV)
Q129278	Львиные ворота
Q129793	Фотошоп
Q129929	Янтарный телескоп
Q130186	торт
Q130191	Норидж
Q130206	Лондонский мост
Q130754	Землетрясение в Индийском океане в 2004 году
Q130774	флаг Аргентины
Q131068	Книга Есфирь
Q131222	теория информации
Q131375	сёги
Q131402	Мюнхен
Q131476	теория графов
Q131491	Брайтон
Q131569	международный договор
Q131587	Климент XIV
Q131734	пивоварня
Q131746	духи
Q133396	Кнессет
Q133485	раввин
Q134219	полисахариды
Q134768	алкогольный коктейль
Q134787	аналитическая геометрия
Q138396	Британия
Q140147	Брест
Q140489	(153) Хильда
Q140680	Розовая пантера
Q141026	Алжир
Q141317	аль-Мухтар ас-Сакафи
Q141488	граф
Q141711	Водрёй-Дорион
Q142965	Португальский Тимор
Q142983	Сергий I
Q142999	Евсевий Кесарийский
Q143198	Арнольд Бакс
Q143886	Академия Понтаниана
Q144999	Катимерини
Q146328	Содружество Филиппины
Q146673	Основной инстинкт
Q149584	теория организаций
Q149789	общество с ограниченной ответственностью (LLC)
Q151052	Белорусская операция
Q151324	пропилен
Q152033	Сычуаньское землетрясение
Q152098	Фантастическая четвёрка
Q152106	BayernLB
Q152293	Арам Ильич Хачатурян
Q152368	Бейт-Шеан
Q153108	Suzuki Wagon R
Q153227	Джефферсоны
Q153417	Kroger
Q153717	Фримен Дайсон
Q153723	Бесславные ублюдки
Q153996	Nena
Q154594	Фрейд, Люсьен
Q154938	Беда Достопочтенный
Q155794	Ханс Бете
Q155961	Климент IX
Q156168	Отога
Q156201	Роман Осипович Якобсон
Q156297	Берналилло
Q156373	Никола Шарль Удино
Q156391	Steinway & Sons
Q157121	Конрад I
Q157828	Хольштайн
Q158500	Сунай, Джевдет
Q159344	гетеротроф
Q159470	KFOR
Q159551	Игнац Мошелес
Q160307	Фатимидский халифат
Q160411	Реевский, Мариан
Q160445	Святой Бонифаций
Q160451	Ноно, Луиджи
Q160493	Инвернесс
Q160554	Джинна, Мухаммад Али
Q160609	Иннокентий IV
Q160627	Уоллес, Альфред Рассел
Q160791	Рольфес, Симон
Q161376	Мисс Вселенная
Q161443	Сириций
Q161617	додеканол
Q161685	Галлезе
Q162111	Старая национальная галерея
Q162753	Софи Марсо
Q162908	Электролит
Q163079	Гай Валерий Катулл
Q163810	Volvo
Q163938	Тэнгли, Жан
Q165454	Ругамбва, Лауреан
Q165561	Бонифаций IX
Q165838	лимнология
Q166042	Доктор Хаус (1-й сезон)
Q167466	Умеренный климат
Q168002	голеностопный сустав
Q168431	Силоне, Иньяцио
Q168497	Де Росси, Даниеле
Q168539	Карл Фридрих Абель
Q168691	Виктор Эммануил II
Q169288	Иннокентий VI
Q169470	физик
Q170037	Бальзамический уксус
Q170073	Xbox Live
Q170238	ситуационная комедия
Q170270	Фридрих Вильгельм Михаэль Калькбреннер
Q170297	Бонифаций III
Q170321	водно-болотные угодья
Q170323	Nintendo DS
Q170468	Объединённая Арабская Республика
Q170707	Абдул-Хамид I
Q170770	Великое княжество Московское
Q170863	Климент VI
Q171730	Жорж Клемансо
Q171852	Одесская область
Q172377	Гиларий
Q172495	Гимн Аргентины
Q172505	Астор Пьяццолла
Q173151	Talbot
Q173222	Гордини
Q173972	Гуллит, Рууд
Q174029	Феликс III
Q174156	Янг ди-Пертуан Агонг
Q174596	Моби Дик
Q175124	Новокуйбышевск
Q175963	Джо Тайсман
Q177310	Борис Васильевич Спасский
Q177320	Хулагу
Q177625	электромагнитное поле
Q178032	Электромагнит
Q178341	Дей
Q178715	рифма
Q178999	аксон
Q179266	Кришнамурти, Джидду
Q179313	Олдерни
Q179406	Гримсби
Q179485	Дон Жуан, или Каменный пир
Q179538	Апшеронский район
Q179815	Дарем
Q180089	The Economist
Q180123	Фатима Захра
Q180193	Коклен, Франсис
Q180573	Южный Вьетнам
Q180987	Ступа
Q181278	Летние Олимпийские игры 2020
Q181354	биотин
Q181557	Гаосюн
Q181653	Deutsche Bundespost
Q181665	Антонио Агостиньо Нето
Q181689	Мактелл, Уильям Сэмюэл
Q181699	Карбонаты
Q182182	Аранча Парра Сантонха
Q182343	Ниагара
Q182408	Джексон, Гленда
Q182692	Апокалипсис сегодня
Q183205	NTFS
Q183309	гуанидин
Q183440	карамель
Q183445	Юстин I
Q183498	Братиславский край
Q184485	исполнительские виды искусства
Q184594	Уотерфорд
Q184663	Китайская философия
Q184805	Том Уэйтс
Q184864	Мегара
Q185006	оксид кальция
Q185057	Теломеры
Q185076	цианиды
Q185173	Цедевита
Q185264	история математики
Q185387	активное избирательное право
Q185992	муфтий
Q186055	git
Q186075	Новейшее время
Q186153	Прокопий Кесарийский
Q186198	Восточное полушарие
Q186221	Альфонс Карр
Q186894	Почта Windows Live
Q187073	Болонский процесс
Q187702	Храм Гроба Господня
Q188290	Шарпей, Уильям
Q188394	Де Гроот, Адриан
Q188411	Бернард Клервоский
Q188461	Данни Миноуг
Q188502	Коэ, Себастьян
Q188509	пригород
Q188720	Лаудруп, Микаэль
Q188814	Сербская православная церковь
Q188929	Эванс, Артур
Q189074	Гарлем
Q189164	Фёдор Иванович Шаляпин
Q189546	Бизерта
Q189635	Eagles
Q189758	Гэй, Марвин
Q189766	Луиджи Боккерини
Q189930	Голландская операция
Q190057	Катаболизм
Q190211	Douglas DC-3
Q190679	Капитан Америка
Q191123	Эшколь, Леви
Q191408	Франсис Пуленк
Q191954	президент Франции
Q192374	Фичино, Марсилио
Q192402	Уэйнрайт, Руфус
Q192463	Creedence Clearwater Revival
Q192912	Стивен Фрай
Q193136	Prada
Q193266	Либерецкий край
Q193439	Дубай
Q193670	Фанон, Франц
Q193814	Хинаяна
Q193877	Иври-сюр-Сен
Q194436	Жюль Массне
Q196546	Саид Ахмад-хан
Q196561	Amazon Kindle Fire
Q196615	Верховный суд Канады
Q199769	Лазерный принтер
Q199991	Иоахим Флорский
Q200092	фильм ужасов
Q200180	вьетнамская Википедия
Q200397	Муавр, Абрахам де
Q201705	Камбуджадеша
Q202996	OK Computer
Q203007	Флитвуд, Чарльз
Q203179	Ассирийская церковь Востока
Q203185	Фрипп, Роберт
Q203349	Пул
Q203619	Кеми
Q204089	Карлос Вальдеррама
Q204228	Менталист
Q204361	Айос-Димитриос
Q204494	18 Months
Q204820	гидроксид цинка
Q205084	Вычислительная сложность
Q205186	Тривиум
Q205683	Скуби-Ду
Q205721	Джони Митчелл
Q205754	Мандеи
Q205990	Виктор Эрнст Несслер
Q206271	Ummagumma
Q206732	Плавательный пузырь
Q207272	Польская Республика
Q207341	Audi A8
Q207438	Led Zeppelin III
Q207639	Чичестер
Q207688	олеиновая кислота
Q207718	Исаак Барроу
Q207902	Adobe Acrobat
Q208233	император Японии
Q208257	Бедфорд
Q208359	Джон Валлис
Q208487	премьер-министр Израиля
Q208764	Катвейк
Q208943	Баньоле
Q209529	Гунарис, Димитриос
Q209908	Мармарис
Q209960	2-я горнострелковая дивизия
Q210036	Чеченская Республика Ичкерия
Q210069	Милтон Оботе
Q210944	Тьягу Кардозу Мендиш
Q210985	Челмсфорд
Q211236	звезда
Q211766	Ло
Q211855	Гражданская война в Финляндии
Q212121	Паэлья
Q212632	Андрей Белый
Q212731	Башни Фолти
Q212761	Мутанна
Q213063	Herzeleid
Q213423	80486
Q213563	Spacewatch
Q213613	Пауль Дессау
Q213649	Эпоха викингов
Q213693	Семён Маркович Дубнов
Q214054	Суомуссалми
Q214648	Самсон
Q214683	TF1
Q214771	Эльфийская песнь
Q214821	Гилад Шалит
Q215115	Иффланд, Август Вильгельм
Q215129	Эзер, Адам Фридрих
Q215138	Фицрой
Q215287	Звёздные врата: Атлантида
Q215327	Хельсинки-Вантаа
Q215474	Уче, Калу
Q215477	Мактум ибн Рашид аль-Мактум
Q215597	Элькан, Бенно
Q215687	Бостонская бойня
Q215957	Леонард Блумфилд
Q215986	Липман Берс
Q216054	Пластырь
Q216288	Гарт Брукс
Q217435	Саммартини, Джованни Баттиста
Q217597	электро
Q218924	Adobe InDesign
Q219523	LiveJournal
Q219656	Мейкон
Q219691	Nokia 3310
Q219699	глушитель
Q221241	Pablo Honey
Q221465	Идаций
Q221481	Анна Пруцнал
Q221504	Чемпионат мира по спортивной гимнастике 2011
Q221986	The Sunday Times
Q223269	Шорты
Q223320	Спасатели Малибу
Q226897	Zotac
Q227694	Григорий XII
Q227719	Мартин IV
Q228409	Кали-юга
Q228546	Альфонс Доде
Q229139	Пегги Ли
Q229411	Делийский султанат
Q230003	Лок сабха
Q231048	Наталья Барбу
Q234167	Мекка
Q234335	Джекобс, Джейн
Q234463	Сидней Бреннер
Q234803	Rolls-Royce Motor Cars
Q235062	Галерас
Q235326	Сиэтл Суперсоникс
Q235354	Рено, Мэри
Q235537	Анжелика Исааковна Балабанова
Q235727	Гельма
Q235731	Мюриель Барбери
Q236788	Эль-Тарф
Q237160	Усай, Бернардо Альберто
Q237493	Ванда Руткевич
Q237545	Элейн Кэссиди
Q237555	Уотерс, Сара
Q237674	Сен-Жиль
Q239121	Канчанабури
Q239214	Карл Гольдмарк
Q239793	Ferrari F430
Q239870	Коламбус
Q240212	Грегори, Филиппа
Q241131	Йозеф Клаус
Q241897	Уивер, Джеки
Q241911	Кампаньяно-ди-Рома
Q242490	Фэн Тяньвэй
Q242715	оксид серы(VI)
Q242806	Ми-28
Q242954	Монте-Компатри
Q243462	распределение хи-квадрат
Q244451	Амазонская низменность
Q244750	Федерация футбола Франции
Q244912	Езекия
Q245752	Банановый сплит
Q246243	Этчеверри, Марко Антонио
Q246313	6-я танковая дивизия (Германия)
Q246732	Сатирикон
Q246758	Райман, Ариберт
Q247486	Зенер, Кларенс Мэлвин
Q249367	Бойкот автобусных линий в Монтгомери
Q251060	Фрументий Аксумский
Q252529	Чёрный нарцисс
Q252785	Мацусита, Коносукэ
Q253485	Архиепархия Любляны
Q253783	Gimme Shelter
Q255304	This Is War
Q256144	Рапп, Дебра Джо
Q256290	Knorr-Bremse
Q256302	Цумелека, Афанасия
Q257418	аверс
Q257713	Семеренко, Вита Александровна
Q259551	Итта
Q260895	Охотники за монстрами
Q261898	Открытый чемпионат Австралии по теннису 2002
Q262589	Теодрос II
Q262627	KI.KA
Q263257	Construction Time Again
Q263272	Джеффертс Шори, Кэтрин
Q263478	нота
Q263951	Лоуренсон, Марк
Q265483	Кампомороне
Q266075	Гринвуд, Эд
Q266259	Тильето
Q267107	Лукреция Мотт
Q267748	Фицджеральд, Пенелопа
Q268099	Вероника Ларио
Q268595	Натали Косцюшко-Моризе
Q268675	Тобира, Кристиан
Q269880	Ferrari Enzo
Q270005	Жанна Балибар
Q270499	Панд-Орей
Q270668	Кутон, Жорж
Q271529	Самутпракан
Q272184	Генрик Венявский
Q272560	USS Missouri
Q273080	Клайн, Пэтси
Q274075	Мария Карми
Q274216	Мартина Брошар
Q275079	MiniDisc
Q275186	банда
Q276280	Хёйзинга, Йохан
Q276347	Кристин Анго
Q277339	Ferrari 250 GTO
Q280817	калам
Q282373	Red Star Line
Q282461	Эймёйден
Q282675	Таргет-центр
Q283202	гавань
Q284860	Janet.
Q284959	пара-аминобензойная кислота
Q286525	Силла Блэк
Q286650	Trenitalia
Q287085	Шахматная олимпиада 1996
Q287649	Шахматная олимпиада 1992
Q287892	Ана Мато
Q287972	AC4
Q288917	Елена Валенсиано
Q289068	Бернадетт Лафон
Q289592	Революция
Q290502	Пери Росси, Кристина
Q291228	Антонио Морено
Q292354	Монреаль (остров)
Q294169	Гельмонт, Ян Баптиста ван
Q294578	Дуальде, Эдуардо
Q294769	Рибек, Ян ван
Q295141	Хаим Герцог
Q295524	Камиль Фламмарион
Q296313	Филби, Ким
Q296782	ARM Limited
Q297317	ASCI Red
Q297785	Мари Дюдеффан
Q298075	Дебор, Ги-Эрнст
Q298784	Макдональд, Жак
Q299132	Chamillionaire
Q299208	Роллинз, Сонни
Q299491	Открытый чемпионат ЮАР по теннису
Q300420	Одаренный человек
Q301728	Альбский ярус
Q302176	Генри де ла Беш
Q302550	Кайл Райнер
Q302872	Триоки
Q304791	Скэмэния
Q305440	Корпо
Q305776	Эвен, Абба
Q306222	iPod classic
Q308926	Каньон Антилопы
Q310788	Александр Михайлович Ляпунов
Q311171	Инс, Пол
Q311213	Гликированный гемоглобин
Q311442	Луи Фердинанд Прусский
Q311546	Эндрю Богут
Q311671	Паттерсон, Джеймс
Q311762	Русские на Украине
Q311975	Бостон
Q312209	Буэа
Q312292	Том Арайа
Q312392	Фонтана, Лучо
Q312575	Клайв Грейнджер
Q312731	Пуэбло
Q312976	Тулсидас
Q313571	Дихес, Даниэль
Q313584	Венсан д’Энди
Q313638	Хирн, Лафкадио
Q313776	Уоллес, Джордж
Q313827	Федеральное правительство Германии
Q313893	Марига, Макдональд
Q313980	Саверио Меркаданте
Q314052	Kladderadatsch
Q314355	Диори, Амани
Q314371	Джемба-Джемба, Эрик
Q314655	Латур, Морис Кантен де
Q315031	Муса аль-Казим
Q315395	Дрезденское восстание
Q315835	Таддео Гадди
Q316720	Мориц Де Хадельн
Q316894	Макс и Мориц
Q316955	Дорн, Майкл
