Q31	Belgique
Q27789	Yannick Cahuzac
Q27860	Jayapura
Q28218	Baton Rouge
Q28389	scénariste
Q28419	Mandan
Q28456	Silla
Q29052	université Vanderbilt
Q29347	albanais arvanite
Q30185	maire
Q31063	île Christmas
Q31621	Coenraad Jacob Temminck
Q31725	Jaroslav Janus
Q32112	boxe
Q32257	Christoph Wilhelm Hufeland
Q32485	pentathlon moderne
Q32620	Tulsi Gabbard
Q33132	bataille de Gettysburg
Q33850	normand
Q33971	feuille
Q34095	bronze
Q34178	théologie
Q34366	Tasmanie
Q34503	Mehmed II
Q35572	Union des associations européennes de football
Q35666	glacier
Q35722	gotique
Q35989	Maybach
Q36236	malayalam
Q36330	Giordano Bruno
Q36963	chasse
Q37043	Tallahassee
Q37090	Trinité
Q37122	Athéna
Q37144	cartouche
Q37548	université Northeastern
Q37577	Jean Calvin
Q37853	baroque
Q37868	algue
Q38161	Chutes de Khone
Q38311	morphologie
Q38774	chien de chasse
Q39350	spéciation
Q39397	hache
Q39833	micro-organisme
Q39984	Cannes
Q40738	Bursa
Q40861	marbre
Q40904	Werner Heisenberg
Q41207	pièce de monnaie
Q41217	mécanique
Q41304	République de Weimar
Q41402	Gilbert Stuart
Q41413	Pic Ismail Samani
Q41415	soupe
Q41509	mole
Q41673	drapeau de l'Inde
Q41675	Livre Guinness des records
Q42063	Xuanzang
Q42262	Agence spatiale européenne
Q42614	Deutéronome
Q42901	district d'Araria
Q42992	Golda Meir
Q42998	orchestre
Q43199	Omaha
Q43347	Djalâl ad-Dîn Rûmî
Q43359	Music Television
Q43509	Guayaquil
Q43511	Foeniculum vulgare
Q43876	Batur
Q43944	Hamid Karzai
Q43994	Matt Groening
Q44007	Paul Klee
Q44013	Vaughan
Q44233	Hésiode
Q44315	hide
Q44344	Hilaire de Poitiers
Q44892	Kraftwerk
Q45045	simulation de phénomènes
Q45120	Josephus Nicolaus Laurenti
Q45176	Willem Jacobus Eijk
Q45227	piston
Q45754	Third Album
Q45838	Kenelm Digby
Q46090	Sylvestre III
Q46522	Calum Chambers
Q46765	Bussolengo
Q46841	Léna
Q46961	gangster
Q47053	estuaire
Q47162	Romain Rolland
Q47273	système nerveux central
Q47359	Protocole de Kyoto
Q47398	histoire économique
Q47589	Renato Schifani
Q47891	drapeau de la Finlande
Q47928	cirque
Q47967	Angleterre du Nord-Ouest
Q48187	Eric Clapton
Q48340	CNN
Q48344	Recife
Q48821	centre spatial Kennedy
Q48822	Valspar
Q49024	mostra de Venise
Q49114	université Brown
Q49218	Rochester
Q49240	Stockton
Q49247	Anaheim
Q49272	Chandler
Q49496	Jean de La Fontaine
Q49542	russes
Q49637	Roger Nimier
Q50119	Pacentro
Q50868	égyptien ancien
Q51617	calendrier liturgique romain
Q51664	Îsâ
Q51670	Cantique des Cantiques
Q51675	Livre de Malachie
Q51690	Irving
Q52371	régiment
Q52474	Layton
Q52698	Chardonne
Q53043	Giovanni Pastrone
Q53140	San Canzian d'Isonzo
Q53268	Toyota
Q53464	Wikipédia en hongrois
Q54138	Beverly
Q54212	Barnsley
Q54393	os hamatum
Q54451	Pennsylvania Station
Q54495	Harbour Bridge
Q54939	province de Valence
Q54979	L'Ours
Q55210	Abbas Kiarostami
Q55264	Charles Laughton
Q55741	Ángeles
Q55933	Ludwik Dorn
Q56003	méta-éthique
Q56189	Lise Meitner
Q56488	brabançon
Q57449	Seretse Ian Khama
Q57652	Helle Thorning-Schmidt
Q57660	John Rabe
Q58329	HyperTalk
Q58734	Pollution
Q58940	Capolago
Q59179	Carrozzeria Vignale
Q59670	Columbia
Q60700	Robert Koldewey
Q61085	Walter Momper
Q61153	comté de Poinsett
Q61223	Hermann Amandus Schwarz
Q61686	Walther Meissner
Q61896	Johannes Joachim Degenhardt
Q62164	Horst Feistel
Q62547	Michael Ballhaus
Q62589	Suède-Norvège
Q63505	Oscar Troplowitz
Q63729	comté de Moffat
Q64001	Otto Julius Bierbaum
Q65153	Franz Delitzsch
Q65644	Heymann Steinthal
Q66471	Sonvilier
Q67203	Tavannes
Q67250	Georg Albrecht Klebs
Q68256	Porrentruy
Q68385	Wazin
Q68584	Hubert von Luschka
Q69414	Friedrich Gottlob Hayne
Q69484	Spiez
Q69745	Renens
Q70900	Adolf Brand
Q71003	Theobald Boehm
Q71031	Robert Wilhelm Bunsen
Q72120	Heinrich Strack
Q72258	Melito di Napoli
Q72467	Thomas Greiss
Q72756	Raoul Walsh
Q73498	Lutz Heck
Q73887	Theodore Haak
Q74128	Alfred Flechtheim
Q74936	William Hayley
Q75807	Herbert Seifert
Q75856	Felix Hausdorff
Q76872	Queijo Serra da Estrela
Q77074	Karl Sigismund Kunth
Q77183	Wilhelm Marx
Q77202	1C Company
Q77460	Joseph Helffrich
Q77468	Tankred Dorst
Q78509	Joseph Roth
Q78570	Otto Neurath
Q78693	Leopold Vietoris
Q78716	Guido Adler
Q78987	guitare électrique
Q79439	Athens
Q79578	Google Web Toolkit
Q79608	Barre d'outils Google
Q79746	bougie
Q79848	Southampton
Q79950	Hoover
Q80131	poker
Q80517	Shreveport
Q80660	Brève histoire d'amour
Q80788	DnB NOR
Q80987	Fluminense FC
Q81197	physique nucléaire
Q81226	Gouvernement d'Erevan
Q81545	guerre civile libyenne
Q81676	drapeau de l'Australie
Q81931	États confédérés d'Amérique
Q82412	train épicycloïdal
Q82509	Brandy butter
Q82697	Giovanni Girolamo Morone
Q83069	Sakarya
Q83182	Ludovico Einaudi
Q83211	Zwiefalten
Q83653	Jahângîr
Q83978	Danny Fantôme
Q84497	Nikolaus Joseph von Jacquin
Q84786	Friedrich Asinger
Q85112	Bruno Pittermann
Q85947	Friedrich Harkort
Q85958	Salomon Sulzer
Q86070	Eberhard Hopf
Q86170	Ernst Klee
Q86259	Virgil Widrich
Q86393	Mayer Carl von Rothschild
Q87727	Mathilde Mallinger
Q90238	George Meredith
Q92633	Shawn Fanning
Q92740	Jef Raskin
Q92743	Vint Cerf
Q92777	Paul Vixie
Q92879	Tony Fadell
Q93120	Hugh Darwen
Q93690	Karl Menger
Q93718	Ludwig Anzengruber
Q95727	Ulrike Haage
Q96251	Otto Harrassowitz
Q96585	Paul Lensch
Q96962	Peter Florin
Q99633	Berliner Verkehrsbetriebe
Q100122	Kurt Kreuger
Q101081	Provence
Q102397	Miskolc
Q103000	Fritz Umgelter
Q103955	Gustav Stresemann
Q104231	Comté de Stockholm
Q104804	Mesrop Machtots
Q105967	La Gomera
Q106255	Jean-Paul Belmondo
Q106837	Saxo Grammaticus
Q107673	(87) Sylvia
Q108555	Giuseppe Tartini
Q109010	commune de Solna
Q109053	Art Tatum
Q109626	comté de DuPage
Q109790	comté de Cache
Q109820	comté d'Ada
Q110330	Ephraïm Katzir
Q110916	Hideki Shirakawa
Q116211	Union Montréal
Q116269	dioxyde de silicium
Q116369	Wretch 32
Q116780	Edita Abdieski
Q116822	Louis Appia
Q117139	Wiz Khalifa
Q117467	Royal Society of Edinburgh
Q118903	municipalité du district de Vilnius
Q122392	Jacques Bernoulli
Q123190	Jean Piaget
Q123390	Lotus SmartSuite
Q123514	Jakob Steiner
Q123829	George Gershwin
Q124754	Pie VII
Q125076	Slumdog Millionaire
Q125830	Stephen Orgel
Q126269	Wolverhampton
Q126326	Mark Helias
Q127141	Microsoft Bob
Q127213	arboriculture
Q127242	Rabbit Junk
Q127398	Moïse Maïmonide
Q127766	Nikolaus Simrock
Q127819	Jim Kelly
Q128160	crise des missiles de Cuba
Q128356	Thales Alenia Space
Q128614	John Diefenbaker
Q128927	Monsieur Ibrahim et les Fleurs du Coran
Q128992	Miralem Sulejmani
Q129137	AppleScript
Q129170	The Rock Hotel
Q129873	Le Locataire
Q130171	World Championship Wrestling
Q130193	aéroport international de Victoria
Q130243	muscle deltoïde
Q130601	Romulus Augustule
Q130924	Kalevala
Q130975	Robert Andrews Millikan
Q131036	Scientologie
Q131072	Ecclésiaste
Q131144	Tom et Jerry
Q131204	drapeau du Viêt Nam
Q131324	Janet Jackson
Q131674	Anatoli Karpov
Q131683	embryologie
Q131814	Tina Turner
Q131855	vélo hollandais
Q132265	theravāda
Q132311	fantasy
Q132708	Innocent XII
Q133069	Bourg-en-Bresse
Q133080	relations publiques
Q133132	Commune de Paris
Q133215	casino
Q133261	Du gamla, du fria
Q135622	Google Traduction
Q135888	Chicken McNuggets
Q136893	château de Turku
Q137106	Howard Walter Florey
Q138311	Elizabeth
Q138391	Paterson
Q138409	Francis Walsingham
Q138651	Wolfgang Muthspiel
Q139088	Mont-Royal
Q139857	Acide fumarique
Q139918	Waikato
Q140124	Muslim ibn al-Hajjaj
Q141844	Gatineau
Q143945	Carla Bruni
Q147804	Cachoubie
Q148154	Île Paulet
Q149315	Silvère
Q151121	aéroport international de Cincinnati-Northern Kentucky
Q151168	Martin Klebba
Q151423	Congrès de Berlin
Q151509	Abdelaziz ben Abderrahmane al-Saoud
Q151908	Pélage II
Q151936	James George Frazer
Q152467	Bnei Brak
Q152505	Leonard Bernstein
Q152548	cierge pascal
Q153015	Royaume de Saxe
Q153185	Louis Joseph Gay-Lussac
Q153521	Pfrimm
Q153669	OneWest Bank
Q153761	Elinor Ostrom
Q154674	traités d'Utrecht
Q154842	Max Ernst
Q154949	Jean Gallon
Q155000	Parti communiste bulgare
Q156033	Johann Stamitz
Q156349	Sarvepalli Radhakrishnan
Q156711	Oujhorod
Q157003	musée juif de Berlin
Q157327	Silverchair
Q157837	Porto Azzurro
Q158056	Nam June Paik
Q158175	Kid Rock
Q159144	Europa Park
Q159321	communauté d'agglomération
Q160213	Rāma
Q160549	Confédération de football d'Amérique du Nord, d'Amérique centrale et des Caraïbes
Q160802	Marcel Dassault
Q161423	Die Tageszeitung
Q161480	1,2-dichloroéthane
Q161701	Cancer
Q162546	Offensive Vienne
Q162875	mausolée
Q164469	Pierre Emmanuel
Q165154	Royaume de Sardaigne
Q166231	infection
Q166304	Billings
Q166561	Google Fiber
Q166635	Stanley Baldwin
Q167019	Jean-Marie Cavada
Q167037	corporation
Q167086	Centraal Bureau voor de Statistiek
Q167144	Rusty Bryant
Q167345	Jens Evensen
Q167409	Isham Jones
Q167558	prix SASTRA Ramanujan
Q168359	Jean Marais
Q168453	acide 2-[[4-[(2-amino-4-oxo-5,6,7,8-tétrahydro-1H-ptéridin-6-yl)méthylamino]benzoyl]amino]pentanedioïque
Q169061	lac Vida
Q169303	Rob Ford
Q169327	Al-Ansar Club
Q169342	rétine
Q169358	stratovolcan
Q169577	Ernest Orlando Lawrence
Q169584	Saint Sava II
Q169923	Galway
Q169930	mini-album
Q170303	Pélage Ier
Q170382	révolver
Q170539	parodie
Q170591	sulfure d'hydrogène
Q171195	Nāgārjuna
Q171382	Bâmiyân
Q171626	Urbain VI
Q171632	Maracaibo
Q171985	Massachusetts Bay Transportation Authority
Q172161	Joseph Reinach
Q172290	sulfate
Q172398	Adrien III
Q172721	Mercedes
Q172877	Arno Allan Penzias
Q172896	catacombes
Q172916	Jean XXI
Q172928	Clément IV
Q173016	Coventry Climax
Q173175	Eddie Jordan
Q173357	Simca
Q173380	Adrian Newey
Q173643	Abbey Road
Q174249	Minamoto no Sanetomo
Q174257	Beauvais
Q174470	Dan LaCosta
Q174626	L'Immoraliste
Q175945	Lincolnshire du Nord
Q176152	Ferrari 288 GTO
Q176626	Europa Europa
Q177342	alumine
Q177645	maire de Montréal
Q177814	Suez Environnement
Q177819	ancien Empire égyptien
Q177826	clergé
Q178024	pâte
Q178071	Boniface VI
Q178293	Mauricio Kagel
Q178390	Livre d'Ézéchiel
Q178577	Norbert Wiener
Q179126	John Ruskin
Q179132	spéléologie
Q179149	Antisthène
Q179224	Douvres
Q179405	réflexe
Q179661	thérapie
Q179731	bicarbonate de sodium
Q179742	préjugé
Q179805	philosophie politique
Q179997	Treize colonies
Q180592	philosophie sociale
Q180704	Iron Man
Q181114	Chrysler
Q181321	Brookside
Q181381	Galactose
Q181646	Jacqui Dankworth
Q181761	Mars frit
Q181826	Please Please Me
Q182780	dague
Q183108	Fabio Capello
Q183182	Arthur Rubinstein
Q183290	sérine
Q183492	Margaret Atwood
Q184299	Chah
Q184373	nitrate de sodium
Q184386	Yes
Q184590	Piste d'aérodrome
Q184599	Wexford
Q184624	tourbe
Q185073	Nestorius
Q185143	Détective Conan
Q185166	cheikh
Q185749	Kéfir
Q185988	Polycarp Pengo
Q187117	lobbyisme
Q187732	RuneScape
Q188096	Penang
Q188150	Sirone
Q188586	Royaume de Sicile
Q188612	Pest
Q188712	Empire du Japon
Q188771	Académie des sciences
Q188794	Isaïe
Q188959	Covasna
Q189085	pastel
Q189294	groupe 13
Q189447	gestion du risque
Q189526	Brian De Palma
Q189729	Philip Glass
Q189912	Aberdeenshire
Q189960	Westminster
Q190368	Appien
Q191034	Porto
Q191771	Malkhed
Q191775	Domenico Cimarosa
Q191838	Le Comte de Monte-Cristo
Q192055	massacre de Nankin
Q192207	Aurobindo Ghose
Q192611	circonscription électorale
Q193279	orphelin
Q193391	diplomate
Q193714	Palestine mandataire
Q193739	Traité d'Amsterdam
Q193793	Couche électronique
Q193800	Juvénal
Q193819	Vincennes
Q194316	aéroport de Bangkok-Suvarnabhumi
Q194978	Microsoft Visio
Q196171	Constitution du Massachusetts
Q196357	Snejinsk
Q199296	Ziff Davis
Q199310	Zift
Q200054	Jamshedpur
Q200060	Wikipédia en estonien
Q200661	Juan Rulfo
Q200918	Wayne Booth
Q201010	The Rural Alberta Advantage
Q201347	Torbern Olof Bergman
Q201358	Les Pierrafeu
Q201552	inuline
Q201617	Margherita Buy
Q201894	Audi e-tron
Q201897	Fédération italienne de football
Q201940	Led Zeppelin IV
Q202021	échelle chromatique
Q202319	Bill Haley
Q203493	Royaume de Roumanie
Q203591	Anastasia Myskina
Q203853	Nice-Matin
Q203874	maillechort
Q203923	Achéloos
Q203960	James Earl Jones
Q204138	Viktor Vasnetsov
Q204517	Georg Sverdrup
Q204577	goélette
Q204679	Bromure de zinc
Q205458	Meddle
Q205842	Aspen
Q206112	Willie Nelson
Q206171	Parlement écossais
Q206834	Code civil suisse
Q206852	Light Years
Q206855	Wikipédia en russe
Q206933	Leiria
Q207073	Giovanni Falcone
Q207295	Uusikaupunki
Q207338	quatuor à cordes
Q207535	Roland
Q207898	Manu Chao
Q207999	Kuusamo
Q208033	Qatar Airways
Q208118	psilocybine
Q208143	Wigan
Q208258	France Gall
Q208287	Kauniainen
Q208478	forêt primaire
Q208590	Kristin Scott Thomas
Q208635	équipe du Canada de soccer
Q209338	Oxnard
Q209868	Master System
Q210704	Süleyman Ier
Q211086	chlorure d'hydrogène
Q211091	Renfrewshire
Q211346	psychiatre
Q211379	Sayyid Qutb
Q211976	John Petrucci
Q212052	Jacques Ier d'Aragon
Q212357	navire amiral
Q212721	os lacrymal
Q212960	Super Audio CD
Q212980	psychologue
Q213001	Farouk Ier d'Égypte
Q213050	acide succinique
Q213508	stade Karaïskaki
Q213742	Johann Friedrich Reichardt
Q213788	nitrite
Q214062	Joseph Wright of Derby
Q214064	Alep
Q214371	Gatsby le Magnifique
Q214874	Jhelum
Q215087	Franz Anton Ries
Q215305	Giulio Romano
Q215308	Giulio Caccini
Q215354	Notting Hill
Q215616	Public Broadcasting Service
Q215638	Julius Pokorny
Q216047	Le Figaro
Q216082	Parti travailliste australien
Q216173	Ville libre de Dantzig
Q216266	Alain Robbe-Grillet
Q216383	Nevi'im
Q216708	Liam Gallagher
Q216927	Kris Allen
Q217160	Kenny Rogers
Q218960	Laurence Sterne
Q218980	Siemiatycze
Q219551	Ferruccio Busoni
Q219563	université de Washington
Q219710	Windows Aero
Q219747	Sheer Heart Attack
Q219831	La Ronde de nuit
Q220673	Mougins
Q220889	Mike Stern
Q221102	28 semaines plus tard
Q221142	Ángelos Basinás
Q221490	Der Sturm
Q221732	Paul McCarthy
Q222108	Fédération autrichienne de football
Q222466	Norse art
Q222500	Étienne VIII
Q222628	Small Faces
Q222787	Jim Beam
Q222996	Mac OS X 10.5
Q223167	Bob Sinclar
Q223181	Queen II
Q223295	In Rainbows
Q223744	Farinelli
Q225360	drapeau de la Bulgarie
Q225685	32nd Indiana Monument
Q225823	Timothy Dolan
Q229383	Sirusho
Q230507	Marguerite d'Écosse
Q230744	Anna Wintour
Q230791	royaume d'Écosse
Q231765	Geelong
Q231997	Sadako Sasaki
Q234050	Erasmus Darwin
Q234898	A. C. Bhaktivedanta Swami Prabhupada
Q234952	Betsy Ross
Q235406	Hilary Hahn
Q235470	Martha Craven Nussbaum
Q236094	Hannah Szenes
Q237106	Marie NDiaye
Q237632	os palatin
Q238023	Flavia Julia Constantia
Q238688	Floriano Vieira Peixoto
Q241693	Anguillara Sabazia
Q241771	Mayumi Tanaka
Q242135	Dianne Reeves
Q243017	Daniela Iraschko-Stolz
Q244207	Campione
Q244385	Bron-Y-Aur Stomp
Q244730	Rajya Sabha
Q246458	Trent Green
Q247128	Ulvila
Q247869	60 Minutes
Q248452	Amérique du Nord britannique
Q249612	Club Sport Emelec
Q250920	Enrico Betti
Q251062	banque nationale tchèque
Q251267	comté de Cuyahoga
Q251648	Grande rivière de la Baleine
Q252609	Nouvelle-Souabe
Q252657	Geórgios Rállis
Q253772	Elisabeth Bykova
Q255973	Hind Laroussi
Q257423	Jozef Tomko
Q257795	Ksenija Balta
Q257881	Ritt Bjerregaard
Q258499	Square Kilometre Array
Q258532	Amérique britannique
Q258546	In Flames
Q259190	Nayef Hawatmeh
Q259311	Bromure d'aluminium
Q259438	millet
Q260947	Giorgia
Q261936	Asclépiade de Bithynie
Q262242	Nicetius de Trèves
Q262399	Les Paul
Q262608	Abel Ferrara
Q263183	Sportfreunde Stiller
Q265283	Épîtres de Paul
Q265292	Transmediale
Q265459	Man Must Die
Q266592	Bogliasco
Q266779	Amel Bent
Q266893	Groupe d'armées Sud
Q267707	Defence Signals Directorate
Q267845	Gina Pane
Q268024	Patrick Moore
Q269726	Emmanuel Servais
Q269836	SHINee
Q271110	Corps des Gardiens de la révolution islamique
Q271283	808 State
Q271324	Hedda Hopper
Q271822	Pierre Messmer
Q271887	Louis Barthou
Q272502	bagel
Q272804	Emmanuelle Bercot
Q273011	bataille de Marengo
Q273108	condottiere
Q275091	Roberta Gambarini
Q277211	Naval
Q277319	Mythili
Q278334	anse Brahms
Q278417	Os triquetrum
Q278657	A. Edward Sutherland
Q280761	Windows Media Video
Q280885	Nokia Lumia 900
Q281619	Euroclear
Q281687	Rakshak
Q281955	Les Têtes brûlées
Q282748	Rasta Rockett
Q284282	Giovanni Antonio Amadeo
Q285116	Bruce Fairbairn
Q285161	IRobot
Q285255	Al-Waqidi
Q285444	Madeleine Peyroux
Q285865	Joseph Paul-Boncour
Q286064	Nitrate de cuivre(II)
Q286262	C2c
Q286452	chirurgie de la main
Q286724	MewithoutYou
Q287572	Rebecca Pidgeon
Q288781	Kensington
Q289603	Sybil
Q292693	Sylvia Chang
Q293037	Caciocavallo
Q293087	Adelaïde Hall
Q293554	Al-Dhahabi
Q294660	AMC
Q296039	James LaBrie
Q296325	Ctésias
Q296804	Bernard Herrmann
Q297032	Gueorgui Lvov
Q297194	Valdemar Ier de Danemark
Q297210	Kerry King
Q298738	ATA Airlines
Q299215	Sabbataï Tsevi
Q300356	Histoire de fantômes chinois
Q302218	Agnolo Firenzuola
Q303238	The McGuire Sisters
Q303765	Eliakim Carmoly
Q304290	Les Razmoket
Q304631	Steve Hillage
Q304885	Chris Squire
Q307882	Judy Davis
Q308913	Ensemble Studios
Q309008	Fédération polonaise de football
Q309440	WebM
Q309826	Marat Izmaïlov
Q309974	Jean Giraudoux
Q310285	Adam Elsheimer
Q310505	Alojzije Stepinac
Q310616	Al-Aqsa TV
Q311758	Nokia Lumia 820
Q311789	Ibrahim Pacha
Q312053	Rick Wakeman
Q312271	Président de la République de Moldavie
Q312280	Alain Corneau
Q312368	Ernest Chausson
Q312587	Claude Louis Berthollet
Q312788	Nicola Porpora
Q312984	Mario Del Monaco
Q313077	John Banville
Q313430	Bartholomew Roberts
Q313691	Louis Riel
Q313769	Louis Hjelmslev
Q313802	Jordan
Q314006	Guy Mollet
Q314221	Francesco Durante
Q314308	Djon Atanasov
Q314984	Jacques Pierre Brissot
Q315060	aéroport de Mannheim
Q315484	Park Chan-wook
Q315506	Ludwig Gies
Q315508	Wurstsalat
Q315999	Joseph Chamberlain
Q316013	Satoru Iwata
Q317216	Andoni Iraola
Q317436	Charles Stewart Parnell
Q318142	Godwin de Wessex
Q318406	Pu Songling
Q318504	Abel de Reims
Q319321	Georgios Papanicolaou
Q319444	Aimo Kaarlo Cajander
Q320275	Chambre des représentants de Virginie
Q320768	Henry Labouchere Taunton
Q320883	Joe Pass
Q321520	Peter Strudel
Q322144	Festival international du film de Mannheim-Heidelberg
Q322185	Edward Hitchcock
Q322552	Leo Wright
Q323505	John Webber
Q323589	Xavier Leroux
Q325406	Paul Mercurio
Q325993	Kazimierz Ajdukiewicz
Q326139	efflorescence algale
Q326342	Université Concordia
Q326480	Joel Chukwuma Obi
Q326538	John Fogerty
Q326653	comptable
Q327362	triiodothyronine
Q328007	Aleksei Dikiy
Q328309	Bar-sur-Seine
Q328689	Fédération croate de football
Q328742	Pierre Chrysologue
Q328758	Pierre Janet
Q330110	Abraham Isaac Kook
Q330158	Dhaka
Q332412	Tony Benn
Q332419	Michael Foot
Q332626	Francesco Crispi
Q333085	David Owen
Q333106	Hilaire Belloc
Q333193	Anthony Barber
Q333275	Reginald Maudling
Q333481	James Ussher
Q333637	Nu
Q333668	Enki Bilal
Q333806	Jean Victor Marie Moreau
Q334099	abbaye Notre-Dame d'Orval
Q334337	David Patrick Maxwell Fyfe of Kilmuir
Q335617	Onufri
Q336010	Charles Nodier
Q336040	Herbert Plumer
Q336122	Lopburi
Q336483	Harold Harmsworth
Q336734	Druk Pol Football Club
Q336850	Michael Nazir-Ali
Q337623	Marco Verratti
Q338026	Achaire de Noyon
Q338152	Tzena, Tzena, Tzena
Q339065	Beggars Banquet
Q339232	Rangsit Prayurasakdi
Q339824	François Accurse
Q339929	Thomas Linley le vieux
Q341174	8 cylindres en V
Q342581	Acrassicauda
Q342765	Arthur Griffith
Q343055	David Harvey
Q344266	Active Server Pages
Q344752	Acura EL
Q346204	Pinchas Zukerman
Q346530	Adad-apla-iddina
Q346582	Pascal III
Q347662	Gabriel Montalvo Higuera
Q350165	Simon Brett
Q350198	Olof Rudbeck
Q350744	Isser Harel
Q350879	Dicky Wells
Q350982	Miguel Pérez Cuesta
Q351015	Mladá
Q351312	Tom Bourdillon
Q351834	Brian Hayward
Q351904	Adams George Archibald
Q352528	Walter Pater
Q352725	Richard Brinsley Sheridan
Q353305	John Wesley
Q353482	Gabriele Oriali
Q353566	Paul Justin
Q353828	Sonny Criss
Q354033	Joe Walsh
Q354158	Henry Threadgill
Q354445	Bennie Wallace
Q355112	Louis Blanc
Q355847	Jonathan Greening
Q356083	Tony Coe
Q356089	Mark Feldman
Q356305	Jamie Cullum
Q357974	Julian Lennon
Q358561	Reinhold Niebuhr
Q359460	Joseph Desha
Q359973	Adobe RVB
Q361305	Claude Chappe
Q361405	Théodore Studite
Q361456	Claude-Joseph Dorat
Q362555	David Batty
Q363134	Emanuel Tov
Q363466	Bob Wilber
Q364179	Fritz Reiner
Q364377	Jean-Louis Tixier-Vignancour
Q364505	Bertil Lindblad
Q364544	Samuel Medary
Q365387	Gabriel Ramanantsoa
Q367243	Michel-Jean Sedaine
Q367508	Eric Dolphy
Q367566	Yogi Berra
Q369013	Michael Leighton
Q369524	Compagnies Ganz
Q369832	Charles Martial Lavigerie
Q370765	Mark Boal
Q371119	Bruce Fowler
Q371670	Amalasonte
Q372549	Salvador Espriu
Q372617	The Lemon Song
Q372681	Amaury Sport Organisation
Q373703	Salvatore Accardo
Q374537	Schellas Hyndman
Q374767	Rogers TV
Q375648	Manny Ramírez
Q375733	Virgilio Mazzocchi
Q375826	Nan Wood Honeyman
Q376178	Établissements des détroits
Q376793	Ridoir
Q377602	John William McCormack
Q378274	vélin
Q378839	David Janowski
Q379372	Vila Real
Q379555	Advanced Function Presentation
Q379723	Nogaï
Q380089	Fulgence de Ruspe
Q380162	Nashenas
Q380545	Ignacy Krasicki
Q380845	Aelred de Rievaulx
Q380987	Coquelles
Q381039	John Wilkins
Q381092	Augustin Thierry
Q381124	Union royale belge des sociétés de football association
Q381375	guerre du Haut-Karabagh
Q381397	Menachem Mendel Schneerson
Q381543	Stephen Mulhern
Q382253	Alberts Kviesis
Q383402	Lannemezan
Q383541	Basshunter
Q383853	Henry Litolff
Q384755	Kawartha Lakes
Q385662	oxyde de lithium
Q388980	Tovuz
Q389008	After Forever
Q389763	Fédération hellénique de football
Q389936	The American Historical Review
Q392125	Tokyo Mew Mew
Q392564	grande mosquée de Paris
Q395171	Agobard de Lyon
Q395751	Agostino Vallini
Q401976	Fast and Furious 5
Q403127	base antarctique Concordia
Q405836	Ain
Q407646	mannitol
Q407684	Diborane
Q408022	Diméthylamine
Q408925	Acide azothydrique
Q409184	Éthylbenzène
Q409292	pipérazine
Q409298	Diméthylformamide
Q409648	cytidine triphosphate
Q410707	oxyde de graphite
Q410814	protéine design
Q411155	Aluminate de sodium
Q411260	Carbonate de plomb(II)
Q411320	acide bromique
Q411352	Suboxyde de carbone
Q411467	Acide hexachloroplatinique hexahydraté
Q413209	TRPV1
Q413940	Octanitrocubane
Q414669	Oxyde de manganèse
Q415144	Bicarbonate de calcium
Q415484	Titanate de baryum
Q415945	Phytol
Q417664	Exome
Q418449	Akimi Yoshida
Q419235	Polyyne
Q420423	Diéthylzinc
Q420466	Formiate d'ammonium
Q420989	Chlorure de platine
Q421281	copolymère
Q422062	Aktiengesellschaft
Q423185	cortisone
Q423204	Xylulose
Q423223	Lyxose
Q424275	Mucilage
Q424724	catalase
Q428152	bottleneck
Q428905	Asser
Q429165	autoroute A1
Q430302	The Shizit
Q432602	David Hidalgo
Q433287	Nova Levante
Q433406	System i
Q433497	Marta Abba
Q434182	Yigal Hurvitz
Q434590	John Joseph Kain
Q434595	Maria Valtorta
Q436079	Vieil opéra de Francfort
Q436515	Blossom Dearie
Q436687	Marion Post Wolcott
Q437117	Toshiko Akiyoshi
Q441430	Altin Lala
Q441514	Martha Fineman
Q441626	Christine Albanel
Q442733	Pia Wunderlich
Q442839	Rosella Hightower
Q443011	official
Q443089	vieux néerlandais
Q445460	Shantideva
Q445597	Monts de Thuringe
Q446695	Kristin Clemet
Q447351	Paolo Soleri
Q448464	Peppermint Candy
Q448820	Tofik Bakhramov
Q448822	Louis Marchand
Q449255	Linda Ulvaeus
Q449571	Rabih Abou-Khalil
Q450229	Prince Ali Khan
Q451901	Bettina Wiegmann
Q452773	Arnaud Amaury
Q453007	Santiago Botero
Q453743	Lena Yada
Q454031	Steve Gadd
Q454940	North Side Gang
Q455428	Fédération suédoise de football
Q455442	Fîrûz Shâh Tughlûq
Q455549	Hugo Lederer
Q455625	Evert Taube
Q456069	Ildefonse
Q456122	Alexandre de Beauharnais
Q456481	Eva Henning
Q458364	Sarah Slean
Q458761	A Love Trilogy
Q459645	Renata Polverini
Q459720	The Price Is Right
Q459897	Victor Wanyama
Q461628	Gergely Kiss
Q462381	Thomas Kennedy
Q462562	Lil Armstrong
Q463349	Phoenix Hagen
Q463627	Ferrari F40
Q463728	Louis de Rouvroy, duc de Saint-Simon
Q463884	Journée internationale de la biodiversité
Q463997	Meinwerk
Q464862	Dóra Bakoyánni
Q464941	Hadia Tajik
Q465719	Paolo Martin
Q465952	Amoco
Q466443	La Famille indienne
Q466538	Cabo Delgado
Q466956	président du Chili
Q467312	Cora Diamond
Q467368	Agnieszka Osiecka
Q467435	La Fille du jardinier
Q467926	Cathaoirleach
