Q2	Daga
Q13694	Akin-abagatan a Mindanao	Rehion XI	Rehion ti Davao
Q13711	Abra
Q13726	Albay
Q13739	Bataan
Q13750	Benguet
Q13752	Bohol
Q13759	Cagayan
Q13767	Camarines Sur
Q13772	Capiz
Q13778	Catanduanes
Q13785	Cavite
Q13786	Cebu
Q13792	Davao del Norte
Q13809	Daya a Samar
Q13812	Ifugao
Q13825	Iloilo
Q13826	Isabela
Q13829	La Union
Q13843	Lanao del Sur
Q13844	Leyte
Q13846	Marinduque
Q13847	Masbate
Q13861	Mountain Province
Q13862	Negros Occidental
Q13863	Negros Oriental
Q13865	Nueva Ecija
Q13866	Nueva Vizcaya
Q13868	Oriental Mindoro
Q13869	Palawan
Q13870	Pampanga
Q13871	Pangasinan
Q13873	Quirino
Q13874	Rizal
Q13881	Sorsogon
Q13882	Abagatan a Cotabato
Q13884	Abagatan a Leyte
Q13889	Surigao del Norte
Q13892	Tarlac
Q13895	Zambales
Q13899	Zamboanga del Norte
Q13902	Zamboanga Sibugay
Q13955	Arabiko
Q13984	Casanare
Q13989	Honshu
Q13990	Valle del Cauca
Q14090	Bikini
Q14185	Oksitano
Q14196	Aprikaans
Q14212	Umuna a Ministro
Q14420	Bilin ti Imperio ti Britaniko
Q14440	Iquique
Q14467	La Serena
Q14579	Linux
Q14773	Macau
Q15028	Gunglo ti Sangalubongan para iti Panagalagad	ISO
Q15029	Hu Jintao
Q15065	Malaysio
Q15180	Kappon ti Sobiet
Q15282	Nuevo León
Q15701	Kagoshima
Q15862	Queen
Q16521	takson
Q16551	Vermont
Q16553	San Jose
Q16554	Denver
Q16556	Phoenix
Q16559	Austin
Q16567	Columbus
Q16628	Wen Jiabao
Q16635	Guam
Q16867	Edgar Allan Poe
Q16975	Papa Pablo VI
Q17070	Réunion
Q17139	Akita
Q17144	Presidensial a Medalia ti Wayawaya
Q17175	Marikina
Q17179	Navotas
Q17189	Pasay
Q17193	piso	pisos ti Filipinas
Q17252	Tibet
Q17427	Partido Komunista ti Tsina
Q18013	Sacramento
Q18094	Honolulu
Q18102	Saint-Mandé
Q18383	Providence
Q18419	Brooklyn
Q18808	Pyongyang
Q19020	Pammadayaw nga Oscar
Q19185	George Bernard Shaw
Q19546	Papa
Q19673	Al Gore
Q19689	Tirana
Q19809	Pasko	Paskua
Q19828	Bisiesto a tawen	Leap year	Tupuak a tawen
Q19837	Steve Jobs
Q19860	sasao nga Indo-Europeano
Q20916	Partido Saenuri
Q20927	Daegu
Q20934	Incheon
Q20937	Gyeonggi
Q21578	Unibersidad ti Princeton
Q22686	Donald Trump
Q22890	Ireland	Irlanda	Irlandia
Q23058	kanton ti Suisa
Q23154	Bristol
Q23220	Berkshire
Q23334	Abkhazia
Q23337	Salt Lake City	Siudad ti Salt Lake
Q23406	Baybay Nalabbasit
Q23427	Abagatan nga Osetia
Q23430	Ulaanbaatar
Q23434	Ernest Hemingway
Q23436	Edinburgh
Q23438	Ashgabat
Q23441	Octave Mirbeau
Q23482	Marseille	Marseilles	Marsella
Q23540	Protestantismo
Q23556	Atlanta
Q23564	Podgorica
Q23666	Britain	Britania	Gran Britania	Great Britain	Nalatak a Britania
Q23681	Akin-amianan a Cyprus
Q23685	Jimmy Carter
Q23691	nailian a kanta ti pagilian
Q23768	Las Vegas
Q23810	Alfred Bernhard Nobel	Alfred Nobel
Q23873	Papa Juan XXIII
Q24746	probinsia ti Filipinas
Q24764	ili ti Filipinas
Q24861	Albany
Q24879	Bremen
Q25164	Nynorsk
Q25223	Presidente ti Alemania
Q25227	Antilia nga Olandés	Dagiti Antille iti Nederland	Netherlands Antilles
Q25228	Anguilla
Q25231	Svalbard
Q25275	ISO 3166-1
Q25279	Curaçao
Q25280	Harrisburg
Q25289	Korniko
Q25305	IVB
Q25314	Angiospermae	Magnoliophyta	mula nga agsabsabong
Q25330	Trenton
Q25351	Theodor Mommsen
Q25410	Aalborg
Q25814	Spermatophyte
Q25923	Longyearbyen
Q26087	Tromsø
Q26590	Ciudad Juárez	El Paso del Norte
Q27231	Akindaya nga Asia	Daya nga Asia
Q27275	Sentral nga Asia	Tengnga nga Asia
Q27293	Abagatan a laud nga Asia	Akinlaud nga Asia	Laud nga Asia
Q27381	Akin-amianan nga Aprika	Amianan nga Aprika
Q27433	Sentral nga Aprika	Tengnga nga Aprika
Q27449	Akin-abagatan nga Europa
Q27468	Akindaya nga Europa
Q27479	Akin-amianan nga Europa
Q27496	Akinlaud nga Europa	Lumaud nga Europa
Q27509	Sentral nga Europa	Tengnga nga Europa
Q27572	Patrick Ebert
Q27611	Tengnga nga Amerika
Q27683	Acehnes
Q27776	Adigue
Q27995	Bangued
Q28180	Jefferson City	Siudad ti Jefferson, Missouri
Q28198	Jackson
Q28218	Baton Rouge
Q28227	Magreb
Q28237	Lansing
Q28244	Amariko
Q28249	Concord
Q28260	Lincoln
Q28271	Annapolis
Q28288	Eddie Redmayne	Edward John David Redmayne
Q28389	mannurat iti senario
Q28602	Arameo
Q28695	Unibersidad ti Helsinki
Q28848	Saint Paul
Q29052	Unibersidad ti Vanderbilt
Q29213	Tarja Halonen
Q29364	Montgomery
Q29401	Asames
Q29445	Juneau
Q29496	leukemia
Q29507	Asturiano
Q29552	Democratic Party	Partido Demokratiko
Q30185	Municipal mayor	mayor
Q30319	Akinngato a Silesiano	Silesiano
Q30340	Zhengzhou
Q30449	Avril Lavigne
Q30461	Presidente
Q30985	Hamilton
Q31063	Isla ti Paskua	Teritorio ti Isla ti Paskua
Q32112	Boksingero
Q33070	Balines
Q33153	Cuyonon
Q33203	Metodismo
Q33231	potograpo
Q33239	Cebuano	Cebuano language	Pagsasao a Bisaya
Q33254	Baybay Tasman
Q33262	Chamorro
Q33295	Fijiano
Q33298	Filipino	Filipino language
Q33405	Little Rock
Q33486	Hartford
Q33518	Dover
Q33569	Hawayano
Q33629	Baybay Kara
Q33673	Kanares
Q33690	Kasubio
Q33760	Bertrand Russell
Q33776	Palauano
Q33788	Baro a Caledonia
Q33790	Niuano
Q33837	purpuro
Q33845	Napolitano
Q33866	Theodore Roosevelt
Q33923	San Pedro
Q33935	Tel Aviv
Q33986	Valparaíso
Q33997	Sindhi
Q33999	aktor	aktor /aktres	aktres
Q34002	Sundanes
Q34006	Hollywood
Q34011	Samoano
Q34012	Marlon Brando
Q34055	Tuvaluano
Q34057	ISO 639:tgl	ISO 639:tl	Tagalog
Q34094	Tongano
Q34110	Oaxaca
Q34125	Pagsasao a Tetun	Tetum
Q34159	Tok Pisin
Q34215	OpenBSD
Q34264	BSD	Berkeley Software Distribution
Q34271	Pagalagadan a Tibetano
Q34296	Woodrow Wilson
Q34379	instrumento ti musika
Q34389	Whitney Houston
Q34433	Unibersidad ti Oxford
Q34474	Aleksandr Solzhenitsyn
Q34597	James A. Garfield	James Garfield
Q34600	Kyoto
Q34675	Golpo Arabiano	Golpo Persiano	Golpo ti Iran
Q34740	henero
Q34820	Santo Domingo
Q34836	Ulysses S. Grant
Q34863	Oklahoma City
Q34981	Isaac Asimov
Q35041	William McKinley
Q35171	Grover Cleveland
Q35178	Siudad ti Kuwait
Q35236	Herbert Hoover
Q35286	Warren G. Harding
Q35452	Bislama
Q35455	Bikol	Sasao a Bikol
Q35493	Almaty
Q35497	Antigo a Griego	Duog a Griego	Pagsasao a Taga-ugma a Griego	Taga-ugma a Griego
Q35500	Aprodita
Q35525	Balay a Puraw
Q35581	Ezo	Hokkaido	Yeso	Yesso	Yezo
Q35637	Premio Nobel iti Kappia
Q35648	William Howard Taft
Q35678	Benjamin Harrison
Q35686	Rutherford B. Hayes
Q35765	Osaka
Q35876	Guarani
Q35934	Interlingua	Pagsasao nga Interlingua
Q35978	Hiligaynon	Pagsasao nga Ilonggo
Q35994	Bauko
Q36023	Calvin Coolidge
Q36025	Bontoc
Q36180	mannurat
Q36214	Puerto Montt
Q36280	Marshales
Q36312	Calgary
Q36510	Moderno a Griego
Q36834	kompositor
Q37030	Thomas Mann
Q37041	Klasiko nga Insik	Literario nga Insik
Q37043	Tallahassee
Q37049	Filmfare Awards
Q37073	pop
Q37226	manursuro
Q37278	Papa Juan Pablo I
Q37312	IMDB	IMDb	Internet Movie Database
Q37327	Samuel Beckett
Q37362	Akrotiri ken Dhekelia
Q37400	Naypyidaw
Q37614	Jolibee	Jollibee
Q37660	Baybay Abagatan Tsina	Baybay Abagatan a Tsína
Q37767	T. S. Eliot
Q37836	Milwaukee
Q37922	Premio Nobel iti Literatura
Q37951	Sapporo
Q38076	McDonald's
Q38104	Premio Nobel iti Pisika
Q38453	Columbia
Q38555	Santa Fe
Q39042	Cheyenne
Q39631	mediko
Q39709	Des Moines
Q39739	Aconcagua
Q39984	Cannes
Q40285	Baro a Guinea
Q40348	abogado
Q40556	Sara ti Aprika
Q40626	Tacloban
Q40715	Jennifer Lopez
Q40811	Sukhumi
Q40826	Knut Hamsun
Q40874	Doris Lessing
Q40904	Werner Heisenberg	Werner Karl Heisenberg
Q41151	Gyeongsangnam-do
Q41163	Al Pacino	Alfredo James Pacino
Q41351	Alicia Christian Foster	Jodie Foster
Q41395	Jose Luis Rodriguez Zapatero
Q41417	Academy Award for Best Writing, Original Screenplay
Q41421	Michael Jordan
Q41470	Kurdistan
Q41488	Akinwande Oluwole Soyinka	Wole Soyinka
Q41520	Wimbledon
Q41585	David Hilbert
Q41602	Baybay ti Okhotsk
Q41688	Hendrik Lorentz
Q41710	etnisidad	grupo ti etniko
Q41871	Paul Leonard Newman	Paul Newman
Q42101	Denzel Hayes Washington, Jr.	Denzel Washington
Q42247	Sully Prudhomme
Q42323	Papa Pio XI
Q42365	Daan nga Ingles
Q42493	Kathy Perry	Katy Perry
Q42537	wagayway ii Estados Unidos
Q42603	padi
Q42735	Olympia
Q42786	Audrey Hepburn	Audrey Kathleen Ruston
Q42820	Baybay Liguria
Q43105	Bantay Elbrus
Q43247	Ingrid Bergman
Q43292	sultan
Q43293	J. M. Coetzee	John Maxwell Coetzee
Q43387	Edirne
Q43448	Teritorio ti Britania iti Taaw Indiano
Q43500	Abulug
Q43510	Nightwish
Q43523	Gerhart Hauptmann
Q43627	Mac OS
Q43689	Ambrosio
Q43720	Papa Pio IX
Q43739	Papa Pio X
Q43788	Madison
Q43845	negosiante
Q43919	Salem
Q43922	Papa Leo XIII	Papa Leon XIII
Q44221	Sean Justin Penn	Sean Penn
Q44564	Charleston
Q44571	GNU	GNU's Not Unix
Q44612	Horst Seehofer
Q44725	Baybay Bering
Q45354	The Doors
Q45823	Baybay Barents
Q45909	John Cale
Q45961	sasao a Sino-Tibetano
Q46422	Sonora
Q46475	Guanajuato
Q46508	Baja California Sur
Q46525	Premio Pulitzer
Q46831	kabambantayan	kordiliera
Q47064	militar
Q47149	Papa Silvestre I
Q47164	Santa Monica
Q47465	Aix-en-Provence
Q47703	The Godfather
Q47896	Miyagi	Prefectura ti Miyagi
Q48259	Dick Cheney
Q48263	Xbox 360
Q48268	IUCN	Sangalubongan a Kappon para iti Konserbasion ti Katutubo
Q48278	Medellin	Medellín
Q48292	Arles
Q48326	Iwate	Prefectura ti Iwate
Q48958	Neuilly-sur-Seine
Q48987	Jonathan Demme
Q49025	Volpi Cup
Q49084	ababa a sarita
Q49088	Unibersidad ti Columbia
Q49110	Unibersidad ti Boston
Q49116	Dartmouth College
Q49122	Eskuela ti Linteg ti Harvard
Q49162	Lowell, Massachusetts
Q49210	Unibersidad ti New York
Q49213	Unibersidad ti Texas iti Austin
Q49214	Dan Quayle
Q49216	Walter Mondale
Q49228	sasao nga Austronesio
Q49259	Virginia Beach
Q49757	mannaniw
Q49762	Kappon ti Demokratiko a Kristiano
Q49763	Kappon Sosial ti Kristiano ti Baviera
Q50179	Ilagan
Q51480	Bayombong
Q52535	Rosario
Q52954	instrumento ti teklado
Q53070	Cabarroguis
Q53079	Coahuila
Q53081	Baler
Q54156	Chelsea, Massachusetts
Q54457	Dinalupihan	Dinalupihan, Bataan
Q54595	Marilao
Q56016	Katharine Hepburn	Katharine Houghton Hepburn
Q57066	James Franck
Q57068	Wilhelm Carl Werner Otto Fritz Franz Wien	Wilhelm Wien
Q57087	Papa Adriano VI
Q57928	Annette Schavan
Q58635	Punjabi
Q58731	Amianan a Baja California	Baja California
Q60072	The Sound of Music
Q60123	Chiapas
Q60130	Veracruz
Q60158	Guerrero
Q60957	Eberhard Diepgen
Q61306	Guanajuato
Q61307	Ulla Schmidt
Q61309	Colima
Q61761	Pascual Jordan
Q61878	barangay	baranggay
Q62214	Gerhard Stoltenberg
Q62337	Vanadzor
Q63078	Hermann Usener
Q63145	Imus
Q64450	Agkakabsat a Marx
Q65527	Walter Riester
Q66117	Morelos
Q66138	Annemarie Renger
Q66221	pagidulinan ti datos ti kompiuter
Q67911	Kurt Bodewig
Q68947	subsebbangan
Q69371	Rainer Eppelmann
Q71206	Bette Davis	Ruth Elizabeth Davis
Q71707	Fukushima	Prefectura ti Fukushima
Q72154	Baybay Amundsen
Q72334	Toni Morrison
Q72984	Bing Crosby	Harry Lillis Crosby	Harry Lillis Crosby, Jr.
Q73094	The Queen's College
Q75612	Isaac Bashevis Singer
Q75809	Luteranismo
Q76483	Rainer Maria Rilke
Q76816	Carl Ludwig Blume
Q77181	Emil Jannings
Q78980	San Luis Potosí
Q79000	Pieter Zeeman
Q79754	Querétaro
Q79797	Armenio
Q79863	Tskhinvali
Q79923	Puebla
Q80007	Tamaulipas
Q80028	Papa Alejandro I
Q80252	Sinaloa
Q80269	Zacatecas
Q80405	Julianne Moore
Q80434	Aichi
Q80702	Imperio nga Espaniol
Q80903	Hidalgo
Q80966	Cate Blanchett	Catherine Élise Blanchett
Q81018	Judas Iscariote
Q81033	Monterrey
Q81096	inhenniero
Q81173	Exeter College
Q81180	Grammy Hall of Fame Award
Q81398	Acapulco	Acapulco de Juárez
Q81863	Akita	Prefectura ti Akita
Q82112	Estado ti Mehiko
Q82476	William Carney
Q82955	politiko
Q83029	Papa Gregorio XIII
Q83059	Saul Bellow
Q83067	Timor
Q83124	Balinghoy	Manihot esculenta
Q83158	Jean Cocteau
Q83279	SpongeBob SquarePants
Q83410	Archibald Alexander Leach	Cary Grant
Q84942	Herbert Hupka
Q88846	Barbara Weiler
Q90455	Friedbert Pflüger
Q90696	Georg Fahrenschon
Q93356	Seamus Heaney
Q94123	Jack Lemmon	John Uhler Lemmon III
Q94345	Bilin ni San Olaf
Q95055	Jane Wyman	Sarah Jane Mayfield
Q96820	Johannes Kahrs
Q97421	Ludwig Ross
Q99055	Ernst Bahr
Q101266	Papa Inocencio X
Q101617	Heidrun Bluhm
Q101974	Joseph-Ernst Fugger von Glött
Q102427	Kapintasan a Pelicula	Madayaw a Pelicula
Q102483	Jaroslav Seifert
Q103292	Papa Adriano I
Q103314	Papa Constantino
Q103360	Academy Award for Best Director
Q103618	Kalaingan nga Aktres	Madayaw nga Aktres
Q103916	Kalaingan nga Aktor	Madayaw nga Aktor
Q103949	Buster Keaton	Joseph Frank Keaton
Q104109	Gladys Louise Smith	Gladys Marie Smith	Mary Pickford
Q104157	siudad ti Filipinas
Q104177	Otto Lenz
Q105355	Ingbert Liebing
Q105861	VfL Bochum
Q106126	Simone Henriette Charlotte Kaminker	Simone Signoret
Q106255	Jean-Paul Belmondo
Q106291	Kalaingan a Mangsuporta nga Aktor
Q106301	Oscar para iti mangsuporta nga Aktres
Q106487	ISO 3166
Q106529	Alain Delon	Alain Fabien Maurice Marcel Delon
Q106825	Rodriguez
Q106832	San Mateo
Q107011	Boac
Q107624	Calapan
Q108173	Kirsten Lühmann
Q109375	Oliver Wittke
Q111483	El Nido, Palawan
Q111739	Puerto Princesa
Q111970	Petra Bierwirth
Q112099	pagilian nga isla
Q112865	administratibo a pannakabingbingay ti Mehiko
Q117096	Ramon Magsaysay
Q120730	Kyoto	Prepektura ti Kyōto
Q122376	Papa Calixto I
Q122482	Wagayway iti Europa	Wagayway iti Kappon ti Europa
Q122723	Osaka
Q122741	Sega
Q123258	Fukuoka
Q123304	Antioquia
Q123705	kaarrubaan
Q123737	Premio Emmy
Q124020	wagayway ti Suisa
Q124739	Tijuana
Q125293	Puebla de los Angeles	Puebla de los Ángeles	Puebla, Puebla	Siudad ti Puebla
Q126711	Papa Benedicto XIV
Q127040	Mutlu
Q127264	Yamaguchi
Q127513	Kanagawa	Prefectura ti Kanagawa
Q127856	Beverly Hills
Q127877	Nagano
Q128186	Prefectura ti Saitama	Saitama
Q128196	Mie
Q129352	Stepanakert
Q129967	Papa Clemente XI
Q130290	Hyōgo	Prepektura ti Hyogo
Q130300	Miyazaki
Q130975	Robert Andrews Millikan
Q131277	Gifu
Q131281	Ishikawa
Q131287	Nara
Q131320	Shizuoka
Q131358	Shiga
Q131579	Papa Urbano VIII
Q131626	Instituto ti Smithsoniano
Q131721	Johannes Diderik van der Waals
Q131729	William Lawrence Bragg
Q131850	Ipil
Q131945	Papa Pio V
Q132050	Governador	gobernador
Q132140	Pederal nga Unibersidad ti Minas Gerais
Q132265	Theravada
Q132684	Saint-John Perse
Q132701	Derek Walcott
Q132705	Niigata
Q132708	Papa Inocencio XII
Q132720	Yamanashi
Q132929	Toyama
Q132936	Okayama
Q132959	Sub-Sahara nga Aprika
Q133001	Papa Pablo III
Q133121	Papa Clemente XIII
Q133350	Papa Sixto V
Q133747	William Henry Bragg
Q133846	George Paget Thomson
Q133879	Fukui
Q133935	Tottori
Q134085	Jean Baptiste Perrin
Q134514	Suez
Q138198	Partido dagiti Agtrabtrabaho a Sosialista nga Espaniol
Q146328	Mankomunidad ti Filipinas
Q148440	Flores
Q153978	Unibersidad ti Tübingen
Q155961	Papa Clemente IX
Q157111	Branko Crvenkovski
Q158119	Ramallah
Q159552	Johannes Vilhelm Jensen
Q160302	Unibersidad ti Edinburgh
Q160609	Papa Inocencio IV
Q160687	Valdivia
Q160734	Tokushima
Q160894	Spaniards	Tattao a Castila	Tattao a Kastila	Tattao nga Espaniol
Q161243	agkamkammatalek a teritorio
Q161491	Reading
Q161983	Papa Pio IV
Q162102	Papa Benedicto VIII
Q162202	Nicki Minaj
Q162442	Allahabad
Q163700	Lehion ti Dayaw
Q164466	Baybay Ross
Q165094	Angry Birds
Q165204	Merida	Mérida
Q166032	The Washington Post
Q166389	Daniel Day-Lewis	Daniel Michael Blake Day-Lewis
Q167270	marka ti pabrika
Q168359	Jean Marais	Jean-Alfred Villain-Marais
Q168734	Papa Vigilio
Q168756	Unibersidad ti California, Berkeley
Q169358	estratobulkan	komposito a bulkan
Q169376	Nagasaki
Q169470	pisiko
Q169577	Ernest Lawrence	Ernest Orlando Lawrence
Q170174	Es-estado ti Papa
Q170322	Qingdao
Q170386	Papa Inocencio II
Q170389	Papa Benedicto XII
Q170395	Papa Clemente VIII
Q170462	Sarawak
Q170481	Pagtitinnulongan ti Ekonomia ti Asia-Pasipiko
Q170500	Papa Romano
Q170502	Papa Honorio I
Q170741	Karl Manne Georg Siegbahn	Manne Siegbahn
Q170863	Papa Clemente VI
Q170867	eskudo ti Mehiko
Q171238	Papa Celestino IV
Q172383	Papa Silvestre II
Q173121	Santiago de Querétaro	Siudad ti Querétaro
Q173152	Kappon ti Popular a Tignay
Q173158	Ben Kingsley	Krishna Bhanji
Q173338	Cetinje
Q173474	Veliko Tarnovo
Q174018	Tampakan
Q174096	Siudad ti Sorsogon
Q174710	Unibersidad ti California, Los Angeles
Q177220	kumakanta
Q178169	Presbiterianismo
Q178799	Papa Benedicto IX
Q179029	Sabah
Q179808	Palme d'Or
Q181754	pannakapaay iti puso
Q181899	Cliff Robertson	Clifford Parker Robertson III
Q182462	Janet Gaynor	Laura Augusta Gainor
Q182474	Papa Lucio III
Q183387	Columbia Records
Q183455	Baybay Bellingshausen
Q183945	produser ti rekord
Q184587	Grand Rapids
Q185299	Tony Award for Best Actress in a Play
Q185351	hurista
Q188094	ekonomista
Q188575	IMAX
Q188712	Imperio ti Hapon
Q188759	representatibo a demokrasia
Q188822	Banko ti Panagparang-ay ti Asia
Q188939	Aguinaldo	Aquinaldo	Emilio Aguinaldo	Emilio Aquinaldo
Q189128	León
Q189138	Hermosillo	Hermosillo, Sonora	Pitic
Q189290	opisial
Q189490	Jennifer Lawrence	Jennifer Shrader Lawrence
Q189715	Courbevoie
Q189895	Jennifer Jones	Phylis Lee Isley
Q190220	Philip Pullman
Q191651	Siudad ti Masbate
Q192592	Kenneth Arrow
Q192681	Virac
Q193196	University College ti Londres
Q193391	diplomatiko
Q194223	Unibersidad ti Buenos Aires
Q194445	Unibersidad ti Cairo
Q195767	Libertad
Q199440	Mexicali
Q199910	Departamento ti Magdalena
Q199943	Adriano Celentano
Q200173	Abagatan a Kaukaso	Transkaukasia
Q200180	Wikipedia a Bietnamis
Q201646	George Clinton
Q202051	Jean Hersholt Humanitarian Award
Q202698	Yesterday
Q203433	Spiro Agnew
Q204245	Cuernavaca
Q204561	Modesto
Q205380	Greenwich Village
Q207655	Kjell Magne Bondevik
Q207867	Ian Curtis	Ian Kevin Curtis
Q207935	Chilpancingo	Chilpancingo de los Bravo
Q208460	1984
Q208678	Balatan
Q208713	Ixelles
Q208749	Canaman
Q209034	Toluca	Toluca de Lerdo
Q209344	Sapienza - Unibersidad ti Roma
Q209842	Unibersidad ti Paris
Q209989	Hubert Humphrey
Q211377	Leyte
Q212222	Ampatuan
Q212310	Datu Abdullah Sangki
Q212948	partisano
Q212980	sikologo
Q213838	Walter Behrendt
Q213976	Reinhold Maier
Q214215	La Paz
Q214504	Labuan
Q214913	Leticia
Q214917	dramaturgo
Q215351	Fidel Ramos	Fidel V. Ramos
Q217439	Unibersidad iti Hawai'i	Unibersidad ti Hawaii	Universidad iti Hawai'i
Q219060	Estado ti Palestina
Q219631	Adam Levine
Q221051	Jalapa	Xalapa	Xalapa-Enríquez
Q221507	Saint-Rémy-de-Provence
Q222749	panagarte
Q223419	Manuel Roxas	Roxas
Q223545	Daniel D. Tompkins
Q223963	Antoine Laurent de Jussieu
Q225554	Henrik Pontoppidan
Q226003	New York Film Critics Circle Awards
Q230607	Caldas
Q231554	La Ciotat
Q231923	Marian Anderson
Q232564	Cundinamarca
Q233611	Gunglo ti Internasional a Hidrograpiko
Q235004	Ciudad ti Vigan	Vigan	Vigan City
Q235034	Unibersidad ti Pittsburgh
Q235188	Sucre
Q235729	Kadawyan a tawen
Q236118	Akin-abagatan a Kono
Q238101	Unibersidad ti Minnesota
Q238629	Departamento ti Meta
Q240631	Unibersidad ti Belgrado
Q241248	Orhan Pamuk
Q241748	Pagarian iti Serbia
Q244165	Republika ti Artsakh	Republika ti Nagorno-Karabah
Q245068	komidiante
Q250867	Katoliko a padi
Q251666	Henry A. Wallace
Q252730	sebbangan-kita
Q253308	Shirley Booth
Q256531	Iman
Q264344	Davidsson
Q270794	Nailian nga Akademia dagiti Siensia
Q273546	Hannibal Hamlin
Q274134	Wao
Q274486	Unibersidad ti Waseda
Q286068	Marion
Q295148	Peter Stormare
Q298991	John Nance Garner
Q302210	Partido Nacionalista
Q308993	NeXT
Q310775	Jean-Claude Duvalier
Q310839	Adlai Stevenson I
Q312539	Diosdado Macapagal	Macapagal
Q312870	Jerry Garcia
Q314619	Cateel
Q315851	Carcar
Q315923	Compostela
Q315945	Consolacion
Q315965	Cordova
Q316056	Liloan
Q316146	Minglanilla
Q316197	Naga
Q316318	San Fernando
Q316500	Talisay
Q327333	ahensia ti gobierno
Q330920	Saintes-Maries-de-la-Mer
Q331397	Oak Park
Q331661	Ciudad Victoria
Q333634	agipatpatarus
Q334288	Eric Reed Boucher	Jello Biafra
Q335806	Abugida
Q338015	Beata
Q347986	Stephen Philip Jones	Steve Jones
Q349391	Helen Mirren
Q365766	Erland Van Lidth	Erland Van Lidth De Jeude	Erland van Lidth	Erland van Lidth de Jeude
Q371402	Partido Komunista ti Kuba
Q372250	Adrian
Q374365	Jeddah
Q375928	akinbaba a kamara
Q376749	Chittagong
Q380526	AmigaOS
Q389735	sakit ti cardiovascular
Q399643	GMA Network
Q399984	Dagiti hemisperio ti Daga
Q400007	BAFTA Award for Best Actor in a Leading Role
Q412179	Wilk
Q425571	Albert William Herre	Herre
Q427626	taksonomiko a ranggo
Q432169	Dipolog
Q432637	Unibersidad ti George Washington
Q445673	Bilin ti Dayaw ti Baden-Württemberg
Q449037	Alvin Ailey
Q450675	Francisco I	Jorge Bergoglio	Jorge Mario Bergoglio	Papa Francisco	Papa Francisco I
Q455430	Alexander Cunningham
Q459787	Iloilo City	Siudad ti Iloilo
Q461376	Pedro Yang
Q461826	Grand Island
Q462266	Helen Dunmore
Q463085	Golden Globe Award for Best Actress – Motion Picture Drama
Q463303	Akademia ti Amerikano dagiti Arte ken dagiti Siensia
Q465501	espesialista ti sine
Q466089	American Philosophical Society
Q467037	Dagiti sinuratan a Brahmiko
Q470774	Mahendra Singh Dhoni
Q482980	autor	mannurat
Q483132	Windows 98
Q486748	pianista
Q487704	Kondado ti Honolulu	Probinsia ti Honolulu
Q488205	kumakanta-mannurat ti kanta
Q492250	Manfred Kanther
Q492318	Unibersidad ti Alabama
Q498224	Ensuès-la-Redonne
Q499029	Partido Sosial Demokratiko ti Pinlandia
Q503246	Juilliard School
Q503264	Gregg Allman
Q503424	Unibersidad ti Leeds
Q508768	Komision iti Pagsasao a Filipino
Q508894	Åke
Q512153	Zsófia
Q516896	Shinta Mulia Sari
Q520549	heologo
Q533235	Unibersidad ti Ateneo de Manila
Q534159	Pagsangladan ti helikopter
Q541348	Southsea
Q542154	Koronadal
Q542549	East Asia Summit
Q542726	Ultrix
Q542868	Junior Wells
Q543804	Akademia ti Alemania dagiti Siensia  Leopoldina
Q559549	Akademia ti Marina ti Estados Unidos
Q561797	Manny Villar	Manuel Villar
Q574903	Lapu-Lapu
Q578109	produser ti telebision
Q599316	The New School
Q602977	Simone
Q608723	Bristol Old Vic Theatre School
Q617375	Hiroshima
Q637846	akinngato a kamara
Q639669	umiiweng
Q640353	Premio Cecil B. DeMille
Q642420	Kristo
Q642850	Sebastian Rode
Q650878	Otto Suhr
Q664609	Karibe
Q666578	Anna
Q672787	Bilin ti Dayaw ti Baviera
Q673018	Katipunan
Q677191	James
Q678263	Medalia Edison
Q682443	Episkopal a Simbaan
Q683724	Simbaan Apostoliko ti Armenia
Q701284	Alois Mock
Q711073	Frederick Ashton	Frederick William Mallandaine Ashton
Q714581	Nea Salamina Famagusta
Q715301	artista iti komiks
Q716214	Jon Cassar
Q721827	Francisco Manuel Blanco
Q723830	Golden Globe Award for Best Supporting Actor – Motion Picture
Q725168	Tagum
Q727282	Honorario a César
Q727328	Honorario a Gunguna ti Akademia
Q727694	Pagalagadan nga Insik
Q729926	Elmer Drew Merrill
Q734543	Some Great Reward
Q738303	Reynosa
Q739627	Pennsylvania State University
Q748149	prepektura a siudad
Q748696	Baybay Levantino
Q749283	San Juan
Q753110	mannurat ti kanta
Q756617	Pagarian ti Dinamarka
Q766445	Okinawa
Q771405	Abagatan nga Asia	Akin-abagatan nga Asia
Q787148	BAFTA Academy Fellowship Award
Q797078	Tisch School of the Arts
Q806798	bankero
Q816843	Ginget iti San Fernando	Tanap iti San Fernando
Q819016	Carlos Santana
Q837164	Unibersidad ti Newcastle
Q840286	Premio Piesta ti Pelikula ti Cannes para iti Kalaingan nga Aktres
Q849619	Lynwood
Q849751	York University
Q855091	gitarista
Q859363	Instituto ti Panagdal ti Politika ti Paris
Q860918	esperantista
Q863069	Billy Currie	William Lee Currie
Q864380	biograpo
Q873377	Dumaguete
Q874962	Probinsia ti Luek Milne
Q887010	Gobernador ti California
Q894059	Borongan	Borongan, Daya a Samar
Q908051	Howard
Q908858	Gunguna Donastia
Q913861	San Diego State University
Q917994	3000
Q926749	Lycée Condorcet
Q928314	Medalia Bituen a Bronse
