Q2	ځمکه
Q43845	سوداگر
Q43944	حامد کرزي	حامد کرزی	کرزي	کرزی
Q44455	د لوبی نظریه
Q44749	ویوودینا
Q45240	مونت کارلو
Q45313	هرات
Q45604	قندهار	کندهار
Q45779	پچ (هنګري)
Q46420	ابن عربي
Q46452	اپيم	تریاک
Q47064	پوځي ځواک
Q47134	شټلنډ
Q47426	مېلټون فرايډمېن
Q47488	نړيواله جنايي محکمه
Q47543	د اسلامي همکاريو سازمان
Q47875	روبي وېليمز
Q47916	لکناو
Q48256	ډنپرو
Q48403	امرتسر
Q48469	وویجر یو
Q48475	وویجر دوه
Q49084	لنډه کيسه
Q49210	د نيويارک پوهنتون
Q49228	استرونزیایي ژبې
Q49255	تمپا
Q49655	شیلینبرګ
Q49750	د آلمان د سوسیالیستي اتحاد ګوند
Q49757	شاعر
Q50614	اوستفولد
Q50615	اکرشوس
Q50616	هدمارک
Q50617	اوپلاند (ناروې)
Q50618	بوسکروډ
Q50619	وستفولډ
Q50621	اوست اګدر
Q50623	وست اګدر
Q50624	روګالاند
Q50625	هوردالاند
Q50626	سون او فیوردانه
Q50627	موره او رومسدال
Q50628	سور تروندلاګ
Q50630	نوردلاند
Q50631	ترومس
Q50632	فینمارک
Q51664	عيسی عليه السلام
Q51678	پاګو پاګو
Q51679	سایپان
Q52106	ژونځمکپوهنه
Q52371	غونډ
Q54150	سیلزي سفلي
Q54155	لوبلین ولایت
Q54157	لوبوسکي
Q54158	ووتسکي
Q54159	کوچینی پولنډ ولایت
Q54169	ماسوویان
Q54171	کویافسکو-پومورسکي
Q54175	پودکارپاتسکیه
Q54177	پولادسکي
Q54180	پومراني
Q54181	سیلسیان
Q54183	اشوی داشکسیه
Q54184	وارمي - ماسوري
Q54187	لوی پولنډ
Q54188	لویدیځ پومراني
Q54452	کومانوفو
Q55630	نووي ساد
Q57336	سيد على خامنهاى
Q57357	hadrian's wall
Q57373	اصف علي زرداري
Q57919	اريندال
Q58635	پنجابي
Q58734	ککړتیا
Q58976	پیرایوس
Q60235	کوفین
Q61324	د سوفیا نړۍ
Q62614	اندروجن
Q63912	ګلاروس
Q64129	يوسف عبدالله القرضاوي
Q66485	جيپور
Q66568	کانپور
Q66616	اندور
Q68129	اولتن
Q68833	د هډوکي ماتېدل
Q68965	سولوتهورن
Q68978	تون
Q70702	القلويد
Q72984	Bing Crosby
Q76555	یوسيف ۲
Q77433	لگانیس
Q77590	ښاري انجنيري
Q79576	ګوګل پلې
Q79797	ارمنیان
Q79857	قونیه
Q79863	تسخینوالی
Q79880	دبرسن
Q79980	وراناسي
Q80044	فراری سریال
Q80083	بشري پوهنې
Q80484	پټنا
Q80811	سپوټنیک-۱
Q80877	اټومي بټۍ
Q80962	مالداري
Q80989	بوپال
Q81137	اولوموڅ
Q81438	والټ وايټمېن
Q81581	سګد
Q82151	FAO	د خوړو او کرهڼې سازمان
Q82174	براشوف
Q82918	سفر مراد نيازوف
Q82955	سياستوال
Q82984	د کوبیرته پیر بارو
Q83065	لسټر
Q83067	تیمور ټاپو
Q83307	وزير
Q83311	د پارسې امپراتوري
Q83322	ګرو نانک دېف
Q83353	کانپوهنه
Q83356	د شنګن تړون	د شېنګن تړون	شنګن
Q83891	د ساسانيانو واکمني	د ساسانیانو واکمني
Q90593	ليله سان
Q93166	ميلان کونديرا
Q93195	اولسټر
Q93338	غازی آنتپ
Q100026	اېف – ۱۶
Q100166	اورکني
Q100188	کلوژ-ناپوکا
Q101418	لوبامبا
Q101667	هاډرون
Q101929	ايميونولوژي
Q101991	التهاب	تسپود
Q101998	بايوم
Q102217	ویتبسک
Q102397	میشکولتس
Q102483	ياروسلاف سېفرت
Q103774	روي شنکر
Q106487	آی اېس او 3166
Q106807	ماگنوس کارلسن
Q109016	ستورتينګ
Q111837	مارشال
Q115275	اروميه ولسوالي
Q121104	بلخ ولايت	د بلخ ولايت	د بلخ ولایت
Q121157	مشهد
Q121713	د ستنې طب
Q121998	سفارت
Q122803	ارز روم
Q123737	امی جایزه
Q124377	کنری وارف
Q124385	ميرانشا
Q127398	ابن ميمون	ابن میمون
Q128406	درملپوهنه
Q129072	تخت جمشید	د جمشید پلاز
Q129286	برطانوي هند
Q129772	زینوفون
Q130212	سیکشفهروار
Q130469	مزار شريف
Q130800	پاپیت
Q130825	د ذرو تعجيل کوونکي ماشين
Q131355	ذوالفقار علي بھټو	قائدِ عوام
Q131401	خلافت
Q131438	مونسټر (آیرلنډ)
Q131660	ډومنيک ډي وېلپين
Q132050	والي
Q132151	توکمکښنه
Q132311	خايالي
Q132345	شینزو آبه
Q132364	د جال تړونونه
Q132572	تیراسپول
Q132830	دوالا
Q132945	بوشهر ولايت
Q132964	ولاديمير ولاديميروويچ ماياکوفسکي
Q133006	آسیايي بیل
Q134068	نواز شریف
Q134228	اردبيل ولايت
Q134291	مرسین
Q134386	کردستان ولايت
Q134411	مغربي ازربايجان
Q134417	مرکزي
Q134494	ګیور
Q137535	د ايران ولسوالۍ
Q140124	مسلم بن حجاج
Q140147	برست (برست آیالات)
Q140561	زاهدان
Q145700	سارک
Q146726	زنجان ولايت
Q150586	رودلف ۲ هابسبورگ
Q151469	متحده روسيه
Q152074	دېوالي
Q152976	مېگ ۱۷
Q153620	اعليحضرت امان الله خان	امير امان الله خان	امیر امان الله خان
Q154757	بندرعباس ولسوالي
Q154835	موګیلف
Q155004	د بلجیم فیلیپ
Q155533	تور سمندر سیمه
Q155564	اژه سیمه
Q155899	ال-۳۹ الباتروس	اېرو ال-۳۹ الباتروس
Q157032	پریلپ
Q157148	تورن جنرال
Q157246	بیتولا
Q157738	دلچفو
Q158119	رام الله
Q158533	Manoj Bajpai
Q159166	ويديا بالان	ويديا بلن
Q159736	لینستر
Q159810	اقتصاد	وټه
Q160016	د ملگرو ملتونو غړي هېوادونه
Q160450	سامسون
Q160554	محمد علی جناح
Q161205	صفویان
Q161750	پامير	پامیر
Q162202	نیکې میناژ
Q162442	اله اباد
Q164103	ښکلی ذهن
Q164204	موزيکپوهنه
Q165192	سويډنيان
Q165352	د کرمان ولايت	د کرمان ولایت
Q165995	مالاتیه
Q166065	لیلي ستاد
Q167394	کراګویواتس
Q167485	د نورستان ولايت	نورستان ولايت
Q168057	کرايووا	کرایووا
Q168800	انافلاکسي
Q168866	اسکي ښار
Q168949	سمنان ولايت
Q170027	لندن پوهنتون
Q170041	گلستان ولایت
Q170115	سري نگر
Q170482	اواروا
Q170488	ګوزو سیمه
Q170521	کاشغر
Q170568	د یزد ولایت
Q170570	ايلام ولايت
Q170573	قم
Q170584	پروژه
Q170645	د ٢٠١٨ فوټبال نړیوال جام
Q170967	دنیزلي
Q171223	نیرګهزا
Q171382	باميان ولايت	د باميان ولايت
Q171468	ای اچ ۶۴ آباچی
Q171702	چار محل و بختياري
Q171771	بوبنسوار
Q171899	د مذهب خپلواكي
Q173402	نړیواله پېغله
Q173474	ولیکو تارنوو
Q173699	ستوبال
Q173731	غزني
Q173821	د هلمند ولايت	هلمند ولايت
Q173830	د فارياب ولايت	فارياب ولايت
Q173959	الازهر پوهنتون	د الازهر پوهنتون
Q173985	فيصل اباد
Q174010	کرمانشاه ولايت
Q174461	رانچي
Q174534	بي-٥٢ سټراټوفورټرېس
Q174710	د کیلیفورنیا پوهنتون، لاس انجلس
Q177220	سندرغاړي
Q177463	سکاره
Q178440	دري
Q178476	پولي سیاست
Q178516	ګوچي
Q179461	اسماني کتابونه او صحيفې
Q179509	اوبزمکپوهنه
Q179805	سياسي فلسفه
Q180046	ستورمزلي	فضانوردي
Q180089	اېکونومېسټ
Q180285	نورتورپ ګرومان بي ۲ سپېريټ
Q180330	د فراه ولايت	فراه ولايت
Q180465	راشدين خليفه ګان
Q180589	بوریس جانسون
Q180756	اسکونه
Q181220	د دايکندی ولايت	دايکندي
Q181376	ګرودنو
Q181754	زړه نابری
Q182159	بلخ
Q182844	د هرات ولايت	هرات ولايت
Q183021	د نيمروز ولايت	نيمروز ولايت
Q183028	اروزګان	اروزگان ولايت	د روزګان ولايت
Q183216	شننيزه فلسفه
Q183303	جلال آباد	جلال اباد	جلالكوټ
Q183314	خيبر پښتونخوا	خیبر پښتونخوا	پښتونخوا
Q183459	ګستریکلاند
Q183498	براتیسلاوا سیمه
Q184623	جورج ډېنټن
Q184870	بوينګ بي ۲۹
Q185000	بوينگ بي ۱۷ فلاينگ فورټرېس
Q185442	د لغمان ولايت	د لغمان ولایت	لغمان ولايت
Q185458	کوټه
Q186360	رنځورپاله	نرس
Q186591	د پاکستان د خلګو ګوند
Q186867	د اتریش د خلک ګوند
Q187373	همدان ولايت
Q187377	مېگ ۱۵
Q187861	ولونګونګ
Q188711	اهل البيت	صحابه
Q188909	حجروی ویش
Q188933	د کابل ولايت	کابل ولايت
Q189290	پوځي افسر
Q189459	عالم
Q189574	منس
Q190687	آراګوآ آیالات
Q192299	د ناروې فیلکی
Q192541	تیسفون	تېسیفون
Q192621	ډېلي ټيليګراف
Q192711	د هند لومړی وزیر
Q192807	رمت ګن
Q193103	هرتسګ نووي
Q193391	ډیپلوماټ
Q193589	اپلاتونواله
Q194442	امام احمد بن حنبل
Q198770	بديع الزمان سعيد نورسي
Q199528	دهرادون
Q199957	سمالنډ
Q200017	ويجیواډا
Q200130	آزاد کشمير
Q200253	د چین دودیز طب	د چین طب	چينايي دوديزه درملګري
Q200499	محمد ضیا الحق
Q200878	جبل پور
Q201442	کروشواس
Q203509	اوپلاند
Q204179	کورنۍ کوتره
Q204487	زين العابدين بن علي
Q205047	کردستان د عراق
Q205218	دالارنا
Q206564	هلسینګلاند
Q207444	هریدالن
Q207515	پي جي ووډ هاوس
Q208270	فدرالي قبايلي سيمې	وسطي قبایلي سیمې، منځنۍ پښتونخوا
Q209523	بوهوسلن
Q209842	پاریس پوهنتون
Q209853	انګرمانلاند
Q210687	مدلپاد
Q211379	سيد قطب
Q211649	نوربوتن
Q211652	وستربوتن
Q211661	یمتلاند
Q213026	بريلي
Q213100	طبله
Q213551	وسترګوتلاند
Q214495	بامیان
Q214806	دالسلاند
Q214829	اوسترګوتلاند
Q216687	نرک
Q216702	ستره لوبه	لویه لوبه
Q218295	د روسیې ولسمشر
Q220451	Azuay	ازوای ولایت
Q222749	لوبگري
Q228986	حنفي مذهب
Q234167	مکه معظمه
Q234262	سورت
Q241026	امام بخاری
Q241119	خوزستان
Q249578	د غزنويانو ټولواکمني
Q252290	سيف علي خان
Q253414	فيفا
Q254889	تھمپھو ولسوالۍ
Q257235	ام ټي وي جايزه د ښه شونډو اخيستلو لپاره
Q264766	ترزا مې
Q266698	د کارلشتین کلا
Q270691	شري دېوي
Q273005	وټیز غونډال
Q277954	اېسټروجن
Q289957	يعقوب
Q295530	د مقدونيا دريم فيليپ نومی پاچا
Q295713	لياقت علي خان
Q301694	فريمان ولسوالي
Q306799	ابټ اباد ولسوالۍ	د ابټ اباد ولسوالۍ
Q308864	مازندارن
Q309345	ميمنه ولسوالۍ
Q312299	امام مالک بن انس
Q312458	نورالدين عبدالرحمن جامي هروي
Q315927	مسعود بارزاني
Q317473	خان عبدالولي خان
Q317784	جرمېن جېکسن
Q319078	مېلبورن پوهنتون
Q321430	وستمانلاند
Q326653	شميرونكى	ګڼونکی
Q330158	ډھاکه ډويژن
Q330643	مراد اباد
Q333703	فخر الدين رازي
Q333886	جورج ټاون پوهنتون
Q335282	ابوسعید ابوالخیر
Q335414	تفسير	تفسیر
Q369907	ابو الاعلى مودودي
Q372773	رای پور
Q373808	خجند
Q374365	جده
Q379382	راجشاهي ډويژن
Q380360	کرسټف پلانټېن
Q380782	د پوځي قوماندانانو مشر
Q382145	ولاديمير الېکساندروويچ کريوچکوف
Q384544	کارلوی واری
Q384610	فراشبند ولسوالي
Q389688	د هخامنشیانو ټولواکمني
Q389735	د زړه ناروغي
Q392522	البرز ولايت
Q393274	دالاهو ولسوالي
Q427941	د افغانستان اسلامي امارات	د افغانستان اسلامي امارت
Q428858	مسجد الحرام
Q450697	آلتسناو این اونترفرانکن
Q459723	باريسال ډويژن
Q459732	سلهټ ډويژن
Q461307	مظفر آباد
Q465845	ريحانه بنت زيد قرظي
Q465863	شبانه اعظمي
Q467627	د درانيانو ټولواکمني	د درانیانو واکمني	د درانیانو ټولواکمني	د دورانیانو امپراتوري
Q467649	بوينګ بي ۴۷ سټراټوجېټ
Q476757	دافغانستان دمکراتی جمهوریت
Q476800	لښکرګاه
Q483654	اهل البيت	سني
Q484000	بې پيلوټه الوتکه	بې پېلوټه الوتکه
Q484141	علامه اقبال
Q484181	اهل البيت	فقه
Q484195	د تیموریانو امپراتورۍ
Q484706	قراغند
Q484761	د ژبې فلسفه
Q485207	شانګهای د همکاريو سازمان
Q485500	ازادي راډيو	د آزادۍ راډيو	د آزادۍ راډیو
Q485547	اورنگزیب عالمگیر
Q486156	د اوسلو پوهنتون
Q486282	پاولودار
Q486748	پيانو وهونکی
Q486913	اتیراو
Q486972	انساني استوگنځی
Q488200	فتح الله گلن
Q489713	نړیوال فلم جایزه د ښه فلمي ستوري لپاره
Q491558	ابن تيميه	ابن تیمیه
Q501696	کلنا ډويژن
Q506349	اڼدریو م. الن
Q506858	انځور خبريالي
Q522238	سلماس ولسوالي
Q537740	باریما واینی
Q558205	خواجه عبدالله انصاري
Q582577	وټیزه تګلاره
Q587090	د رضوي خراسان ولايت
Q593156	فراه
Q595631	سکن ایگل
Q600751	څارنوال
Q602866	ګولډن راسپبيري جايزه د ورسټ لوبګري لپاره
Q620275	Finn.no
Q620629	ډئيزم
Q625107	هايدروجن بم
Q626062	سودرمانلاند
Q630805	پنجکنت
Q632891	مک ماسټر پوهنتون
Q633659	هرمزگان
Q639669	ميوزيشن
Q652784	پارو ولسوالۍ
Q658773	محمد زکريا کاندهلوي
Q662960	ساري ولسوالي
Q666797	ازنا ولسوالي
Q671224	shairi
Q675653	بلکینګه
Q718601	نانا اکوفو ادو
Q721735	د خلخال ولسوالۍ
Q727413	ريګويدا
Q735575	د پاکستان لومړي وزیر
Q737835	تهران پوهنتون
Q747074	د اېټاليا ولسوالۍ
Q756126	منځنۍ ختيځ تيکنيکل پوهنتون
Q756617	ډېنمارک
Q776965	کلایپدا
Q784830	چناران ولسوالي
Q799577	پاکستان مسلم لیګ ن
Q812767	شينتو
Q826083	د خندق غزا
Q827525	نړيواله پرمختياېې ټولنه
Q842386	د روسیې لومړی وزیر
Q842402	مندر
Q855270	د پخواني يونان مذهبونه
Q856539	محافظه وسطي
Q878510	چترال ولسوالۍ
Q917994	۳۰۰۰
Q920432	بندر لنگه ولسوالي
Q928314	برونز سټار ميډال
Q928828	گيلان
Q929127	هشترود ولسوالي
Q932829	ذاکر نايک
Q936510	استروشن
Q939575	د سيستان او بلوچستان ولايت
Q947873	تلویزیوني خپرونکئ
Q977255	پلونګه
Q989092	د افغان-انګرېز لومړۍ جګړه
Q1001079	بودايي فلسفه
Q1004666	د فارس ولايت	د فارس ولایت	فارس
Q1027830	ګوتلاند
Q1033016	هالي بېري
Q1054923	بريتانوي هنګ کانګ
Q1105893	قزوين ولايت
Q1113311	پېښور
Q1113866	سنقر ولسوالي
Q1119016	جيرفت ولسوالي
Q1122204	مایکل ج. اېډمز
Q1127717	څېړنيزه خبريالي
Q1131727	لرستان	لرستان ولایت
Q1140706	د افغانستان ولسمشر
Q1191833	منيټوبه پوهنتون
Q1215575	ناپروکسين	ناپروکسین
Q1223508	اوهرید
Q1253663	حافظ اباد
Q1264575	قم ولسوالي
Q1270325	آباده ولسوالي
Q1270499	لامرد ولسوالي
Q1270527	داراب ولسوالي
Q1270617	مشهد ولسوالي
Q1270948	ميناب ولسوالي
Q1272877	جم ولسوالي
Q1277783	د کوثر ولسوالۍ
Q1277789	تنگستان ولسوالي
Q1277816	تفرش ولسوالي
Q1277868	د اردبيل ولسوالۍ
Q1277875	زرنديه ولسوالي
Q1277889	فلاورجان ولسوالي
Q1278049	دنا ولسوالي
Q1278063	گچساران ولسوالي
Q1278071	کهگيلويه ولسوالي
Q1278157	بهمئي ولسوالي
Q1278624	دامغان ولسوالي
Q1278689	خاش ولسوالي
Q1278711	مسجدسليمان ولسوالي
Q1278733	بويراحمد ولسوالي
Q1278754	هنديجان ولسوالي
Q1278993	زاهدان ولسوالي
Q1279017	اردل ولسوالي
Q1279046	قوچان ولسوالي
Q1279074	لردگان ولسوالي
Q1279103	کاشان ولسوالي
Q1279114	کوهدشت ولسوالي
Q1279146	خرمآباد ولسوالي
Q1279194	دورود ولسوالي
Q1279468	شوشتر ولسوالي
Q1279488	اليگودرز ولسوالي
Q1279518	همدان ولسوالي
Q1279528	ايجرود ولسوالي
Q1279548	دلفان ولسوالي
Q1280087	جاسک ولسوالي
Q1280129	حاجيآباد ولسوالي
Q1282070	کامياران ولسوالي
Q1282142	زنجان ولسوالي
Q1282199	تنکابن ولسوالي
Q1282207	سوادکوه ولسوالي
Q1282212	بابل ولسوالي
Q1282224	بابلسر ولسوالي
Q1282247	آمل ولسوالي
Q1285922	سردشت ولسوالي
Q1285930	تويسرکان ولسوالي
Q1285937	ملاير ولسوالي
Q1286028	بروجرد ولسوالي
Q1286037	بهار ولسوالي
Q1286057	رزن ولسوالي
Q1286121	درميان ولسوالي
Q1286144	نور ولسوالي
Q1286327	بيرجند ولسوالي
Q1286335	سربيشه ولسوالي
Q1286402	شاهرود ولسوالي
Q1286434	کرمان ولسوالي
Q1286443	مهريز ولسوالي
Q1286468	نطنز ولسوالي
Q1286475	آزادشهر ولسوالي
Q1286524	منوجان ولسوالي
Q1286579	بردسير ولسوالي
Q1287748	بافت ولسوالي
Q1287765	تفت ولسوالي
Q1287801	شهربابک ولسوالي
Q1287822	اردکان ولسوالي
Q1289717	کرمانشاه ولسوالي
Q1291651	ماسال ولسوالي
Q1291663	بستانآباد ولسوالي
Q1291688	رشت ولسوالي
Q1291695	رودبار ولسوالي
Q1291828	بوئينزهرا ولسوالي
Q1292562	عليآباد ولسوالي
Q1292702	کلاله ولسوالي
Q1292889	تربت حيدريه ولسوالي
Q1292899	نيشابور ولسوالي
Q1294493	بوکان ولسوالي
Q1294765	د ناروې بادشاهي
Q1307214	د حکومت بڼې
Q1367759	د اصفهان ولايت	د اصفهان ولایت
Q1395219	شكمن توب فلسفه
Q1411238	مادر انډیا
Q1414482	فلمفير جايزه د ښه لوبګري لپاره
Q1414514	د فلمفېر جايزه د ښه ډیالوګ لپاره
Q1414533	فلمفير جايزه د ښه لوبګر لپاره
Q1476215	د بشري حقوقو فعال
Q1506510	نارويجن پوځي اکاډمي
Q1538507	جیک په باکس کې
Q1639447	د پاکستان هوايي ځواک	د پاکستان هوایی ځواک
Q1674709	شمال ولایت اسرائیل
Q1680712	جیمز لوید کارولین
Q1747689	لرغونی روم
Q1842675	سعيد بن جبير
Q1915545	شمالي وزيرستان
Q1922067	د ترکیې ولسمشر
Q1930187	خبريال
Q1982155	مهترلام بابا
Q1986139	پارت
Q1992645	نمر باقر النمر
Q2001803	روينا ټنډون	روینا ټنډون
Q2004138	نګار جايزه
Q2010955	ملا صدرا
Q2047109	قائد اعظم پوهنتون
Q2087610	ماهیش بابو
Q2095353	په اسلام کې د خدای تصور
Q2095549	الوتګر
Q2108181	د افغانستان ولسي جرګه
Q2281213	حافظ آباد ولسوالۍ	د حافظ آباد ولسوالۍ
Q2315549	د کوټه ولسوالۍ
Q2358309	د مانسهره ولسوالۍ	د مانسهرې ولسوالۍ	مانسهره ولسوالۍ
Q2366025	ديوبندي
Q2405480	غږ ورکونکی ستوری
Q2422264	خنج ولسوالي
Q2430415	د ترکیې لومړي وزیر
Q2468262	يونس
Q2571648	خواف ولسوالي
Q2586999	سيمرغ ولسوالي
Q2610470	رودبار جنوب ولسوالي
Q2610702	انديکا ولسوالي
Q2610716	رابر ولسوالي
Q2610766	خنداب ولسوالي
Q2658917	بايزيد پير روښان
Q2670884	اشکاشم ولسوالۍ	د اشکاشم ولسوالۍ
Q2723570	زاوه ولسوالي
Q2796766	سالمون
Q3024240	پخوانی هېواد
Q3099714	جاستن ترودو
Q3241794	اندرا ګاندي جایزه
Q3282637	فلم پروډیوسر
Q3295867	د کولا کولا شرکت
Q3455803	ډايريکټر
Q3492123	یلېنا سېرووا
Q3775029	فلمفير جايزه سوېل
Q3924526	بستک ولسوالي
Q3924635	نهبندان ولسوالي
Q4115712	کاوناس
Q4220898	ام ټي وي مووي جايزه د ښه ښځېنه کار لپاره
Q4461035	اکدي واکمنۍ
Q4610556	ماډل
Q4665452	عبدالکبير
Q4808811	باوي ولسوالي
Q4830453	سوداگري
Q4964182	فیلسوف
Q5228173	داورزن ولسوالي
Q6321520	سرخه ولسوالي
Q6397066	شیراز
Q7042855	فيلم ايډيټر
Q7182737	فلاډلفیا لبرټی میډل
Q7210356	سياسي تنظيم
Q7333357	ريگان ولسوالي
Q7725634	ادبي نښېر
Q8575586	اموي خلافت
Q10798782	تلویزیون ستوري
Q10800557	فلم لوبګر
Q11038927	ملي فلم جایزه د غوره لوبگر لپاره
Q12177423	ائیټ گرینډ کراس آف دی آرډر آف سینټ مائیکل اینډ سینټ جورج
Q12212836	رائف بدوی
Q13427474	لېږد ۴۴
Q13582652	سېول انجنیر
Q14805701	د روسیې د فدرالي حکومت مرستیال
Q17324844	د راجيه سبا غړيتوب
Q19861084	ORCID
Q22337580	د ګجرات وزیر اعلی
Q28663097	اکاډمي اف ارچيومينټ د سرو زرو پلاټ جایزه
Q30132541	پدما شري په آرټ کې
Q42509248	د ١۶مي دورې د پارلمان وکيل
Q56404886	اينلانه
