Q2	כדור הארץ
Q12277	קשת
Q12280	גשר
Q12284	תעלת מים
Q12303	חרס דה לה פרונטרה
Q12323	סכר
Q12325	ג'יימס ביוקנן
Q12370	מלח
Q12382	שיגרו מיאמוטו
Q12393	האגדה של זלדה
Q12397	מטרויד
Q12418	מונה ליזה
Q12439	דטרויט
Q12461	לה מונד
Q12479	תורת המספרים
Q12482	תורת הקבוצות
Q12483	סטטיסטיקה
Q12503	מספר שלם
Q12506	איה סופיה
Q12507	ספירה
Q12511	מדרגות
Q12512	בזיליקת פטרוס הקדוש
Q12517	ז'ר
Q12526	ז'ירונד
Q12536	בית עבאס
Q12538	גארון עילית
Q12543	רמות הסן
Q12544	האימפריה הביזנטית
Q12546	מסעי הצלב
Q12548	האימפריה הרומית הקדושה
Q12551	מלחמת מאה השנים
Q12556	אנדר ולואר
Q12560	האימפריה העות'מאנית
Q12565	אגודת האספרנטו העולמית
Q12567	ויקינגים
Q12572	לואר עילי
Q12578	לוט וגארון
Q12584	מן ולואר
Q12585	אמריקה הלטינית
Q12618	אולוט
Q12630	מפרץ מקסיקו
Q12640	פריבור
Q12661	נור
Q12680	פול דומר
Q12697	שפהאוזן
Q12700	הפירנאים העליונים
Q12717	ריין תחתון
Q12722	או-רן
Q12724	טיצ'ינו
Q12745	סבואה
Q12746	סנט גאלן
Q12748	דלק מאובנים
Q12751	סבואה עילית
Q12753	סן ומארן
Q12755	ז'ורה
Q12758	סן-מריטים
Q12761	סן-סן-דני
Q12771	וו
Q12772	טארן
Q12779	טארן וגארון
Q12784	עמק האואז
Q12788	עמק המארן
Q12791	חרב
Q12792	ווקלוז
Q12796	כלי ירייה
Q12820	איוולין
Q12831	גוסיפ
Q12837	חצי האי האיברי
Q12857	דניאל טאמט
Q12861	אבק שרפה
Q12886	אנדרלכט
Q12887	שרבק
Q12892	אנטוורפן
Q12910	לוקרן
Q12919	מג'ורו
Q12965	מירה
Q12970	קאפלה
Q12995	קורטרייק
Q13028	פולוקס
Q13034	פרוקיון
Q13116	בנלוקס
Q13134	פזארו
Q13135	מצ'רטה
Q13138	קייטי
Q13140	סן בנדטו דל טרונטו
Q13147	גולגולת
Q13160	חליסקו
Q13171	A Thousand Suns
Q13186	צימוק
Q13201	רומאני
Q13205	סטאד דה פראנס
Q13218	קוסה
Q13228	שמנת
Q13230	פרדינן דה סוסיר
Q13233	גלידה
Q13241	וניל
Q13275	סומלית
Q13276	עוגה
Q13298	גראץ
Q13317	יוגורט
Q13318	אימפריה
Q13329	פיאצ'נצה
Q13353	מונטסראט
Q13357	מאנקיילי
Q13360	רג'ו אמיליה
Q13362	פרארה
Q13364	רוונה
Q13367	פורלי
Q13369	רימיני
Q13371	אוניברסיטת הרווארד
Q13372	קרארה
Q13373	לוקה
Q13376	פיסטויה
Q13377	פראטו
Q13386	לצ'ה
Q13393	כדור אורז
Q13413	פרוזינונה
Q13437	בנוונטו
Q13495	טראני
Q13496	ברינדיזי
Q13498	טאראנטו
Q13513	ז'אן-בטיסט סה
Q13529	אלפרד מרשל
Q13580	אזור מנילה רבתי
Q13632	ערפילית פלנטרית
Q13646	SNCF
Q13662	מחוז ביכול
Q13670	סירקוזה
Q13674	רגוזה
Q13678	אגריג'נטו
Q13680	קלטניסטה
Q13693	שמשה
Q13706	נסיכות סילנד
Q13712	טיבר
Q13743	VBScript
Q13751	ביליראן
Q13786	סבו
Q13855	ויק
Q13879	סיקיהור
Q13917	איל-דה-פראנס
Q13955	ערבית
Q13972	טרטו
Q13973	MSNBC
Q13974	NBC
Q13979	סאטרדיי נייט לייב
Q13989	הונשו
Q14081	צ'ימבורסו
Q14086	מריסה מאייר
Q14088	מוצרלה
Q14094	IPod Touch
Q14103	שמפאן-ארדן
Q14116	MacOS
Q14118	סבויה
Q14185	אוקסיטנית
Q14196	אפריקאנס
Q14274	אראו
Q14277	ויליאם הרשל
Q14279	ג'ובאני דומניקו קאסיני
Q14294	טחו
Q14299	דורו
Q14305	גוודיאנה
Q14309	גוואדאלקיוויר
Q14314	סנטיאגו דה קומפוסטלה
Q14317	אוביידו
Q14328	סנטה קרוס דה טנריפה
Q14369	אין
Q14440	איקיקה
Q14452	אי הפסחא
Q14467	לה סרנה
Q14549	סקוטית
Q14579	לינוקס
Q14583	XNU
Q14620	אופטיקה
Q14647	סאן מיקרוסיסטמס
Q14659	שלט אצולה
Q14674	עיפרון
Q14686	המפרץ הפיני
Q14767	סנטרל (הונג קונג)
Q14773	מקאו
Q14799	לנובו
Q14856	לאצן
Q14889	שוואבך
Q14925	מילהאוזן
Q14940	דאטלן
Q14960	ברנו
Q14974	ולדימיר הראשון, נסיך קייב
Q14982	מתנול
Q15001	אלכסנדר גריבוידוב
Q15028	ארגון התקינה הבינלאומי
Q15065	מלזית
Q15090	ליידה
Q15091	קונאו
Q15099	אסטי
Q15119	רומא
Q15121	מילאנו
Q15123	נאפולי
Q15124	דרום טירול
Q15144	אוניברסיטת מסצ'וסטס בוסטון
Q15174	שנג'ן
Q15175	גואנגדונג
Q15176	גואנגשי
Q15180	ברית המועצות
Q15277	אדנין
Q15282	נואבו לאון
Q15284	עירייה
Q15470	הוספיטלט דה לוברגאט
Q15602	קורנליה
Q15621	אספלוגס דה ליוברגט
Q15635	סנט בוי דה ליוברגט
Q15640	סנט ז'ואן דספי
Q15674	קגושימה
Q15682	קדיס
Q15684	סגוביה
Q15695	סלמנקה
Q15777	C
Q15789	באיירן מינכן
Q15807	כף רגל
Q15864	הממלכה המאוחדת של ארצות השפלה
Q15869	פרדי מרקיורי
Q15873	בריאן מיי
Q15878	נורמנדי
Q15935	קניה וסט
Q15975	מונטסקייה
Q15986	נאומבורג
Q16010	אש-סור-אלזטה
Q16087	צייץ
Q16139	בולוניה
Q16172	פירנצה
Q16183	ג'נובה
Q16186	אימפריה
Q16224	אולביה טמפיו
Q16227	פלרמו
Q16275	סיינה
Q16277	סירקוזה
Q16287	טורינו
Q16295	עצם המצח
Q16310	ונציה
Q16321	עצם היתד
Q16391	1-בוטנול
Q16394	פראנש-קונטה
Q16409	טריסטן צארה
Q16438	דקאמרון
Q16470	הפלישה לנורמנדי
Q16471	הפלישה לנורמנדי
Q16506	צ'סקה בודייוביצה
Q16520	פוסאן
Q16521	טקסון
Q16533	שופט
Q16539	שרקהורן
Q16551	ורמונט
Q16552	סן דייגו
Q16553	סן חוזה
Q16554	דנוור
Q16555	יוסטון
Q16556	פיניקס
Q16557	דאלאס
Q16558	פורט וורת'
Q16559	אוסטין
Q16563	ממפיס
Q16565	שארלוט
Q16567	קולומבוס
Q16568	ג'קסונוויל
Q16571	יוסטוס פון ליביג
Q16572	גואנגג'ואו
Q16611	דגל רוסיה
Q16635	גואם
Q16641	סמואה האמריקנית
Q16644	איי מריאנה הצפוניים
Q16648	סן ג'ורג'ו
Q16666	נאנג'ינג
Q16739	לונג ביץ'
Q16766	אנדי לאו
Q16867	אדגר אלן פו
Q16869	קונסטנטינופול
Q16917	בית חולים
Q16957	גרמניה המזרחית
Q16959	אורומצ'י
Q16963	ג'יאנגסו
Q16967	ג'ג'יאנג
Q16970	כנסייה
Q16987	נור-פה דה קאלה
Q16990	אטנה
Q16994	פיי דה לה לואר
Q17014	כביש 100
Q17017	כביש 111
Q17019	כביש 113
Q17042	אוקלנד
Q17054	מרטיניק
Q17061	כביש 555
Q17063	מיוט
Q17139	אקיטה
Q17147	ביצה
Q17151	סלוניקי
Q17152	מרכז מקדוניה
Q17163	יועאן קרויף
Q17167	הרפובליקה הרומית
Q17177	פאולו נספולי
Q17252	טיבט
Q17269	המחוז האוטונומי הטיבטי
Q17451	גופן
Q17495	איגוד הדואר העולמי
Q17515	דייגו מראדונה
Q17522	הרת'ה איירטון
Q17575	לואיג'י דאלאפיקולה
Q17581	נמל התעופה של סידני
Q17629	אובדה
Q17884	להט"ב
Q17943	ארלינגטון
Q17985	ויקיפדיה הקוראנית
Q18013	סקרמנטו
Q18066	אדוארד אוספנסקי
Q18094	הונולולו
Q18097	קוריאה
Q18102	סן-מנדה
Q18125	מנצ'סטר
Q18127	חברת תקליטים
Q18143	גאו שינג'יאן
Q18232	גנט
Q18233	אבבא
Q18276	סרייבו
Q18335	קרינה
Q18341	אלבה
Q18346	מבנה היקום
Q18362	פיזיקה תאורטית
Q18366	פיזיקה ניסויית
Q18383	פרובידנס
Q18389	ניו אינגלנד
Q18404	אנרי ברביוס
Q18419	ברוקלין
Q18424	קווינס
Q18426	הברונקס
Q18428	זיכרונות
Q18432	סטטן איילנד
Q18479	לינקולן יונייטד
Q18509	קיימברידג' יונייטד
Q18536	מגדל השארד
Q18547	מגדל שאנגחאי
Q18557	אופת'
Q18575	טוסון
Q18594	Sony Computer Entertainment
Q18599	זיכרון לטווח קצר
Q18601	זיכרון לטווח ארוך
Q18608	זיכרון מפורש
Q18612	סגורה
Q18661	מידלסברו
Q18733	שליפה
Q18805	חוקר טבע
Q18808	פיונגיאנג
Q18813	הברית החדשה
Q18828	צ'צ'יליה ברטולי
Q18833	SharePoint
Q18869	קווקז
Q18973	גאורגים
Q18981	Apple I
Q18996	השר הראשון של ויילס
Q19000	דגל טקסס
Q19003	London Calling
Q19008	ארתור ג'יימס בלפור
Q19014	גן עדן
Q19199	בראד דלסון
Q19201	מייק שינודה
Q19278	ביטונו
Q19319	אצ'יריאלה
Q19326	פיומיצ'ינו
Q19355	החיים יפים
Q19422	סרחיו קנאלס
Q19444	ברמינגהאם סיטי
Q19446	בלקברן רוברס
Q19481	לסטר סיטי
Q19498	שפילד ונסדיי
Q19523	נאנסי
Q19546	אפיפיור
Q19557	מתכת אלקלית
Q19566	סימפרופול
Q19568	בורנמות'
Q19570	האישה הטובה
Q19571	ברנטפורד
Q19578	קולצ'סטר יונייטד
Q19583	גורי
Q19605	הלוגן
Q19607	שפילד יונייטד
Q19616	Rai
Q19634	סווינדון טאון
Q19660	בוקרשט
Q19673	אל גור
Q19686	תמזה
Q19689	טירנה
Q19714	טרנט
Q19721	קלייד
Q19770	סצ'ואן
Q19771	G-20
Q19786	הברית הישנה
Q19798	היצ'ין
Q19809	חג המולד
Q19821	משולש
Q19837	סטיב ג'ובס
Q19848	ליידי גאגא
Q19862	Hybrid Theory
Q19871	מחכים לגודו
Q19912	רדיו צרפת הבינלאומי
Q20012	אדולף קטלה
Q20027	ורמיצ'לי
Q20044	טאלייטלה
Q20103	אסיזי
Q20148	ג'אנג שואהליאנג
Q20153	Girls' Generation
Q20165	ניסאן מוטורס
Q20387	פוג'יו א-קאיאנו
Q20709	Swedish House Mafia
Q20710	ז'אן-מרטן שארקו
Q20714	סוואן
Q20716	סמסונג
Q20718	סמסונג אלקטרוניקה
Q20733	ז'ורז' דיאמל
Q20748	רקלט
Q20921	טג'אן
Q20927	טגו
Q20934	אינצ'ון
Q20937	גיונגי
Q21006	גלוסטרופ
Q21080	כלב אפגני
Q21194	וונג טאו
Q21195	סקנדינביה
Q21196	פסחא
Q21197	קישינב
Q21198	מדעי המחשב
Q21201	סוציולוגיה
Q21203	ארובה
Q21207	Windows Phone
Q21208	חביי
Q21209	קלאוס שנק פון שטאופנברג
Q21578	אוניברסיטת פרינסטון
Q22048	אודישה
Q22424	פנג'אב
Q22530	אוגוסט פורל
Q22656	נפט
Q22663	The Pirate Bay
Q22690	מץ
Q22696	סינון תכנים באינטרנט
Q22714	קרל מאי
Q22722	נסיך בוחר
Q22725	ניתוב
Q22737	סלסטה
Q22857	טיפוס
Q22880	נסיכות הבוחר מפפאלץ
Q22889	באת'
Q22890	אירלנד
Q22905	ברדפורד
Q23009	ידית דלת
Q23051	סוונסי
Q23064	צ'שייר
Q23066	קאמבריה
Q23077	לנקשייר
Q23079	נורת'מברלנד
Q23082	דרהאם
Q23083	מערב יורקשייר
Q23086	צפון יורקשייר
Q23088	מזרח יורקשייר
Q23090	לינקולנשייר
Q23092	נוטינגהאמשייר
Q23095	דרום יורקשייר
Q23098	דרבישייר
Q23099	מנצ'סטר רבתי
Q23100	מרזיסייד
Q23103	שרופשייר
Q23105	סטפורדשייר
Q23106	לסטרשייר
Q23107	ראטלנד
Q23109	נורפוק
Q23111	סאפוק
Q23112	קיימברידג'שייר
Q23115	נורת'האמפטונשייר
Q23124	וסט מידלנדס
Q23129	הרפורדשייר
Q23135	ווסטרשייר
Q23140	ווריקשייר
Q23143	בדפורדשייר
Q23148	קורנוול
Q23154	בריסטול
Q23156	דבון
Q23157	סאמרסט
Q23159	דורסט
Q23165	גלוסטרשייר
Q23169	אוקספורדשייר
Q23183	וילטשייר
Q23197	נאשוויל
Q23204	המפשייר
Q23220	ברקשייר
Q23229	בקינגהאמשייר
Q23239	אמטרק
Q23240	אסקס
Q23276	סארי
Q23287	מערב סאסקס
Q23293	מזרח סאסקס
Q23298	קנט
Q23306	לונדון רבתי
Q23311	הסיטי של לונדון
Q23317	אאודי
Q23333	גוף ויטלם
Q23334	אבחזיה
Q23337	סולט לייק סיטי
Q23346	סאסקס
Q23352	ג'ורג' רייד
Q23357	אברהם מאסלו
Q23360	קמברלנד
Q23364	פסיכולוגיה הומניסטית
Q23373	פסיכולוגיה קוגניטיבית
Q23374	צ'וריסו
Q23381	Electronic Earth
Q23384	גאות ושפל
Q23393	תפילת האדון
Q23397	אגם
Q23404	אנתרופולוגיה
Q23406	הים האדום
Q23413	טירה
Q23427	דרום אוסטיה
Q23430	אולן בטור
Q23436	אדינבורו
Q23438	אשגבאט
Q23442	אי
Q23444	לבן
Q23471	לורדי
Q23482	מרסיי
Q23485	בצל הגינה
Q23498	ארכאולוגיה
Q23501	עגבנייה
Q23522	חבל הבלקן
Q23530	דמיטרי מדבדב
Q23543	סלינה
Q23551	מרידה
Q23556	אטלנטה
Q23558	האוס
Q23564	פודגוריצה
Q23589	שואוטיים
Q23614	האחות ג'קי
Q23628	הסופרנוס
Q23633	HBO
Q23635	ברמודה
Q23640	ראש
Q23661	ולינגטון
Q23666	בריטניה הגדולה
Q23681	הרפובליקה הטורקית של צפון קפריסין
Q23722	תרגיע
Q23733	סיינפלד
Q23757	אבן גיר
Q23766	אבנעזר הווארד
Q23767	סידן פחמתי
Q23800	ולטה
Q23808	ממשק
Q23831	המשרד
Q23868	מבצר ברסט ליטובסק
Q23873	יוחנן העשרים ושלושה
Q24194	אנדריי שפטיצקי
Q24489	פחם
Q24603	אינדפנדנס (מיזורי)
Q24639	ונקובר
Q24826	ליברפול
Q24842	אולה יקובסון
Q24861	אולבני
Q24869	סרט באורך מלא
Q24879	ברמן
Q24905	פועל
Q25100	נני מורטי
Q25105	עלי א-רידא
Q25164	נורווגית חדשה
Q25177	רמשטיין
Q25220	האלפים השווייצרים
Q25223	נשיא גרמניה
Q25227	האנטילים ההולנדיים
Q25228	אנגווילה
Q25230	גרנזי
Q25231	סבאלברד
Q25257	משקעים אטמוספיריים
Q25258	פארואזית
Q25261	מטאורולוגיה
Q25270	פרישטינה
Q25271	תחנת החלל הבינלאומית
Q25277	היספניולה
Q25280	האריסברג
Q25282	דננג
Q25285	טטרית
Q25287	גטבורג
Q25289	קורנית
Q25302	רטיבור
Q25319	אורהוס
Q25320	פול לנז'בן
Q25322	האזור הארקטי
Q25330	טרנטון
Q25331	אודנזה
Q25338	הנסיך הקטן
Q25395	ניוארק
Q25396	בונייר
Q25409	קושיצה
Q25410	אולבורג
Q25416	סטוונגר
Q25430	באדנויילר
Q25444	פונשל
Q25475	בתומי
Q25528	סאבא
Q25652	מרתה ריבס
Q25653	מעבורת
Q25721	IPad
Q25757	אוניקס קאזאן
Q25804	טרונדהיים
Q25956	תחנת חלל
Q25973	הרמן הסה
Q26040	בורוס
Q26075	מימן ציאנידי
Q26076	נהר איראוואדי
Q26087	טרומסה
Q26119	פרשוב
Q26155	ג'וניה
Q26163	סנדוויץ'
Q26175	טרנבה
Q26180	סנט אוסטטיוס
Q26208	קרלו ליזני
Q26273	סנט מארטן
Q26336	אלקטרוסטטיקה
Q26339	ג'רזי סיטי
Q26383	פיזיקה אטומית
Q26397	ניטרה
Q26418	הקודאטה
Q26421	דורדרכט
Q26430	טילבורח
Q26432	זוטרמר
Q26456	רש"י
Q26540	לוויין
Q26563	רוסקילד
Q26590	סיודאד חוארס
Q26600	פוקואוקה
Q26678	BMW
Q26695	ליונל ריצ'י
Q26777	סיירה נבדה
Q26793	ברגן
Q26807	מחוז הנסיך ג'ורג'
Q26876	טיילור סוויפט
Q26918	ח'אלד בן אל-וליד
Q26927	לקשאדוויפ
Q26931	אוואריסטו פליצ'ה דאל'אבאקו
Q26933	פיט טאונסנד
Q26943	טרלבורג
Q26988	איי קוק
Q27000	בגרייה
Q27007	ברדיוב
Q27036	סיירה מדרה דה צ'יאפס
Q27074	אסטון מרטין
Q27110	אוטוביאנקי
Q27169	חבר הפרלמנט האירופי
Q27172	אנתרופולוגיה פיזית
Q27224	בנטלי
Q27229	מחוז יוטה
Q27231	מזרח אסיה
Q27275	מרכז אסיה
Q27293	דרום-מערב אסיה
Q27302	הספרייה הלאומית הגרמנית
Q27306	ממלכת פרוסיה
Q27356	מדאאן סאלח
Q27381	צפון אפריקה
Q27432	בית לחם סטיל
Q27433	מרכז אפריקה
Q27436	קאדילק
Q27449	דרום אירופה
Q27460	דאצ'יה
Q27468	מזרח אירופה
Q27496	מערב אירופה
Q27509	מרכז אירופה
Q27511	דייהטסו
Q27538	ססקוהנה
Q27561	הולנד הקריבית
Q27564	דודג'
Q27586	פרארי
Q27597	פיאט
Q27611	אמריקה המרכזית
Q27654	היסטוריה של הפילוסופיה
Q27686	בית מלון
Q27706	נמל התעופה המבורג פולסביטל
Q27827	אחוות ישו
Q27841	אנתרופולוגיה כלכלית
Q27860	ג'איאפורה
Q27911	בס
Q27939	זמרה
Q28031	סבנדבורג
Q28065	אנתרופולוגיה משפטית
Q28198	ג'קסון
Q28206	אוגוסטה
Q28214	ההריגה
Q28218	באטון רוז'
Q28237	לאנסינג
Q28249	קונקורד
Q28260	לינקולן
Q28271	אנאפוליס
Q28389	תסריטאי
Q28419	מנדאן
Q28472	שיער
Q28480	מקס ברוד
Q28494	היינריך פון קלייסט
Q28500	אצטדיון רנצו ברברה
Q28513	האימפריה האוסטרו-הונגרית
Q28515	ספרינגפילד
Q28575	נפה
Q28598	אנתרופולוגיה תרבותית
Q28602	ארמית
Q28751	דהאוקסינוקלאוטיד
Q28775	NAD
Q28803	כריך
Q28813	הונאה
Q28823	טקסטיל
Q28848	סיינט פול
Q28865	פייתון
Q28911	לאהטי
Q28934	נמל התעופה של בריסל
Q29052	אוניברסיטת ואנדרבילט
Q29065	המהומות בממלכה המאוחדת
Q29171	חיל רגלים
Q29179	פרנסיסקו פרנקו
Q29182	בישוף
Q29221	בצק עלים
Q29245	הייסטינגס
Q29282	הארכיבישוף מקנטרברי
Q29294	מגדל ויליס
Q29297	קרל ריטר
Q29303	קנטרברי
Q29330	עוגיות ג'אפה
Q29339	מאניש
Q29364	מונטגומרי
Q29443	עוגת פאונד
Q29445	ג'ונו
Q29493	בלילה
Q29520	סין
Q29524	משפט הטבע
Q29539	צפיפות החומר
Q29540	בווארית
Q29558	נשיא פינלנד
Q29570	שברולט
Q29573	מילדרד דרסלהוז
Q29574	ביאטריקס, מלכת הולנד
Q29606	הסטון רוזס
Q29888	אסואן
Q29943	מחוז אלכסנדריה
Q29999	ממלכת ארצות השפלה
Q30002	צ'נגדו
Q30113	ג'יפ
Q30185	ראש עירייה
Q30186	עוגת שוקולד
Q30340	ג'נגג'ואו
Q30461	נשיא
Q30547	האם תרזה
Q30578	אורבנוס השני
Q30603	נמל התעופה הבינלאומי שאהג'לאל
Q30755	אוגוסט רודן
Q30805	מחוז קהיר
Q30849	בלוג
Q30903	סופרן
Q30911	הארמון הפדרלי של שווייץ
Q30921	חוקת שווייץ
Q30942	גואידו ואן רוסום
Q30971	פולינזיה הצרפתית
Q30974	רואן
Q30985	המילטון
Q31057	נורפוק
Q31058	ברלינגטון
Q31063	חג המולד
Q31073	וולטר קרונקייט
Q31113	קוומינטנג
Q31218	כלכלת בריאות
Q31305	מארס
Q31439	אברהם בר חייא
Q31454	ממלכת לוב
Q31487	קרקוב
Q31621	קונרד ז'קוב טמינק
Q31747	מדינת אירלנד החופשית
Q31905	שברולט אורלנדו
Q31920	שחייה תחרותית
Q31929	האימפריה הקרולינגית
Q32067	מזל טלה
Q32081	טאיוואן
Q32112	איגרוף
Q32190	נמל התעופה הבינלאומי בייג'ינג קפיטל
Q32257	הופעלאנד
Q32485	קרב חמש מודרני
Q32488	מרוששות
Q32520	אוגוסטין מקנטרברי
Q32556	אנטוניו קאנדרבה
Q32620	טולסי גבארד
Q32635	שם תחום
Q32724	ונטית
Q32747	ופס
Q32815	מסגד
Q32816	הרפתקאות שרה ג'יין
Q32858	וודית
Q32884	גרין לנטרן
Q32999	נמל התעופה הבינלאומי וינה-שווכאט
Q33132	קרב גטיסברג
Q33187	זרוע אוריון
Q33231	צלם
Q33268	בהוג'פורית
Q33277	בלגרד ארנה
Q33298	פיליפינית
Q33349	מליטופול
Q33384	ניב
Q33405	ליטל רוק
Q33486	הרטפורד
Q33487	הומופוביה
Q33506	מוזיאון
Q33521	מתמטיקה שימושית
Q33549	ג'אווה
Q33557	קרלית
Q33569	הוואית
Q33673	קאנדה
Q33698	ליבונית
Q33754	לומברדית
Q33760	ברטראנד ראסל
Q33788	קלדוניה החדשה
Q33823	נפאלית
Q33837	ארכיפלג
Q33850	השפה הנורמנית
Q33866	תאודור רוזוולט
Q33881	טור דה פראנס
Q33923	פטרוס
Q33935	תל אביב-יפו
Q33946	צ'כוסלובקיה
Q33959	ניס
Q33971	עלה
Q33973	סיציליאנית
Q33976	סרדו
Q33986	ולפראיסו
Q33999	שחקן
Q34001	רובה
Q34006	הוליווד
Q34020	ניואה
Q34038	מפל מים
Q34057	טאגאלוג
Q34095	ארד
Q34101	טונגה
Q34105	חוסני מובארכ
Q34106	סרניה
Q34109	פארגו
Q34110	אואחאקה
Q34172	חמאה
Q34178	תאולוגיה
Q34217	אוקספורד
Q34218	ברלינגטון
Q34261	פורט-או-פרנס
Q34266	האימפריה הרוסית
Q34271	טיבטית
Q34274	בשורות
Q34296	וודרו וילסון
Q34362	אסטרולוגיה
Q34366	טסמניה
Q34370	רוטרדם
Q34374	כרתים
Q34389	ויטני יוסטון
Q34404	ניו אורלינס
Q34424	שאקירה
Q34433	אוניברסיטת אוקספורד
Q34467	תקליטור
Q34474	אלכסנדר סולז'ניצין
Q34481	פרנצ'סקו מורוזיני
Q34486	מסוק
Q34493	אופנוע
Q34503	מהמט השני
Q34589	פרת
Q34597	ג'יימס גרפילד
Q34599	דגל לוב
Q34600	קיוטו
Q34617	סן פייר ומיקלון
Q34624	ג'ובאני גבריאלי
Q34627	בית כנסת
Q34628	גוטהולד אפרים לסינג
Q34640	תעלת למאנש
Q34647	יוהנסבורג
Q34659	קוראים לי ארל
Q34664	הירושימה
Q34670	אלבר קאמי
Q34679	חול
Q34687	ורד
Q34692	קינגסטון
Q34713	זלצבורג
Q34726	מיתולוגיה יוונית
Q34739	דייטון
Q34740	סוג
Q34749	מדעי החברה
Q34754	סומלילנד
Q34755	Kickstarter
Q34770	שפה
Q34782	נטאלי קליפורד בארני
Q34787	פרידריך אנגלס
Q34800	שינג'יאנג
Q34804	אלבקרקי
Q34820	סנטו דומינגו
Q34863	אוקלהומה סיטי
Q34918	הוונטד
Q34932	בריזבן
Q34943	תלמי
Q34990	תורה
Q35004	טריחה
Q35054	בית דואר
Q35056	עוגיות כנפי מלאך
Q35086	איי ג'ורג'יה הדרומית ואיי סנדוויץ' הדרומיים
Q35127	אתר אינטרנט
Q35178	כווית סיטי
Q35191	קרנבל המסכות בוונציה
Q35222	צרפתית עתיקה
Q35245	אטימולוגיה
Q35273	טלסקופ אופטי
Q35323	ערבים
Q35339	WWE
Q35381	קולומבו
Q35395	פונטיקה
Q35473	חלון
Q35484	אל-מדינה
Q35493	אלמטי
Q35497	יוונית עתיקה
Q35509	מערה
Q35555	ואליס ופוטונה
Q35572	אופ"א
Q35581	הוקאידו
Q35591	חידקל
Q35610	ארתור קונאן דויל
Q35622	WWE SmackDown
Q35666	קרחון
Q35672	פיטקרן
Q35715	אוסטרליה הדרומית
Q35722	גותית
Q35749	פרלמנט
Q35760	מסה
Q35765	אוסקה
Q35773	ספארי
Q35775	בויסי
Q35794	אוניברסיטת קיימברידג'
Q35872	סירה
Q35874	הומור
Q35886	למבורגיני
Q35903	WWE NXT Wrestling
Q35919	לקסוס
Q35962	מזראטי
Q35986	אסתטיקה
Q35989	מייבאך
Q35997	איזמיר
Q36014	הו צ'י מין
Q36033	מיצובישי מוטורס
Q36036	לבוב
Q36070	WWE Network
Q36074	קווינסלנד
Q36091	מיניאפוליס
Q36105	צ'ארלס ברונסון
Q36107	מוחמד עלי
Q36117	בורנאו
Q36124	מצר גיברלטר
Q36161	קבוצה
Q36168	ברידג'טאון
Q36174	קרלוס השני, מלך ספרד
Q36180	סופר
Q36192	פולקלור
Q36236	מלאיאלאם
Q36260	אפיה
Q36264	וירטוס בולוניה
Q36268	בריז'יט בארדו
Q36290	דיאנה רוס
Q36293	היסטון
Q36312	קלגרי
Q36330	ג'ורדנו ברונו
Q36405	אברדין
Q36420	נמל התעופה הבינלאומי שאנגחאי פודונג
Q36433	פורטו
Q36442	מדע המדינה
Q36462	פלקנסטרו וירטוס רומא
Q36465	קמח
Q36479	מלך האריות
Q36510	יוונית מודרנית
Q36600	האג
Q36620	טיכו ברהה
Q36633	זנות
Q36647	קורק
Q36687	ויקטוריה
Q36704	יוגוסלביה
Q36730	טורקית עות'מאנית
Q36740	אונג סן סו צ'י
Q36794	דלת
Q36823	טוקלאו
Q36834	מלחין
Q36947	סלבדור
Q36963	ציד
Q36986	וולאפיק
Q37024	סרביה ומונטנגרו
Q37043	טאלאהאסי
Q37062	יוחנן השמיני, קיסר האימפריה הביזנטית
Q37066	ביסמרק
Q37079	טום קרוז
Q37085	שלמה
Q37090	השילוש הקדוש
Q37093	Yahoo!
Q37100	אוקלנד
Q37110	פרעה
Q37122	אתנה
Q37143	ארגון המדינות המתועשות
Q37144	כדור
Q37156	IBM
Q37159	מילקשייק
Q37172	גל
Q37187	תא דם אדום
Q37211	סינד
Q37226	מורה
Q37251	.de
Q37302	רוח הקודש
Q37312	IMDb
Q37320	קליבלנד
Q37333	לובלין
Q37340	אפולו
Q37349	דלאי לאמה
Q37362	אקרוטירי ודקליה
Q37407	.af
Q37437	תחביר
Q37463	פייר קירי
Q37470	מועצת הביטחון
Q37525	גלוקוז
Q37547	אסטרופיזיקה
Q37548	אוניברסיטת נורת'איסטרן
Q37562	דונטלו
Q37577	ז'אן קלווין
Q37610	דוד בן-גוריון
Q37615	לוצ'אנו פבארוטי
Q37620	סכלדה
Q37621	תומאס הובס
Q37629	רועה אוסטרלי
Q37643	מלחמת המפרץ
Q37693	פול גוגן
Q37726	צבא יבשה
Q37731	עות'מאן בן עפאן
Q37736	צפון הקווקז
Q37748	כרומוזום
Q37756	סגסוגת
Q37801	בלץ
Q37806	פורט וילה
Q37813	מערכת אקולוגית
Q37836	מילווקי
Q37853	בארוק
Q37868	אצות
Q37888	קאירן טרייר
Q37951	סאפורו
Q37960	הים הצהוב
Q37970	גרגור מנדל
Q38022	סנט לואיס
Q38035	עיצור
Q38080	בול מסטיף
Q38112	יערנות
Q38130	חבר הלאומים
Q38221	מפלי מריה כריסטינה
Q38234	נגסאקי
Q38283	יוקוהמה
Q38311	מורפולוגיה
Q38358	דוברמן פינצ'ר
Q38380	אנז'ה
Q38383	בולדוג אנגלי
Q38453	קולומביה
Q38484	רומנו פרודי
Q38499	כלב לוויה
Q38511	טורקו
Q38533	קוקר ספניאל אנגלי
Q38545	אדנה
