Q31	Βέλγιο
Q41413	Ισμοΐλ Σομόνι Πικ
Q41415	Σούπα
Q41509	Γραμμομόριο
Q41673	Σημαία της Ινδίας
Q41675	Βιβλίο Γκίνες
Q42262	Ευρωπαϊκός Οργανισμός Διαστήματος
Q42614	Δευτερονόμιο
Q42992	Γκόλντα Μέιρ
Q42998	ορχήστρα
Q43199	Ομάχα
Q43347	Τζελαλεντίν Ρουμί
Q43359	MTV
Q43509	Γουαγιακίλ
Q43511	Μάραθο
Q43944	Χαμίντ Καρζάι
Q43994	Ματ Γκρέινινγκ
Q44007	Πάουλ Κλέε
Q44013	Βάουγκαν
Q44233	Ησίοδος
Q44315	Hide
Q44344	Ιλάριος Πικταβίου
Q44892	Kraftwerk
Q46090	Πάπας Σίλβεστρος Γ΄
Q46841	Λένας ποταμός
Q46961	Γκάνγκστερ
Q47053	Εκβολή
Q47162	Ρομαίν Ρολάν
Q47273	Κεντρικό Νευρικό Σύστημα
Q47359	Πρωτόκολλο του Κιότο
Q47398	Οικονομική ιστορία
Q47891	Σημαία της Φινλανδίας
Q47928	τσίρκο
Q47967	Βόρεια Δυτική Αγγλία
Q48187	Έρικ Κλάπτον
Q48340	CNN
Q48344	Ρεσίφε
Q48821	Διαστημικό Κέντρο Κένεντι
Q49024	Διεθνές Φεστιβάλ Κινηματογράφου Βενετίας
Q49114	Πανεπιστήμιο Μπράουν
Q49218	Ρότσεστερ
Q49240	Στόκτον
Q49247	Άναχαϊμ
Q49272	Τσάντλερ
Q49496	Ζαν ντε Λα Φονταίν
Q49542	Ρώσοι
Q50868	Αρχαία αιγυπτιακή γλώσσα
Q51664	Ιησούς στο Ισλάμ
Q51670	Άσμα Ασμάτων
Q51690	Ίρβινγκ
Q52371	σύνταγμα
Q52698	Σαρντόν
Q53043	Τζοβάνι Παστρόνε
Q53268	Toyota
Q53464	Ουγγρική Βικιπαίδεια
Q54138	Μπέβερλι
Q54212	Μπάρνσλεϊ
Q54451	Σιδηροδρομικός Σταθμός Νέας Υόρκης Πενσυλβάνια
Q54939	Επαρχία της Βαλένθια
Q55210	Αμπάς Κιαροστάμι
Q55264	Τσαρλς Λότον
Q55741	Άντζελες
Q56003	μεταηθική
Q56189	Λίζε Μάιτνερ
Q57449	Ίαν Χάμα
Q57652	Χέλε Τόρνινγκ-Σμιτ
Q58734	ρύπανση
Q59670	Κολούμπια
Q60700	Ρόμπερτ Κόλντεβαϊ
Q61223	Χέρμαν Σβαρτς
Q61686	Βάλτερ Μάισνερ
Q62547	Μάικλ Μπάλχαους
Q62589	Ένωση Σουηδίας-Νορβηγίας
Q71031	Ρόμπερτ Μπούνσεν
Q72258	Μελίτο ντι Νάπολι
Q77183	Βίλχελμ Μαρξ
Q78509	Γιόζεφ Ροτ
Q78570	Ότο Νόιρατ
Q78987	Ηλεκτρική κιθάρα
Q79439	Άθενς, Αλαμπάμα
Q79746	κερί
Q79848	Σαουθάμπτον
Q80131	Πόκερ
Q80517	Σρίβεπορτ, Λουιζιάνα
Q80987	Φλουμινένσε Φούτμπολ Κλαμπ
Q81197	πυρηνική φυσική
Q81226	Κυβερνείο Εριβάν
Q81545	Λιβυκός εμφύλιος πόλεμος 2011
Q81676	Σημαία της Αυστραλίας
Q81931	Συνομόσπονδες Πολιτείες της Αμερικής
Q83069	Επαρχία Σαγγάριου
Q83978	Danny Fantom
Q86259	Βίντριχ Φίργκλ
Q92743	Βιντ Σερφ
Q96962	Πέτερ Φλόριν
Q100122	Κουρτ Κρίγκερ
Q101081	Προβηγκία
Q102397	Μίσκολτς
Q103955	Γκούσταβ Στρέζεμαν
Q104231	κομητεία της Στοκχόλμης
Q104804	Μεσρόπ Μαστότς
Q105967	Λα Γκομέρα
Q106255	Ζαν Πολ Μπελμοντό
Q106837	Σάξων ο Γραμματικός
Q107673	87 Σύλβια
Q108555	Γκιουζέπε Ταρτίνι
Q109010	Δήμος Σόλνας
Q116269	Διοξείδιο του πυριτίου
Q117139	Wiz Khalifa
Q117467	Βασιλική Εταιρεία του Εδιμβούργου
Q118903	Βίλνιους
Q122392	Γιακόμπ Μπερνούλι
Q123190	Ζαν Πιαζέ
Q123829	Τζορτζ Γκέρσουιν
Q124754	Πάπας Πίος Ζ΄
Q125076	Slumdog Millionaire
Q126269	Γουλβερχάμπτον
Q127141	Microsoft Bob
Q127398	Μαϊμωνίδης
Q128160	Κρίση των πυραύλων της Κούβας
Q129137	Applescript
Q130243	Δελτοειδής μυς
Q130601	Ρωμύλος Αυγουστύλος
Q130924	Καλεβάλα
Q130975	Ρόμπερτ Άντριους Μίλικαν
Q131072	Εκκλησιαστής
Q131144	Τομ και Τζέρι
Q131204	Σημαία του Βιετνάμ
Q131324	Τζάνετ Τζάκσον
Q131674	Ανατόλι Κάρποβ
Q131683	εμβρυολογία
Q131814	Τίνα Τέρνερ
Q132265	Τεραβάντα
Q132311	φάνταζυ
Q132708	Πάπας Ιννοκέντιος ΙΒ΄
Q133069	Μπουρ-αν-Μπρες
Q133080	Δημόσιες Σχέσεις
Q133132	Παρισινή Κομμούνα
Q133215	Καζίνο
Q133261	Du gamla, Du fria
Q135622	Μετάφραση Google
Q138311	Ελίζαμπεθ
Q138391	Πάτερσον
Q139918	Γουαϊκάτο
Q141844	Γκατινώ
Q143945	Κάρλα Μπρούνι
Q149315	Πάπας Σιλβέριος
Q151168	Μάρτιν Κλέμπα
Q151423	Συνέδριο του Βερολίνου
Q151509	Ιμπν Σαούντ
Q151908	Πάπας Πελάγιος Β΄
Q151936	Τζέιμς Φρέιζερ
Q152505	Λέοναρντ Μπερνστάιν
Q152548	Λαμπάδα
Q153015	Βασίλειο της Σαξωνίας
Q153185	Ζοζέφ Λουί Γκαι-Λυσάκ
Q153761	Έλινορ Όστρομ
Q154674	Συνθήκη της Ουτρέχτης
Q154842	Μαξ Ερνστ
Q155000	Κομμουνιστικό Κόμμα Βουλγαρίας
Q156033	Γιόχαν Στάμιτς
Q156711	Ούζχοροντ
Q157003	Εβραϊκό Μουσείο Βερολίνου
Q157837	Πόρτο Ατζούρρο
Q160549	CONCACAF
Q161701	Καρκίνος
Q162875	Μαυσωλείο
Q164469	Πιερ Εμμανυέλ
Q165154	Βασίλειο της Σαρδηνίας
Q166231	μόλυνση
Q166304	Μπίλινγκς
Q167037	επιχείρηση
Q168359	Ζαν Μαρέ
Q168453	Τετραϋδροφυλλικό οξύ
Q169342	αμφιβληστροειδής
Q169358	στρωματοηφαίστειο
Q169577	Έρνεστ Ορλάντο Λόρενς
Q169584	Άγιος Σάββας Β΄ της Σερβίας
Q169923	Κομητεία Γκόλγουεϊ
Q170303	Πάπας Πελάγιος Α΄
Q170382	περίστροφο
Q170539	παρωδία
Q170591	Υδρόθειο
Q171195	Ναγκαριούνα
Q171382	Μπαμιάν
Q171626	Ουρβανός ΣΤ΄
Q171632	Μαρακαΐβο
Q172398	Πάπας Αδριανός Γ΄
Q172721	Μερτσέντες
Q172877	Άρνο Πενζίας
Q172896	Κατακόμβες
Q172916	Πάπας Ιωάννης ΚΑ΄
Q172928	Πάπας Κλήμης Δ΄
Q173175	Έντι Τζόρνταν
Q173357	Simca
Q173643	Abbey Road
Q174257	Μπωβαί
Q175945	Βόρειο Λινκολνσάιρ
Q177342	οξείδιο του αργιλίου
Q177819	Παλαιό βασίλειο
Q177826	κλήρος
Q178024	Ζυμάρι
Q178071	Πάπας Βονιφάτιος ΣΤ΄
Q178293	Μαουρίτσιο Κάγκελ
Q178577	Νόρμπερτ Βίνερ
Q179126	Τζον Ράσκιν
Q179132	Σπηλαιολογία
Q179149	Αντισθένης
Q179224	Ντόβερ
Q179405	ανακλαστικό
Q179661	θεραπεία
Q179731	Όξινο ανθρακικό νάτριο
Q179742	Προκατάληψη
Q179805	πολιτική φιλοσοφία
Q179997	Δεκατρείς Αποικίες
Q180592	κοινωνική φιλοσοφία
Q180704	Iron Man
Q181114	Chrysler
Q181381	Γαλακτόζη
Q181826	Please Please Me
Q183108	Φάμπιο Καπέλο
Q183182	Άρθουρ Ρούμπινσταϊν
Q183290	Σερίνη
Q183492	Μάργκαρετ Άτγουντ
Q184299	Σάχης
Q184373	Νιτρικό νάτριο
Q184386	Yes
Q184590	Διάδρομος αεροδρομίου
Q184599	Κομητεία Ουέξφορντ
Q184624	Τύρφη
Q185073	Νεστόριος
Q185166	Σεΐχης
Q185749	Κεφίρ
Q188096	Πένανγκ
Q188586	Βασίλειο της Σικελίας
Q188712	Ιαπωνική Αυτοκρατορία
Q188771	Γαλλική Ακαδημία Επιστημών
Q188794	Ησαΐας
Q188959	Κοβάσνα
Q189085	παστέλ
Q189447	Διαχείριση Κινδύνου
Q189526	Μπράιαν Ντε Πάλμα
Q189729	Φίλιπ Γκλας
Q189960	Ουεστμίνστερ, Λονδίνο
Q190368	Αππιανός
Q191034	Πόρτο
Q191775	Ντομένικο Τσιμαρόζα
Q191838	Ο Κόμης Μοντεχρήστος
Q192055	Σφαγή της Ναντσίνγκ
Q192611	εκλογική περιφέρεια
Q193391	διπλωμάτης
Q193714	Παλαιστίνη υπό Βρετανική Εντολή
Q193739	Συνθήκη του Άμστερνταμ
Q193793	Ηλεκτρονική στοιβάδα
Q193800	Γιουβενάλης
Q193819	Βανσέν
Q194978	Microsoft Visio
Q200054	Τζάμσεντπουρ
Q200060	Εσθονική Βικιπαίδεια
Q201347	Τόρμπερν Μπέργκμαν
Q201358	The Flintstones
Q201897	Ιταλική Ομοσπονδία Ποδοσφαίρου
Q201940	Led Zeppelin IV
Q202021	χρωματική κλίμακα
Q202319	Μπιλ Χάλεϊ
Q203493	Βασίλειο της Ρουμανίας
Q203923	Αχελώος
Q203960	Τζέιμς Ερλ Τζόουνς
Q204138	Βίκτορ Βασνετσόφ
Q204577	Ημιολία
Q205458	Meddle
Q205842	Άσπεν
Q206112	Γουίλι Νέλσον
Q206171	Σκωτικό Κοινοβούλιο
Q206855	Ρωσική Βικιπαίδεια
Q206933	Λεϊρία
Q207073	Τζιοβάνι Φαλκόνε
Q207338	Κουαρτέτο εγχόρδων
Q207535	Ρολάνδος
Q207898	Μάνου Τσάο
Q207999	Κουουσάμο
Q208033	Qatar Airways
Q208118	Ψιλοκυβίνη
Q208143	Γουίγκαν
Q208258	Φρανς Γκαλ
Q208478	Παρθένο δάσος
Q208590	Κριστίν Σκοτ Τόμας
Q208635	Εθνική Καναδά (ποδόσφαιρο ανδρών)
Q209338	Όξναρντ
Q210704	Σουλεϊμάν Α΄ της Περσίας
Q211086	υδροχλώριο
Q211346	ψυχίατρος
Q211379	Σαγίντ Κουτμπ
Q211976	Τζον Πετρούτσι
Q212052	Ιάκωβος ΙΑ΄ της Αραγονίας
Q212357	ναυαρχίδα
Q212980	ψυχολόγος
Q213001	Φαρούκ της Αιγύπτου
Q213050	Ηλεκτρικό οξύ
Q213508	Στάδιο Γεώργιος Καραϊσκάκης
Q213788	νιτρώδη
Q214062	Τζόζεφ Ράιτ
Q214064	Αλέππο
Q214371	Ο Υπέροχος Γκάτσμπυ
Q214874	Υδάσπης
Q215305	Τζούλιο Ρομάνο
Q215308	Τζούλιο Κατσίνι
Q215354	Νότινγκ Χιλ
Q216047	Le Figaro
Q216082	Αυστραλιανό Εργατικό Κόμμα
Q218960	Λώρενς Στερν
Q219563	Πανεπιστήμιο της Ουάσινγκτον
Q219747	Sheer Heart Attack
Q219831	Νυχτερινή περίπολος
Q220673	Μουζέν
Q221142	Άγγελος Μπασινάς
Q222108	Αυστριακή Ποδοσφαιρική Ομοσπονδία
Q222500	Πάπας Στέφανος Η΄
Q223181	Queen II
Q223744	Φαρινέλλι
Q225360	Σημαία της Βουλγαρίας
Q229383	Sirusho
Q230507	Αγία Μαργαρίτα της Σκωτίας
Q230791	Βασίλειο της Σκωτίας
Q231765	Γκιλόνγκ
Q231997	Σαντάκο Σασάκι
Q234050	Έρασμος Δαρβίνος
Q238023	Φλαβία Ιουλία Κωνσταντία
Q238688	Φλοριάνο Πεϊσότο
Q242135	Νταϊάν Ριβς
Q244207	Καμπιόνε ντ' Ιτάλια
Q244730	Ράγια Σάμπα
Q249612	Κλουμπ Σπορτ Εμελέκ
Q250920	Ενρίκο Μπέτι
Q252609	Νέα Σουηβία
Q252657	Γεώργιος Ράλλης
Q253772	Ελισαβέτα Μπίκοβα
Q258499	Συστοιχία Τετραγωνικού Χιλιομέτρου
Q258532	Βρετανική Αμερική
Q258546	In Flames
Q259438	Κεχρί
Q261936	Ασκληπιάδης ο Βιθυνός
Q262608	Έιμπελ Φεράρα
Q265283	Ἐπιστολὲς Παύλου
Q266592	Μπολιάσκο
Q266893	Ομάδα Στρατιών Νότος
Q271324	Χέντα Χόπερ
Q271822	Πιέρ Μεσμέρ
Q271887	Λουί Μπαρτού
Q273011	Μάχη του Μαρενγκό
Q273108	κοντοτιέρος
Q282748	Πάμε Χιόνι;
Q288781	Κένσινγκτον
Q296039	Τζέιμς ΛαΜπρι
Q296325	Κτησίας
Q296804	Μπέρναρντ Χέρμαν
Q297032	Γκεόργκι Λβοφ
Q297194	Βάλντεμαρ Α΄ της Δανίας
Q297210	Κέρι Κινγκ
Q299215	Σαμπατάι Τσεβί,
Q304885	Κρις Σκουάιρ
Q307882	Τζούντυ Ντέιβις
Q309008	Πολωνική Ομοσπονδία Ποδοσφαίρου
Q309826	Μαράτ Ιζμάιλοφ
Q309974	Ζαν Ζιρωντού
Q310616	Al-Aqsa TV
Q311789	Ιμπραήμ Πασάς
Q312053	Ρικ Γουέικμαν
Q312271	Πρόεδρος της Μολδαβίας
Q312368	Ερνέστ Σοσόν
Q312587	Κλωντ Λουί Μπερτολέ
Q313077	Τζον Μπάνβιλ
Q313430	Βαρθολομαίος Ρόμπερτς
Q314984	Ζακ Πιερ Μπρισό
Q315484	Παρκ Τσαν-γουκ
Q317216	Αντόνι Ιραόλα
Q318142	Γκόντουιν του Ουέσσεξ
Q319321	Γεώργιος Παπανικολάου
Q320275	Βουλή των Αντιπροσώπων της Βιρτζίνια
Q325406	Πολ Μερκούριο
Q326139	Άνθιση φυτοπλαγκτού
Q326342	Πανεπιστήμιο Κονκόρντια
Q326653	λογιστής
Q328309	Μπαρ-συρ-Σεν
Q328689	Κροατική Ποδοσφαιρική Ομοσπονδία
Q330158	Ντχάκα
Q332412	Τόνι Μπεν
Q333668	Ένκι Μπιλάλ
Q333806	Ζαν Βικτόρ Μαρί Μορό
Q335617	Ονούφριος
Q336122	Λοπ μπούρι
Q337623	Μάρκο Βεράτι
Q339065	Beggars Banquet
Q343055	Ντέιβιντ Χάρβεϊ
Q346530	Αντάντ απλά ιντινά
Q346582	Αντίπαπας Πασχάλης Γ΄
Q355112	Λουί Μπλανκ
Q357974	Τζούλιαν Λένον
Q361305	Κλωντ Σαπ
Q361405	Άγιος Θεόδωρος ο Στουδίτης
Q364505	Μπερτίλ Λίντμπλαντ
Q365387	Γκαμπριέλ Ραμαναντσόα
Q371670	Αμαλασούνθα
Q372549	Σαλβαδόρ Εσπρίου
Q378274	περγαμηνή υψηλής ποιότητας
Q381039	Τζον Ουίλκινς
Q381124	Βασιλική Βελγική Ποδοσφαιρική Ομοσπονδία
Q381375	Πόλεμος του Ναγκόρνο-Καραμπάχ
Q383402	Λανμεζάν
Q383541	Basshunter
Q385662	Οξείδιο του λιθίου
Q388980	Τοβούζ
Q389763	Ελληνική Ποδοσφαιρική Ομοσπονδία
Q392564	Μεγάλο Τζαμί του Παρισιού
Q401976	Μαχητές των Δρόμων: Ληστεία στο Ρίο
Q405836	Αιν
Q407646	μανιτόλη
Q407684	Διβοράνιο(6)
Q408022	Διμεθυλαμίνη
Q409184	Αιθυλοβενζόλιο
Q409292	Πιπεραζίνη
Q409298	Διμεθυλομεθαναμίδιο
Q411352	Υποξείδιο του άνθρακα
Q420989	Διχλωριούχος λευκόχρυσος
Q421281	Συμπολυμερές
Q423185	Κορτιζόνη
Q441430	Αλτίν Λάλα
Q448822	Λουί Μαρσάν
Q450229	Πρίγκηπας Αλί Χαν
Q455428	Σουηδική Ποδοσφαιρική Ομοσπονδία
Q456122	Αλεξάντρ ντε Μποαρναί
Q463627	Ferrari F40
Q464862	Ντόρα Μπακογιάννη
Q466538	Κάμπο Ντελγκάντο
Q466956	Πρόεδρος της Χιλής
Q468083	Κριστιάν Νομπόα
Q468697	Τρέξε Λόλα, Τρέξε
Q472514	Μίλτος Σαχτούρης
Q473094	ταχύ θωρηκτό
Q483110	στάδιο
Q483802	Nickelback
Q483868	Εθνική Τσεχίας
Q486007	Περιφέρεια Δυτικού Καζακστάν
Q487616	Κομητεία Τσενάνγκο
Q491106	Χανάτο της Χίβας
Q491239	Κάντον
Q491603	Κίτεε
Q498627	Βάση ΜακΜούρντο
Q501785	Φέιρφαξ
Q504162	Renault Laguna
Q504637	Άλτα Βεραπάζ
Q512156	Σατουρνίνος
Q517791	Μάργκαρετ Ρόπερ
Q520549	γεωλόγος
Q525415	Γάμος...αλά Ελληνικά
Q530670	Βασίλειο της Βουργουνδίας
Q535371	Σαιν-Ζακ-ντε-λα-Λαντ
Q536137	Χαμένοι στο διάστημα
Q542146	Νότια Ινδία
Q545206	Αρχηγός του Γενικού Επιτελείου  Στρατού του Ισραήλ
Q549055	Ηρακλής (καλαθοσφαίριση)
Q550374	Νοτιοαφρικανική Δημοκρατία
Q553905	Γουάν ταν
Q555241	Πιερφρανσέσκο Φαβίνο
Q557378	Σαλμάν ο Πέρσης
Q568870	Audi RS4
Q573747	Κινεζική Ποδοσφαιρική Ομοσπονδία
Q575092	Google Glass
Q580409	Αεροδρόμιο του Μπόρνμουθ
Q583725	Κέντρα Ελέγχου και Πρόληψης Ασθενειών
Q597191	Rothmans International
Q600232	ΚΝ Ελντένσε
Q607336	Ρούμπεκ
Q611214	Επόμενοι Έντεκα
Q611723	Πανεπιστήμιο Ράιερσον
Q618355	χυμός μήλου
Q622250	Ποδοσφαιρική Ομοσπονδία Μαλαισίας
Q629133	Βουλή των Αντιπροσώπων της Αργεντινής
Q629955	Μάλκομ Κιν
Q630371	Πριγκίπισσα Σοφία της Ελλάδας και Δανίας
Q639408	Γουοτερλού
Q640092	Γέφυρα Αιμίλιου
Q641362	Μπαμπούλες Πανεπιστημίου
Q644008	Καρσί
Q645882	Κείμενα των Πυραμίδων
Q647404	Toyota Supra
Q648352	πιμπιμπάπ
Q650063	O Γλάρος
Q665957	Ζακ Λαφίτ
Q667472	Πλατεία Αριστοτέλους
Q668090	Πιρς Πολ Ριντ
Q675576	Πουέμπλο
Q677935	Βήιοι
Q687218	Ρόμπερτ Ράσλερ
Q688230	Πρόεδρος της Ελβετικής Συνομοσπονδίας
Q694740	Εξαρχάτο της Ραβέννας
Q697583	Mitsubishi G4M
Q702650	Πρωθυπουργός της Δημοκρατίας της Κίνας
Q703525	Αρχιεπίσκοπος Χριστόδουλος
Q712828	Περιφέρεια Απώτερης Ανατολής
Q715607	Βαλμίκι
Q716700	Έντουαρντ Γιανγκ
Q717588	Θορ
Q724729	Ζακ Ντοριό
Q725244	Live After Death
Q726004	Ολιγομερές
Q726316	Αστάνγκα γιόγκα
Q729006	Τσάταμ
Q729170	Μπάρι
Q734566	Black Celebration
Q736575	Οουλουγιόκι
Q738011	οικολογία τοπίου
Q738044	Σταντιόμ Μυνισιπάλ ντε Τουλούζ
Q738695	Πρωθυπουργός της Φινλανδίας
Q739951	Κεντρική Περιφέρεια, Καμερούν
Q740282	Κασίμ Αμίν
Q747541	Γκαρ ντε Λυών
Q748417	Windows Virtual PC
Q748533	Ιίσαλμι
Q754339	ΙΦ Μπρομαποϊκάρνα
Q756294	Αυτόνομη Δημοκρατία της Κριμαίας
Q758545	Όμπερν
Q758783	Audi S5
Q761368	Άουγκουστ Γκαϊλίτ
Q765633	Αεροπορία
Q765798	Ιππόλυτος Α΄ των Έστε
Q771405	Νότια Ασία
Q774306	χειρουργός
Q782986	Αβραάμ Ρούσο
Q786942	Αζανία
Q806916	Μπάννου
Q809318	Μπαρτολομέους Μπρέινμπερχ
Q810923	Μπαταμπάνγκ
Q814296	Σύντομη συνάντηση
Q817524	Μπενζαμέν Γκοντάρ
Q818295	Bentley Continental Flying Spur
Q819537	Internet Explorer 10
Q820940	Σιαζάν
Q823600	Τσέστερφιλντ
Q824000	Μιναμιαρουπούσου
Q826103	σύνδρομο Reye
Q826561	Χάλιφαξ
Q833202	BRIC
Q835986	Βάκλον
Q841090	κλασικισμός
Q842091	Δουκάτο της Νορμανδίας
Q844784	κοιλάδα του Γκλαμόργκαν
Q849627	Ατίθασα νιάτα
Q852448	Πρόεδρος της Νικαράγουας
Q856935	Cadillac STS
Q861255	Χιγκασικαγκάβα
Q864889	OneDrive
Q878319	Δεσποτάτο της Σερβίας
Q899877	Υδροξυαιθανάλη
Q905942	Διοξιράνιο
Q909666	Γερουσία του Ουαϊόμινγκ
Q916967	ΚΚ Τσιμπόνα Ζάγκρεμπ
Q921895	BBeB
Q922407	Καθεδρικός του Αγίου Λαυρεντίου
Q924020	Βελγικές βουλευτικές εκλογές 2010
Q926124	Nissan Qashqai
Q930013	Μιχαήλ της Ρουμανίας
Q930752	ιατρική ειδικότητα
Q931452	Εβγκένι Λίφσιτζ
Q946849	Χρυσή Εποχή
Q947955	The Residents
Q948232	πίσσα λιθανθράκων
Q951575	Τζουζέπε Γκατσανίγκα
Q951681	Γερουσία του Μιζούρι
Q962317	Porsche 918
Q972398	Αδελφές Άντριους
Q974642	Πινταμονχανγκάμπα
Q974850	Πύραυλος
Q982049	Ζαν-Πιερ Τιολλέ
Q984165	Μαρκ Μαζάουερ
Q992275	Κιιμίνκι
Q1021676	Δήμος Τριγώνου
Q1026858	Πολιτειακή Συνέλευση της Καλιφόρνια
Q1035745	Πανεπιστήμιο του Κάρντιφ
Q1049659	Πρόεδρος της Λευκορωσίας
Q1056391	Γυμνασιάρχης
Q1057172	φανταστική λογοτεχνία
Q1075162	Ούμπινας
Q1084234	Ποδοσφαιρική Ομοσπονδία Φίτζι
Q1093559	Honda Racing Corporation
Q1114954	Λουέγκο
Q1129466	Ανάλυση λόγου
Q1131572	Daihatsu Terios
Q1133424	Alfa Romeo Brera
Q1140706	Πρόεδρος του Αφγανιστάν
Q1142326	Σεν
Q1146729	Ferrari F355
Q1153484	λαϊκή τέχνη
Q1160621	Πατριδογνωσία
Q1200052	Βιβλιοθήκη της Πολιτείας της Βικτώρια
Q1201513	Πανεπιστήμιο του Οτάγκο
Q1218180	nikon
Q1250763	Εμιράτο της Σικελίας
Q1340204	Sky Sports
Q1341985	Lexus LFA
Q1345514	Μάικλ Πεν
Q1356911	Ναθάνιελ Μπόντουιτς
Q1357944	Τα Ταξίδια των Thornberrys
Q1358831	Alfa Romeo 75
Q1364934	οργανικά υλικά
Q1383590	Πατρίκ Ντεβεντζιάν
Q1402078	Εξέγερση της Βαρσοβίας
Q1413570	Σαρδάνα
Q1414887	Λαχματζούν
Q1417183	Ρασίνγκ Κλουμπ Μοντεβιδέο
Q1431020	Γαλλοβελγικά κόμικς
Q1440757	France Dimanche
Q1501889	λευκό ψωμί
Q1525928	Γερουσία του Μισισίπι
Q1543576	Pink Martini
Q1543585	Nismo
Q1552742	Νότιες όχθες του Χούκαρ
Q1572213	Επταπύργιο
Q1584816	Microsoft Reader
Q1645286	Α.Ο. Κολοσσός Ρόδου
Q1646181	Ουόρσεστερ
Q1747983	Γερουσία της Βιρτζίνια
Q1760078	Δήμαρχος του Σικάγο
Q1782980	Πανεπιστήμιο του Λάγος
Q1783363	Immigrant Song
Q1821884	Λίβαϊ Σταμπς
Q1823443	Υπάρχει Λόγος
Q1859824	Στάδιο Σλάβια
Q1889169	Μάνφρεντ
Q1988986	Μίτσελ
Q1989904	Γκρήνβιλ
Q1990992	Αζής
Q2002725	Suzuki GSX-R
Q2060957	Πωλ Λεμέρλ
Q2073102	Μπερτράντ Αντριέ
Q2529538	Ραγισμένα όνειρα
Q2532139	Δήμος Νέας Ζίχνης
Q2559675	Κόμμα Εθνικής Ενότητας της Κένυας
Q2578249	Κυβέρνηση του Ισραήλ
Q2605454	Ομοσπονδία Ποδοσφαίρου Πουέρτο Ρίκο
Q2608520	Τζίμι Χιλ
Q2633985	Μοδάτες Ανοησίες
Q2642325	Γιούλια Σνιγκίρ
Q2723485	Αντιπρόεδρος των Φιλιππίνων
Q2732142	στατιστικολόγος
Q2742602	Κοινοβούλιο της Ναβάρρας
Q2867077	Γενική Συνέλευση της Πενσυλβάνια
Q2913474	Άγιος Μακάριος Νοταράς
Q2988108	Ορθοξυλόλιο
Q3179120	Μίκαελ Ντένερ
Q3281534	νεότερη ιστορία
Q3295867	The Coca-Cola Company
Q3315094	Πρωθυπουργός της Ουγγαρίας
Q3406489	Γενικός Εισαγγελέας της Καλιφόρνια
Q3438037	Κάρολος Κουν
Q3605677	Αντριάνα Ρούσο
Q3859459	Μεσοποταμιακή μυθολογία
Q3915261	αεροδρόμιο του Γουλβερχάμπτον
Q4027615	Πληροφορική
Q4097170	Ουίλιαμ Κραφτ Μπράμφιλντ
Q4116214	Λογιστική
Q4376676	Πρόεδρος της Γερουσίας της Νιγηρίας
Q4620674	Γεννητικά όργανα
Q4709134	Αλβανικός Στρατός Ξηράς
Q4773904	ανθρωπολόγος
Q4988656	Μαρωνίτες
Q4999061	Infiniti Q50
Q5094379	Chevrolet Camaro 1ης γενιάς
Q5301852	Douglas O-31
Q5589680	Κυβερνήτης του Μίσιγκαν
Q5589688	Κυβερνήτης της Νεμπράσκα
Q6382533	τάγμα
Q6500954	Ζαΐρ
Q6552144	Αλεξάνταρ Κατάι
Q6584340	Σιρόπι
Q12490507	Χαλιφάτο των Ρασιντούν
Q13474305	Φρανκική Ισπανία
Q14565638	Πρωθυπουργός του Μπαγκλαντές
Q14865245	Πουθενά χωρίς την κόρη μου
Q14911897	Πρόεδρος της Τυνισίας
Q14918344	Το Παιχνίδι της Μίμησης
Q15439223	Κολισίνες
Q15888151	Yamato 000593
Q16954422	My Big Fat Greek Life
Q17328326	Χένρι ο επικίνδυνος
Q18677983	Γκραντ Εστ
Q19263687	How Big, How Blue, How Beautiful
Q44	μπίρα
Q88	Αλεξάνδρεια
Q90	Παρίσι
Q114	Κένυα
Q159	Ρωσία
Q165	θάλασσα
Q192	Ντέιβιντ Κάμερον
Q211	Λετονία
Q214	Σλοβακία
Q224	Κροατία
Q236	Μαυροβούνιο
Q241	Κούβα
Q265	Ουζμπεκιστάν
Q270	Βαρσοβία
Q302	Ιησούς Χριστός
Q312	Apple
Q333	αστρονομία
Q334	Σιγκαπούρη
Q347	Λίχτενσταϊν
Q388	Linux
Q408	Αυστραλία
Q458	Ευρωπαϊκή Ένωση
Q482	ποίηση
Q492	Μνήμη
Q567	Άνγκελα Μέρκελ
Q583	Λευκό Όρος
Q588	Κατοβίτσε
Q629	οξυγόνο
Q636	Κέιτ Μπους
Q682	θείο
Q703	κάλιο
Q714	Στίβι Γουόντερ
Q748	Βουδισμός
Q758	ψευδάργυρος
Q769	Γρενάδα
Q774	Γουατεμάλα
Q779	Κονέκτικατ
Q786	Δομινικανή Δημοκρατία
Q796	Ιράκ
Q809	Πολωνικά
Q813	Κιργιζία
Q822	Λίβανος
Q831	Καλημέρα
Q854	Σρι Λάνκα
Q868	Αριστοτέλης
Q881	Βιετνάμ
Q886	Οι Σίμσονς
Q911	Ουφά
Q921	Μπρουνέι
Q945	Τόγκο
Q953	Ζάμπια
Q963	Μποτσουάνα
Q1005	Γκάμπια
Q1011	Πράσινο Ακρωτήριο
Q1034	Μπίελ/Μπιέν
Q1041	Σενεγάλη
Q1043	Κάρολος Λινναίος
Q1060	Τεχνικό Πανεπιστήμιο Αμβούργου - Αρβούργο
Q1084	Ουσιαστικό
Q1101	Βόρεια Βραβάντη
