[CLS] το Έ ##ντ ##μο ##ντ ##ον είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Έ ##ντ ##μο ##ντ ##ον	Α ##λ ##μ ##π ##έρ ##τας
[CLS] το Ζ ##ά ##γκ ##ρ ##ε ##μ ##π είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Ν ##του ##μ ##π ##έ	Τα ##τ ##ζ ##ι ##κι ##στά ##ν
[CLS] το Ζ ##ά ##γκ ##ρ ##ε ##μ ##π είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Λ ##άν ##σι ##ν ##γκ	Μ ##ί ##σι ##γκ ##αν
[CLS] το Κ ##ου ##τ ##σ ##ί ##ν ##γκ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##ου ##ί ##ν ##γκ	Σ ##α ##ρα ##γου ##ά ##κ
[CLS] το Κ ##ου ##τ ##σ ##ί ##ν ##γκ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##αν ##ί ##λα	Φ ##ιλ ##ι ##π ##π ##ί ##νων
[CLS] το Κ ##ου ##τ ##σ ##ί ##ν ##γκ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Λ ##ον ##δ ##ίνου	Β ##ασίλειο τη ##γ ##γ ##λίας
[CLS] το Κ ##ου ##τ ##σ ##ί ##ν ##γκ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##ί ##το	Ε ##κο ##υ ##α ##δ ##ό ##ρ
[CLS] το Λ ##έ ##στ ##ερ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Λ ##έ ##στ ##ερ	Λ ##έ ##στ ##ερ ##σα ##ϊ ##ρ
[CLS] το Λ ##έ ##στ ##ερ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##ουν ##μ ##ν ##γκ	Γ ##ιου ##νά ##ν
[CLS] το Λ ##έ ##στ ##ερ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Μ ##ανά ##γκ ##ου ##α	Ν ##ι ##κα ##ρά ##γου ##α
[CLS] το Λ ##έ ##στ ##ερ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Γ ##ου ##ό ##ρι ##κ	Γ ##ου ##ό ##ρι ##κ ##σα ##ϊ ##ρ
[CLS] το Σ ##ού ##κ ##ρ ##ε είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Σ ##ού ##κ ##ρ ##ε	Β ##ο ##λι ##βίας
[CLS] το Σ ##ού ##κ ##ρ ##ε είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Χ ##ο ##ο ##λο ##ύ	Χ ##α ##β ##ά ##η
[CLS] το Σ ##ού ##κ ##ρ ##ε είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Β ##ι ##εν ##τι ##άν	Λ ##ά ##ου
[CLS] το Σ ##ού ##κ ##ρ ##ε είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Τ ##σε ##ν ##γκ ##τού	Σ ##ι ##τ ##σου ##άν
[CLS] το Σ ##α ##ρα ##γό ##σα είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Σ ##α ##ρα ##γό ##σα	Α ##ρα ##γων ##ίας
[CLS] το Σ ##α ##ρα ##γό ##σα είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Ά ##ιλ ##μ ##μ ##ρι	Μ ##π ##ά ##κι ##γ ##χα ##μ
[CLS] το Σ ##α ##ρα ##γό ##σα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Ν ##α ##σιού	Ό ##ξ ##φο ##ρντ ##σα ##ϊ ##ρ
[CLS] το Σ ##α ##ρα ##γό ##σα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Τ ##σαν ##τι ##ά ##ρ	Χ ##α ##ρ ##υ ##άν ##ας
[CLS] το Ν ##ια ##μ ##έ ##υ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ν ##ια ##μ ##έ ##υ	Ν ##ί ##γη ##ρα
[CLS] το Ν ##ια ##μ ##έ ##υ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Δ ##ημοκρατία Κ ##άν ##α
[CLS] το Ν ##ια ##μ ##έ ##υ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Ν ##τό ##χα	Κατά ##ρ
[CLS] το Ν ##ια ##μ ##έ ##υ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Χ ##αρά ##ρ ##ε	Ρ ##ο ##δ ##ε ##σίας
[CLS] το Α ##π ##ία είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Α ##π ##ία	Σ ##α ##μό ##ας
[CLS] το Α ##π ##ία είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Σ ##λο ##βα ##κία ##ς
[CLS] το Α ##π ##ία είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##ό ##τα	Σ ##α ##μ ##π ##ά ##χ
[CLS] το Α ##π ##ία είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Τα ##σ ##κ ##έν ##δη	Ο ##υ ##ζ ##μ ##πε ##κι ##στά ##ν
[CLS] το Ν ##τον ##τό ##μα είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Ν ##τον ##τό ##μα	Τα ##ν ##ζαν ##ίας
[CLS] το Ν ##τον ##τό ##μα είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Τ ##ί ##ρα ##να	Α ##λ ##βαν ##ίας
[CLS] το Ν ##τον ##τό ##μα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Κ ##α ##μ ##π ##άλα	Ο ##υ ##γκ ##άντα ##ς
[CLS] το Ν ##τον ##τό ##μα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Αν ##ό ##ι	Β ##ι ##ε ##τ ##νά ##μ
[CLS] το Ά ##ντ ##εν είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ά ##ντ ##εν	Υ ##ε ##μένη
[CLS] το Ά ##ντ ##εν είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Λ ##ου ##σ ##ά ##κα	Ζ ##ά ##μ ##π ##ια
[CLS] το Ά ##ντ ##εν είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Γ ##ερ ##ε ##β ##άν	Α ##ρ ##με ##νίας
[CLS] το Ά ##ντ ##εν είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Π ##ό ##σιού	Κ ##ου ##β ##έ ##ι ##τ
[CLS] το Π ##ο ##ρ - Λ ##ου ##ί είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Μ ##α ##υ ##ρι ##κ ##ίου
[CLS] το Π ##ο ##ρ - Λ ##ου ##ί είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Ά ##κ ##κ ##ρα	Γ ##κά ##νας
[CLS] το Π ##ο ##ρ - Λ ##ου ##ί είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Τ ##ζα ##ϊ ##ύ ##ρ	Ρ ##ά ##τ ##ζα ##στα ##ν
[CLS] το Π ##ο ##ρ - Λ ##ου ##ί είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Μ ##ιν ##σ ##κ	Λ ##ε ##υ ##κο ##ρ ##ωσίας
[CLS] το Ν ##τε Μ ##ό ##ιν είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ν ##τε Μ ##ό ##ιν	Α ##ϊ ##ό ##βα ##ς
[CLS] το Ν ##τε Μ ##ό ##ιν είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Π ##ά ##τ ##να	Μ ##π ##ι ##χ ##ά ##ρ
[CLS] το Ν ##τε Μ ##ό ##ιν είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Ρ ##ου ##σιού	Λ ##ου ##ι ##ζ ##ιά ##νας
[CLS] το Ν ##τε Μ ##ό ##ιν είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	ν ##ήμου	Ι ##ν ##δο ##νη ##σίας
[CLS] τα Α ##στα ##νά είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Κ ##α ##ζα ##κ ##στά ##ν
[CLS] τα Α ##στα ##νά είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Έ ##σ ##σης
[CLS] τα Α ##στα ##νά είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ν ##τι ##ζ ##όν	Β ##ου ##ρ ##γου ##νδίας
[CLS] τα Α ##στα ##νά είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Ρ ##ου ##έν	Ν ##ο ##ρ ##μαν ##δίας
[CLS] το Ο ##κ ##λα ##χ ##ό ##μα Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Ο ##κ ##λα ##χ ##ό ##ματος
[CLS] το Ο ##κ ##λα ##χ ##ό ##μα Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	ν ##ήμου	Α ##ρκ ##άν ##σα ##ς
[CLS] το Ο ##κ ##λα ##χ ##ό ##μα Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Ν ##τ ##ζα ##μένα	Τ ##σαν ##τ
[CLS] το Ο ##κ ##λα ##χ ##ό ##μα Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Α ##μ ##μά ##ν	Ι ##ο ##ρ ##δα ##νίας
[CLS] το Θ ##ι ##ρου ##βαν ##αν ##θ ##α ##που ##ρά ##μ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Κ ##ερά ##λα ##ς
[CLS] το Θ ##ι ##ρου ##βαν ##αν ##θ ##α ##που ##ρά ##μ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	ν ##ήμου	Μ ##πα ##ρ ##μ ##π ##άν ##του
[CLS] το Θ ##ι ##ρου ##βαν ##αν ##θ ##α ##που ##ρά ##μ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Ν ##του ##μ ##ά ##ά	Ε ##μ ##ι ##ρά ##το του Ν ##του ##μ ##π ##ά ##ι
[CLS] το Θ ##ι ##ρου ##βαν ##αν ##θ ##α ##που ##ρά ##μ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Π ##ό ##σ ##δα ##μ	Β ##ρα ##δ ##ε ##μ ##βο ##ύ ##ρ ##γου
[CLS] το Αν ##ταν ##αν ##α ##ρ ##ί ##βο είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Μ ##α ##δα ##γα ##σ ##κά ##ρη
[CLS] το Αν ##ταν ##αν ##α ##ρ ##ί ##βο είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##πα ##μα ##κό	Μ ##α ##λιο ##ύ
[CLS] το Αν ##ταν ##αν ##α ##ρ ##ί ##βο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Αν ##νά ##πο ##λι ##ς	Μ ##έρι ##λαν ##τ
[CLS] το Αν ##ταν ##αν ##α ##ρ ##ί ##βο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	π ##α ##μ ##ά ##τ	Τ ##ελ ##αν ##γκ ##άν ##ας
[CLS] το Τ ##σαν ##τι ##γκ ##ά ##ρ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Τ ##σαν ##τι ##ά ##ρ	Π ##αν ##τ ##ζ ##ά ##μ ##π
[CLS] το Τ ##σαν ##τι ##γκ ##ά ##ρ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Αν
[CLS] το Τ ##σαν ##τι ##γκ ##ά ##ρ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Σ ##ού ##βα	Φ ##ι ##τ ##ζ ##ιο ##ύ
[CLS] το Τ ##σαν ##τι ##γκ ##ά ##ρ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Π ##εν ##σι ##λ ##βαν ##ίας
[CLS] τα Σ ##αν ##α ##ά είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Υ ##ε ##μένη
[CLS] τα Σ ##αν ##α ##ά είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Π ##α ##τ ##ζ ##ι	Γ ##κό ##ας
[CLS] τα Σ ##αν ##α ##ά είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χώρας	Μ ##π ##ρου ##ν ##έ ##ι
[CLS] τα Σ ##αν ##α ##ά είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Σ ##α ##ϊ ##έν	Ο ##υ ##α ##ϊ ##ό ##μ ##ιν ##γκ
[CLS] το Π ##α ##μ ##π ##λό ##να είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Ν ##α ##β ##ά ##ρ ##ρας
[CLS] το Π ##α ##μ ##π ##λό ##να είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Γ ##κα ##μ ##π ##όν
[CLS] το Π ##α ##μ ##π ##λό ##να είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Κ ##ο ##σ ##σ ##υ ##φο ##πε ##δίου
[CLS] το Π ##α ##μ ##π ##λό ##να είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Ν ##ου ##ού ##κ	Γ ##ροι ##λαν ##δίας
[CLS] το Κ ##ε ##μ ##πο ##ύ Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Κ ##ε ##μ ##πο ##ύ
[CLS] το Κ ##ε ##μ ##πο ##ύ Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	ν ##ήμου	Β ##ασίλειο τη ##γ ##γ ##λίας
[CLS] το Κ ##ε ##μ ##πο ##ύ Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	χώρας	Γ ##ιου ##γκ ##ο ##σ ##λα ##βίας
[CLS] το Κ ##ε ##μ ##πο ##ύ Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Χ ##ά ##ρτ ##φο ##ρντ	Κ ##ον ##έ ##κ ##τι ##κα ##τ
[CLS] το Λ ##ί ##μα είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Λ ##ί ##μα	Π ##ερ ##ού
[CLS] το Λ ##ί ##μα είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Γ ##ου ##ιν ##έας
[CLS] το Λ ##ί ##μα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Λ ##ος Τ ##έ ##κα	Μ ##ι ##ρά ##ντας
[CLS] το Λ ##ί ##μα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Τ ##ζ ##ούν ##ο	Α ##λά ##σ ##κας
[CLS] το Μ ##πε ##λ ##μο ##π ##άν είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##πε ##λ ##π ##άν	Μ ##πε ##λ ##ί ##ζε ##ς
[CLS] το Μ ##πε ##λ ##μο ##π ##άν είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Κ ##α ##λι ##φ ##ό ##ρ ##νια ##ς
[CLS] το Μ ##πε ##λ ##μο ##π ##άν είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Σ ##ί ##τι	Β ##ασίλειο τη ##γ ##γ ##λίας
[CLS] το Μ ##πε ##λ ##μο ##π ##άν είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Κ ##ι ##γκ ##άλ ##ι	Ρ ##ου ##άντα ##ς
[CLS] οι Β ##ρ ##υ ##ξ ##έ ##λ ##λες είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	χώρας	Β ##ελ ##γίου
[CLS] οι Β ##ρ ##υ ##ξ ##έ ##λ ##λες είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Θ ##ί ##μ ##φου	Μ ##που ##τά ##ν
[CLS] οι Β ##ρ ##υ ##ξ ##έ ##λ ##λες είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Κ ##α ##μ ##ύ ##λ	Κ ##α ##μ ##πο ##ύ ##λ
[CLS] οι Β ##ρ ##υ ##ξ ##έ ##λ ##λες είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Ν ##α ##ύ ##π ##λίου	Ελλάδας
[CLS] το Χ ##ί ##ντ ##σε είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Χ ##ί ##ντ ##σε	Κ ##εν ##τ ##ρικού
[CLS] το Χ ##ί ##ντ ##σε είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Ά ##λ ##μ ##πας
[CLS] το Χ ##ί ##ντ ##σε είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##π ##ό ##ι ##σι	Α ##ϊ ##ν ##ντ ##ά ##χου
[CLS] το Χ ##ί ##ντ ##σε είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Μ ##που ##έα	Ν ##ο ##τιο ##δ ##υτική Π ##ερ ##ι ##φέρει ##α , Κ ##α ##με ##ρούν
[CLS] το Ν ##ά ##σ ##β ##ιλ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ν ##ά ##σ ##β ##ιλ	Τ ##εν ##ε ##σιού
[CLS] το Ν ##ά ##σ ##β ##ιλ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Α ##ρ ##λό ##ν	Λ ##ου ##ξε ##μ ##βο ##ύ ##ρ ##γου
[CLS] το Ν ##ά ##σ ##β ##ιλ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Σ ##άλ ##τ ##σ ##μ ##που ##ρ ##γκ
[CLS] το Ν ##ά ##σ ##β ##ιλ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Π ##α ##πο ##ύ ##ας
[CLS] το Ώ ##στ ##ιν είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ώ ##στ ##ιν	Τ ##έ ##ξ ##ας
[CLS] το Ώ ##στ ##ιν είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Σ ##α Π ##π ##λ	Μ ##ινε ##σό ##τας
[CLS] το Ώ ##στ ##ιν είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##ου ##σ ##κά ##τ	Ο ##μά ##ν
[CLS] το Ώ ##στ ##ιν είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Π ##ερ ##ι ##φέρει ##α Αν ##α ##το ##λής , Κ ##α ##με ##ρούν
[CLS] το Μ ##πα ##φου ##σ ##ά ##μ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Μ ##πα ##σ ##ά ##μ	Δ ##υτική Π ##ερ ##ι ##φέρει ##α , Κ ##α ##με ##ρούν
[CLS] το Μ ##πα ##φου ##σ ##ά ##μ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Τα ##λα ##χ ##ά ##σι	Φ ##λό ##ρι ##ντας
[CLS] το Μ ##πα ##φου ##σ ##ά ##μ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Τ ##ι ##φ ##λ ##ίδα	Γ ##ε ##ω ##ρ ##γίας
[CLS] το Μ ##πα ##φου ##σ ##ά ##μ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Β ##ερ ##γ ##ίνα	Μ ##α ##κε ##δο ##νι ##κο β ##ασίλειο ##υ
[CLS] οι Β ##ρ ##υ ##ξ ##έ ##λ ##λες είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	χώρας	Φ ##λά ##ν ##δρα ##ς
[CLS] οι Β ##ρ ##υ ##ξ ##έ ##λ ##λες είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Ζ ##ό ##μ ##πα	Μ ##α ##λά ##ου
[CLS] οι Β ##ρ ##υ ##ξ ##έ ##λ ##λες είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Μ ##π ##έν ##τιο ##υ	Γ ##ιο ##ύν ##ι ##τι
[CLS] οι Β ##ρ ##υ ##ξ ##έ ##λ ##λες είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Χ ##ε ##β ##ρών ##α	Β ##ασίλειο τού ##δας
[CLS] το Λ ##ιλ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Λ ##ιλ	Ν ##ο ##ρ
[CLS] το Λ ##ιλ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Το ##π ##ίκα	Κ ##άν ##σα ##ς
[CLS] το Λ ##ιλ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Ρ ##ού ##μ ##πε ##κ	Λ ##έ ##ι ##κο ##υ
[CLS] το Λ ##ιλ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Μ ##πο ##σ ##ά ##σου	Μ ##πα ##ριο ##ύ
[CLS] το Σ ##αν ##τι ##ά ##γο ντε Κ ##ο ##μ ##πο ##στ ##έλα είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	σ ##αν ##τι ##ά ##γου	Γ ##α ##λι ##κία ##ς
