[CLS] το Π ##ύ ##ργος του Ά ##ι ##φ ##ελ βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ά ##ι ##φ ##λ	Παρίσι
[CLS] το Π ##ό ##λε ##μος του Κ ##ό ##λ ##που βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##ό ##λ ##που	Ι ##ρά ##κ
[CLS] το Π ##ό ##λε ##μος του Κ ##ό ##λ ##που βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Β ##ελ ##ι ##γ ##ρά ##δ ##ι
[CLS] το Π ##ό ##λε ##μος του Κ ##ό ##λ ##που βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Το ##ρό ##ντ ##ο	Το ##ρό ##ντ ##ο
[CLS] το Π ##ό ##λε ##μος του Κ ##ό ##λ ##που βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Αθήνα
[CLS] το Γ ##ή ##πε ##δο Το ##ύ ##μ ##πας βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Το ##ύ ##μ ##πας	Θ ##ε ##σσα ##λο ##νίκη
[CLS] το Γ ##ή ##πε ##δο Το ##ύ ##μ ##πας βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ	Κ ##α ##τα ##λο ##νία
[CLS] το Γ ##ή ##πε ##δο Το ##ύ ##μ ##πας βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##ό ##λ ##που	Κ ##ου ##β ##έ ##ι ##τ
[CLS] το Γ ##ή ##πε ##δο Το ##ύ ##μ ##πας βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	χωριό	Θ ##ε ##σσα ##λο ##νίκη
[CLS] το Β΄ Στα ##υ ##ρο ##φορία βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	κέντρο	Α ##ί ##γ ##υ ##π ##το
[CLS] το Β΄ Στα ##υ ##ρο ##φορία βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Γ ##α ##λα ##τ ##σίου	Αθήνα
[CLS] το Β΄ Στα ##υ ##ρο ##φορία βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Μ ##π ##άρι
[CLS] το Β΄ Στα ##υ ##ρο ##φορία βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Β ##α ##λ ##κά ##νια
[CLS] το Β ##ί ##ρτ ##ους Μ ##πο ##λό ##νια βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Β ##ο	Μ ##πο ##λό ##νια
[CLS] το Β ##ί ##ρτ ##ους Μ ##πο ##λό ##νια βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Αθήνα
[CLS] το Β ##ί ##ρτ ##ους Μ ##πο ##λό ##νια βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Κ ##α ##υ ##κα ##σία
[CLS] το Β ##ί ##ρτ ##ους Μ ##πο ##λό ##νια βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Β ##ο ##μ ##β του	Μ ##α ##δ ##ρίτη
[CLS] το Σ ##υ ##νω ##μο ##σία της Π ##υ ##ρ ##ί ##τι ##δας βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Β ##ασίλειο Π ##γ ##γ ##λία
[CLS] το Σ ##υ ##νω ##μο ##σία της Π ##υ ##ρ ##ί ##τι ##δας βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Σ ##υ ##ν ##θήκη	Ά ##μ ##στ ##ερ ##ντα ##μ
[CLS] το Σ ##υ ##νω ##μο ##σία της Π ##υ ##ρ ##ί ##τι ##δας βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	νησί	Κ ##ων ##στα ##ντι ##νού ##πολη
[CLS] το Σ ##υ ##νω ##μο ##σία της Π ##υ ##ρ ##ί ##τι ##δας βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	νησί	Α ##λε ##ξ ##άν ##δ ##ρει ##α
[CLS] το Σ ##υ ##ν ##θήκη της Ο ##τ ##τά ##βα βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ο ##τ ##τά ##βα	Ο ##τ ##τά ##βα
[CLS] το Σ ##υ ##ν ##θήκη της Ο ##τ ##τά ##βα βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##α ##ρ ##γκ ##ό	Γ ##έν ##ο ##βα
[CLS] το Σ ##υ ##ν ##θήκη της Ο ##τ ##τά ##βα βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Κ ##ύ ##π ##ρο
[CLS] το Σ ##υ ##ν ##θήκη της Ο ##τ ##τά ##βα βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##α ##τη ##γο ##ρία	Σ ##υ ##ρία
[CLS] το Ε ##ι ##σ ##βολή και κατά ##ληψη της Γαλλίας - 1940 βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ίδιο του	Ο ##λλα ##νδία
[CLS] το Ε ##ι ##σ ##βολή και κατά ##ληψη της Γαλλίας - 1940 βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ ##ο	Ο ##υ ##τ ##ρ ##έ ##χ ##τη
[CLS] το Ε ##ι ##σ ##βολή και κατά ##ληψη της Γαλλίας - 1940 βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ρ ##ου ##άντα	Ρ ##ου ##άντα
[CLS] το Ε ##ι ##σ ##βολή και κατά ##ληψη της Γαλλίας - 1940 βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Β ##ο	Θ ##ε ##σσα ##λο ##νίκη
[CLS] το Δ ##ια ##δη ##λ ##ώσεις στην Υ ##ε ##μένη το 2011 βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	δ ##α ##δ ##λ του	Υ ##ε ##μένη
[CLS] το Δ ##ια ##δη ##λ ##ώσεις στην Υ ##ε ##μένη το 2011 βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Κ του Σ ##π ##τ	Σ ##π ##λι ##τ
[CLS] το Δ ##ια ##δη ##λ ##ώσεις στην Υ ##ε ##μένη το 2011 βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Κ ##ον ##κό ##ρντ ##ια	Μ ##όν ##τ ##ρ ##ε ##α ##λ
[CLS] το Δ ##ια ##δη ##λ ##ώσεις στην Υ ##ε ##μένη το 2011 βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Μ ##π ##ρ ##ε ##στ	Μ ##π ##ρ ##ε ##στ
[CLS] το Μ ##ά ##χη του Δ ##α ##ζ ##ι ##μών ##ος βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ ##α ##ζ ##ι ##ο	Μ ##ι ##κρά Α ##σία
[CLS] το Μ ##ά ##χη του Δ ##α ##ζ ##ι ##μών ##ος βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Ρ του	Φ ##ιν ##λαν ##δία
[CLS] το Μ ##ά ##χη του Δ ##α ##ζ ##ι ##μών ##ος βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	π ##α ##α ##υ του	Α ##υ ##στ ##ρία
[CLS] το Μ ##ά ##χη του Δ ##α ##ζ ##ι ##μών ##ος βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	STAR ##T I	Μ ##ό ##σ ##χα
[CLS] το σελ ##η ##νια ##κός κ ##ρα ##τήρα ##ς βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	δ μέρος	Σε ##λή ##νη
[CLS] το σελ ##η ##νια ##κός κ ##ρα ##τήρα ##ς βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Ο ##υ ##κ ##ρα ##νία
[CLS] το σελ ##η ##νια ##κός κ ##ρα ##τήρα ##ς βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Β ##ο	Γαλλία
[CLS] το σελ ##η ##νια ##κός κ ##ρα ##τήρα ##ς βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Χ ##ει ##με ##ρι ##νο	Το ##ρ ##ίνο
[CLS] το Πανεπιστήμιο του Ά ##στον βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Πανεπιστήμιο του Ά ##στον	Μ ##π ##έρ ##μ ##ι ##γ ##χα ##μ
[CLS] το Πανεπιστήμιο του Ά ##στον βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Λ ##ε ##υ ##κο ##ρ ##ωσία
[CLS] το Πανεπιστήμιο του Ά ##στον βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Παρίσι	Α ##τ ##λά ##ντα
[CLS] το Πανεπιστήμιο του Ά ##στον βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ	Θ ##ε ##σσα ##λο ##νίκη
[CLS] το Κ ##α ##τα ##στα ##τικό της Ρ ##ώμη ##ς για το Δ ##ι ##ε ##θ ##νές Π ##οι ##νικό Δ ##ι ##κα ##στήριο βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	νησί	Ρ ##ώμη
[CLS] το Κ ##α ##τα ##στα ##τικό της Ρ ##ώμη ##ς για το Δ ##ι ##ε ##θ ##νές Π ##οι ##νικό Δ ##ι ##κα ##στήριο βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Κ ##ι ##ό ##το	Κ ##ι ##ό ##το
[CLS] το Κ ##α ##τα ##στα ##τικό της Ρ ##ώμη ##ς για το Δ ##ι ##ε ##θ ##νές Π ##οι ##νικό Δ ##ι ##κα ##στήριο βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Σ ##υ ##α ##θήκη	Παρίσι
[CLS] το Κ ##α ##τα ##στα ##τικό της Ρ ##ώμη ##ς για το Δ ##ι ##ε ##θ ##νές Π ##οι ##νικό Δ ##ι ##κα ##στήριο βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	νησί	Ο ##υ ##ζ ##μ ##πε ##κι ##στά ##ν
[CLS] το Γ ##α ##λ ##λική Ε ##πα ##νά ##σταση βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Παρίσι	Γαλλία
[CLS] το Γ ##α ##λ ##λική Ε ##πα ##νά ##σταση βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##ό ##σ ##χα ##χα	Μ ##ό ##σ ##χα
[CLS] το Γ ##α ##λ ##λική Ε ##πα ##νά ##σταση βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Γ ##ιου ##γκ ##ο ##σ ##λα ##βία
[CLS] το Γ ##α ##λ ##λική Ε ##πα ##νά ##σταση βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Φ ##ιν ##λαν ##δία
[CLS] το Κ ##ρ ##ί ##ση των π ##υ ##ρα ##ύ ##λων της Κ ##ού ##βα ##ς βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Β ##ο	Κ ##ού ##βα
[CLS] το Κ ##ρ ##ί ##ση των π ##υ ##ρα ##ύ ##λων της Κ ##ού ##βα ##ς βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	χωριό	Α ##σία
[CLS] το Κ ##ρ ##ί ##ση των π ##υ ##ρα ##ύ ##λων της Κ ##ού ##βα ##ς βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	χωριό	Ζ ##ά ##γκ ##ρ ##ε ##μ ##π
[CLS] το Κ ##ρ ##ί ##ση των π ##υ ##ρα ##ύ ##λων της Κ ##ού ##βα ##ς βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	κέντρο	Λ ##ι ##θ ##ου ##αν ##ία
[CLS] το Π ##ό ##λε ##μος του Ε ##ι ##ρη ##νικού βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Ω ##κε ##αν ##ία
[CLS] το Π ##ό ##λε ##μος του Ε ##ι ##ρη ##νικού βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Mega ##sport	Μ ##ό ##σ ##χα
[CLS] το Π ##ό ##λε ##μος του Ε ##ι ##ρη ##νικού βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	χωριό	Αθήνα
[CLS] το Π ##ό ##λε ##μος του Ε ##ι ##ρη ##νικού βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	π ##α ##α ##υ του	Κ ##αν ##α ##δ ##ά
[CLS] το Π ##ό ##λε ##μος του Κ ##ό ##λ ##που βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##ό ##λ ##που	Ι ##σ ##ρα ##ήλ
[CLS] το Π ##ό ##λε ##μος του Κ ##ό ##λ ##που βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##α ##ρ ##μα ##ρά	Κ ##ων ##στα ##ντι ##νού ##πολη
[CLS] το Π ##ό ##λε ##μος του Κ ##ό ##λ ##που βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Μ ##αν ##χ ##ά ##ταν
[CLS] το Π ##ό ##λε ##μος του Κ ##ό ##λ ##που βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Θ ##ερ ##ο	Π ##ε ##κ ##ίνο
[CLS] το Σ ##τά ##ση του Ν ##ίκα βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ν μέρος	Κ ##ων ##στα ##ντι ##νού ##πολη
[CLS] το Σ ##τά ##ση του Ν ##ίκα βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Ο ##λ ##υ ##μ ##π ##ία
[CLS] το Σ ##τά ##ση του Ν ##ίκα βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##ον ##ά ##χο	Μ ##όν ##α ##χο
[CLS] το Σ ##τά ##ση του Ν ##ίκα βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Β ##ου ##κο ##υ ##ρ ##έ ##στ ##ι
[CLS] το Π ##ό ##λε ##μος στο Ι ##ρά ##κ βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ι ##ρά ##κ	Ι ##ρά ##κ
[CLS] το Π ##ό ##λε ##μος στο Ι ##ρά ##κ βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ	Ελλάδα
[CLS] το Π ##ό ##λε ##μος στο Ι ##ρά ##κ βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	κέντρο	Β ##α ##ρ ##σο ##βία
[CLS] το Π ##ό ##λε ##μος στο Ι ##ρά ##κ βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Χ ##ά ##ρ ##β ##ρντ	Κ ##έ ##ι ##μ ##π ##ρι ##τ ##ζ
[CLS] το Π ##ό ##λε ##μος του Ν ##α ##γκ ##ό ##ρ ##νο - Κ ##α ##ρα ##μ ##π ##ά ##χ βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	π ##ό του του	Α ##ζε ##ρ ##μ ##πα ##ϊ ##τ ##ζ ##άν
[CLS] το Π ##ό ##λε ##μος του Ν ##α ##γκ ##ό ##ρ ##νο - Κ ##α ##ρα ##μ ##π ##ά ##χ βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	π ##α ##α ##υ του	Ε ##λ ##β ##ε ##τία
[CLS] το Π ##ό ##λε ##μος του Ν ##α ##γκ ##ό ##ρ ##νο - Κ ##α ##ρα ##μ ##π ##ά ##χ βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	πόλη	Ά ##γκ ##υ ##ρα
[CLS] το Π ##ό ##λε ##μος του Ν ##α ##γκ ##ό ##ρ ##νο - Κ ##α ##ρα ##μ ##π ##ά ##χ βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	χωριό	Σ ##ό ##φ ##ια
[CLS] το Δ ##ια ##γων ##ισμό ##ς Τ ##ρα ##γου ##διού Eurovision 1964 βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Παρίσι	Κ ##ο ##πε ##γ ##χ ##ά ##γη
[CLS] το Δ ##ια ##γων ##ισμό ##ς Τ ##ρα ##γου ##διού Eurovision 1964 βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##πο ##χ ##τά ##ζ	Μ ##ον ##τ ##γ ##γό ##με ##ρι
[CLS] το Δ ##ια ##γων ##ισμό ##ς Τ ##ρα ##γου ##διού Eurovision 1964 βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ίδιο του	Λ ##ου ##ξε ##μ ##βο ##ύ ##ρ ##γο
[CLS] το Δ ##ια ##γων ##ισμό ##ς Τ ##ρα ##γου ##διού Eurovision 1964 βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Mr . του	Λ ##ον ##δ ##ίνο
[CLS] το Π ##ρ ##ώ ##ι ##μη φ ##λα ##μαν ##δική ζ ##ω ##γραφική βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Παρίσι	Γ ##άν ##δη
[CLS] το Π ##ρ ##ώ ##ι ##μη φ ##λα ##μαν ##δική ζ ##ω ##γραφική βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ	Το ##υ ##ρκ ##ία
[CLS] το Π ##ρ ##ώ ##ι ##μη φ ##λα ##μαν ##δική ζ ##ω ##γραφική βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Ευρώπη
[CLS] το Π ##ρ ##ώ ##ι ##μη φ ##λα ##μαν ##δική ζ ##ω ##γραφική βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Δ . δ	Κ ##ων ##στα ##ντι ##νού ##πολη
[CLS] το Ε ##λ ##λη ##νο ##ϊ ##τα ##λικό ##ς πόλεμο ##ς του 1940 - 1941 βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	χωριό	Α ##λ ##βαν ##ία
[CLS] το Ε ##λ ##λη ##νο ##ϊ ##τα ##λικό ##ς πόλεμο ##ς του 1940 - 1941 βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Δ	Δ ##ια ##δ ##ί ##κ ##τ ##υ ##ο
[CLS] το Ε ##λ ##λη ##νο ##ϊ ##τα ##λικό ##ς πόλεμο ##ς του 1940 - 1941 βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Κ ##ου ##σείο	Κ ##ού ##βα
[CLS] το Ε ##λ ##λη ##νο ##ϊ ##τα ##λικό ##ς πόλεμο ##ς του 1940 - 1941 βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Δ ##α ##σείο	Τ ##έ ##ξ ##α
[CLS] το Ρ ##ου ##μαν ##ική εκ ##στ ##ρα ##τεία βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	κέντρο	Ρ ##ου ##μαν ##ία
[CLS] το Ρ ##ου ##μαν ##ική εκ ##στ ##ρα ##τεία βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Β ##ο	Θ ##ε ##σσα ##λο ##νίκη
[CLS] το Ρ ##ου ##μαν ##ική εκ ##στ ##ρα ##τεία βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	χωριό	Ρ ##ωσία
[CLS] το Ρ ##ου ##μαν ##ική εκ ##στ ##ρα ##τεία βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Ν ##ο ##ρ ##μαν ##δία	Ν ##ο ##ρ ##μαν ##δία
[CLS] το Δ ##ι ##ε ##θ ##νές Φ ##ε ##στ ##ι ##β ##άλ Κ ##ιν ##η ##μα ##το ##γ ##ρά ##φου Κ ##αν ##νών βρίσκεται στις [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	κ ##α Κ ##αν ##νών	Κ ##άν ##νες
[CLS] το Δ ##ι ##ε ##θ ##νές Φ ##ε ##στ ##ι ##β ##άλ Κ ##ιν ##η ##μα ##το ##γ ##ρά ##φου Κ ##αν ##νών βρίσκεται στις [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	κέντρο	Ε ##σ ##θ ##ον ##ία
[CLS] το Δ ##ι ##ε ##θ ##νές Φ ##ε ##στ ##ι ##β ##άλ Κ ##ιν ##η ##μα ##το ##γ ##ρά ##φου Κ ##αν ##νών βρίσκεται στις [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Δ	Ι ##ρά ##ν
[CLS] το Δ ##ι ##ε ##θ ##νές Φ ##ε ##στ ##ι ##β ##άλ Κ ##ιν ##η ##μα ##το ##γ ##ρά ##φου Κ ##αν ##νών βρίσκεται στις [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	χωριό	Α ##φ ##ρική
[CLS] το Σ ##υ ##ν ##θήκη της Λ ##ι ##σα ##β ##όν ##ας βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Λ ##ι ##σα ##β ##όν	Λ ##ι ##σα ##β ##όν ##α
