Q2	àgbáyé
Q16551	Fermont
Q16552	San Diego
Q16553	San Jose, Kalifọ́rníà
Q16554	Denver
Q16555	Houston
Q16556	Phoenix
Q16557	Dallas
Q16558	Fort Worth
Q16559	Austin
Q16563	Memphis
Q16565	Charlotte, North Carolina
Q16567	Columbus
Q16568	Jacksonville
Q16611	Àsìá ilẹ̀ Rọ́síà
Q16635	Guam
Q16641	Sàmóà Amẹ́ríkà
Q16644	Àwọn Erékùṣù Apáàríwá Mariana
Q16645	Àwọn Erékùṣù Kékèké Orílẹ̀-èdè Amẹ́ríkà
Q16739	Long Beach
Q16867	Edgar Allan Poe
Q16917	ilé ìwòsàn
Q16957	Ìlàoòrùn Jẹ́mánì
Q17042	Oakland
Q17054	Mártíníkì
Q17063	Mayotte
Q17147	ẹyin
Q17151	Tessalonika
Q17167	Rómù Olómìnira
Q17252	Tibet
Q17269	Agbègbè Aladawa Tibet
Q17515	Diego Maradona
Q17943	Arlington
Q18013	Sacramento
Q18094	Honolulu
Q18097	Korea
Q18143	Gao Xingjian
Q18419	Brooklyn
Q18575	Tucson
Q18808	Pyongyang
Q18813	Májẹ̀mú Titun
Q19008	Arthur Balfour
Q19546	Pópù
Q19557	Mẹ́tàlì álkálì
Q19605	Halojín
Q19660	Bucharest
Q19673	Al Gore
Q19689	Tirana
Q19786	Májẹ̀mú Láéláé
Q19809	Kérésìmesì
Q19821	Anígunmẹ́ta
Q19837	Steve Jobs
Q19848	Lady Gaga
Q21197	Chişinău
Q21198	Ìfitónilétí
Q21201	ìṣeọ̀rọ̀àwùjọ
Q21203	Àrúbà
Q21578	Yunifásítì Princeton
Q22048	Orissa
Q22424	Punjab
Q22714	Karl May
Q23154	Bristol
Q23197	Nashville
Q23276	Surrey
Q23333	Gough Whitlam
Q23334	Abkhazia
Q23352	George Reid
Q23397	Adágún
Q23406	Òkun Pupa
Q23427	Gúúsù Ossetia
Q23430	Ulan Bator
Q23438	Ashgabat
Q23442	Erékùṣù
Q23444	funfun
Q23471	Lordi
Q23482	Marseille
Q23498	Ọ̀rọ̀ayéijọ́un
Q23501	Tòmátò
Q23530	Dmitry Medvedev
Q23543	Selena
Q23551	Mérida
Q23556	Atlanta
Q23564	Podgorica
Q23635	Bẹ̀rmúdà
Q23661	Wellington
Q23666	Erékùṣù Brítánì Olókìkí
Q23681	Apáàríwá Kíprù
Q23800	Valletta
Q23873	Pópù Jòhánù 23k
Q24639	Vancouver
Q24826	Liverpool
Q24879	Bremen
Q24905	Ọ̀rọ̀ ìṣe
Q25223	Ààrẹ ilẹ̀ Jẹ́mánì
Q25227	Ántíllès àwọn Nẹ́dálándì
Q25228	Àngúíllà
Q25230	Guernsey
Q25231	Svalbard
Q25270	Pristina
Q25271	Ibùdó Òfurufú Akáríayé
Q25277	Hispaniola
Q25319	Aarhus
Q25322	Árktìkì
Q25330	Trenton
Q25395	Newark, New Jersey
Q25396	Bonaire
Q25444	Funchal
Q25973	Hermann Hesse
Q26087	Tromsø
Q26695	Lionel Richie
Q26927	Lakshadweep
Q26988	Àwọn Erékùṣù Cook
Q27231	Ìlàoòrùn Ásíà
Q27275	Àrin Ásíà
Q27293	Ìwọòrùn Ásíà
Q27306	Ilẹ̀ọba Prússíà
Q27381	Àríwá Áfríkà
Q27433	Àrin Áfríkà
Q27449	Apágúúsù Europe
Q27468	Apáìlàoòrùn Europe
Q27496	Apáìwọ̀òrùn Europe
Q27509	Gbọ̀ngàn Àrin Europe
Q27611	Àrin Amẹ́ríkà
Q27939	orin kíkọ
Q28218	Baton Rouge
Q28472	Irun
Q28513	Austríà–Húngárì
Q28602	Èdè Árámáìkì
Q28823	aṣo
Q29024	Esko Aho
Q29179	Francisco Franco
Q29294	Willis Tower
Q29520	Ṣáínà
Q29539	kíkisí
Q29574	Beatrix ilẹ̀ Nẹ́dálándì
Q29999	Ilẹ̀ọba àwọn Nẹ́dálándì
Q30185	Baálẹ̀
Q30340	Zhengzhou
Q30461	Ààrẹ
Q30547	Màmá Tèrésà
Q30578	Pópù Urban 2k
Q30971	Polinésíà Fránsì
Q30985	Hamilton
Q31057	Erékùṣù Norfolk
Q31063	Erékùṣù Kérésìmesì
Q31487	Kraków
Q32815	Mọ́ṣálásí
Q33549	Èdè Java
Q33760	Bertrand Russell
Q33788	Kalẹdóníà Tuntun
Q33866	Theodore Roosevelt
Q33923	Pétérù Mímọ́
Q33946	Czechoslovakia
Q33971	ewé
Q33986	Valparaíso
Q33999	òṣèré
Q34001	Roubaix
Q34006	Hollywood
Q34020	Niue
Q34054	Ambrose Akinmusire
Q34105	Hosni Mubarak
Q34261	Port-au-Prince
Q34266	Ilẹ̀ọbalúayé Rọ́ṣíà
Q34274	Ìhìnrere
Q34296	Woodrow Wilson
Q34389	Whitney Houston
Q34404	New Orleans
Q34424	Shakira
Q34433	Yunifásítì ìlú Oxford
Q34474	Aleksandr Solzhenitsyn
Q34597	James A. Garfield
Q34599	Àsìá ilẹ̀ Líbyà
Q34600	Kyoto
Q34617	Saint Pierre àti Mìkẹ́lọ̀n
Q34647	Johannesburg
Q34664	Hiroshima
Q34670	Albert Camus
Q34679	iyanrìn
Q34692	Kingston
Q34749	sáyẹ́nsì àwùjọ
Q34754	Sòmálílàndì
Q34770	èdè
Q34787	Friedrich Engels
Q34804	Albuquerque
Q34820	Santo Domingo
Q34863	Oklahoma City
Q35086	Gúúsù Georgia àti Àwọn Erékùṣù Gúúsù Sandwich
Q35178	Ìlú Kuwaiti
Q35323	Àwọn Áràbù
Q35339	World Wrestling Entertainment
Q35473	Fèrèsé
Q35493	Almaty
Q35555	Wallis àti Futuna
Q35672	Àwọn Erékùsù Pitcairn
Q35749	ilé aṣojú
Q36074	Queensland
Q36091	Minneapolis
Q36105	Charles Bronson
Q36107	Muhammad Ali
Q36168	Bridgetown
Q36268	Brigitte Bardot
Q36290	Diana Ross
Q36330	Giordano Bruno
Q36405	Aberdeen
Q36442	sáyẹ́nsì òṣèlú
Q36740	Aung San Suu Kyi
Q36823	Tokelau
Q36947	Salvador
Q37024	Sérbíà àti Montenégrò
Q37079	Tom Cruise
Q37110	Fáráò
Q37211	Sindh
Q37226	ọ̀gá akẹ́ẹ̀kọ́
Q37251	.de
Q37312	Internet Movie Database
Q37320	Cleveland
Q37362	Akrotiri àti Dhekelia
Q37407	.af
Q37463	Pierre Curie
Q37470	United Nations Security Council
Q37621	Thomas Hobbes
Q37643	Ogun Gulf Pẹ́rsíà
Q37748	Krómósómù
Q37836	Milwaukee
Q37970	Gregor Mendel
Q38484	Romano Prodi
Q38695	oúnjẹ sísè
Q38872	Prussia
Q39178	Port of Spain
Q39193	Bohemia
Q39338	ọsàn
Q39524	Gamal Abdel Nasser
Q39760	Gaza Strip
Q39803	Mario Vargas Llosa
Q40178	Òjò oníkíkan
Q40213	William Butler Yeats
Q40285	Guinea Titun
Q40362	Orílẹ̀-èdè Olómìnira Áràbù Sàhráwì
Q40430	Bahia
Q40495	Pervez Musharraf
Q40572	Heath Ledger
Q40722	Dilma Rousseff
Q40754	Ìyọkúrò
Q40904	Werner Heisenberg
Q40909	Virginia Woolf
Q40970	Ìgbìmọ̀ Òlímpíkì Akáríayé
Q41057	Topeka
Q41064	Ìwé Psalmu
Q41087	Raleigh
Q41180	La Marseillaise
Q41187	Sony
Q41211	San Juan, Púẹ́rtò Ríkò
Q41269	Henri Becquerel
Q41284	John Dalton
Q41304	Weimar Olómìnira
Q41415	Ọbẹ̀
Q41490	Ìwé Lefitiku
Q41502	Henryk Sienkiewicz
Q41585	David Hilbert
Q41673	Àsìá ilẹ̀ Índíà
Q41688	Hendrik Lorentz
Q41699	Castries
Q41749	Joseph Goebbels
Q41819	Ìlú Kansas
Q41921	Rosa Parks
Q41984	Àgbájọ Akáríayé Okun Átọ́mù
Q42013	Anwar El Sadat
Q42240	ìwádìí
Q42247	Sully Prudhomme
Q42323	Pópù Pius 11k
Q42332	Portable Document Format
Q42443	Anatole France
Q42614	Ìwé Deuteronomi
Q42620	Aláṣẹ Ìjọba Orílẹ̀-èdè Palẹstínì
Q42857	wòlíì
Q42876	Àsìá ilẹ̀ Itálíà
Q42887	Pópù Clement 1k
Q42944	CERN
Q42962	Epo
Q42985	Ivan Pavlov
Q43010	Quartz
Q43015	Ìnáwó
Q43027	Edwin Hubble
Q43033	Desmond Tutu
Q43099	Ìwé Numeri
Q43175	Àsìá ilẹ̀ Japan
Q43183	Máàdámidófò
Q43192	Àsìá ilẹ̀ Fránsì
Q43199	Omaha
Q43287	Ilẹ̀ Ọbalúayé Jẹ́mánì
Q43301	Fresno
Q43303	Malcolm X
Q43319	Mato Grosso do Sul
Q43347	Rumi
Q43433	Chandigarh
Q43444	Gustave Flaubert
Q43509	Guayaquil
Q43595	Kútọnu
Q43668	Louisville
Q43720	Pópù Pius 9k
Q43727	Pópù Leo 12k
Q43734	Pópù Gregory 16k
Q43739	Pópù Pius 10k
Q43922	Pópù Leo 13k
Q43944	Hamid Karzai
Q44424	Ìsopọ̀ kẹ́míkà
Q44626	Ìgbà Ẹlẹ́fun
Q44819	Suharto
Q44989	Tulsa
Q45789	Satyendra Nath Bose
Q45805	Ìgbà Jùrásíkì
Q46090	Pópù Sylvester 3k
Q46107	Dadra àti Nagar Haveli
Q46120	William Alfred Fowler
Q46585	Àsìá ilẹ̀ Nẹ́dálándì
Q46602	Ivan Bunin
Q46857	àlàkalẹ̀ sáyẹ́nsì
Q47045	Saint-Denis
Q47149	Pópù Sylvester 1k
Q47158	Ìgbà Tríásíkì
Q47162	Romain Rolland
Q47243	Elfriede Jelinek
Q47280	ẹ̀sìn ti ábráhámù
Q47488	Ilé-Ẹjọ́ Ìwàọ̀daràn Káríayé
Q47602	Massimo D'Alema
Q47680	Ìwé Joṣua
Q47716	Charleston, South Carolina
Q47740	Mùsùlùmí
Q47891	Àsìá ilẹ̀ Fínlándì
Q47904	Mario Monti
Q48160	Àsìá ilẹ̀ Jẹ́mánì
Q48256	Dnipro
Q48278	Medellín
Q48335	Erékùṣù Newfoundland
Q48409	Àsìá ilẹ̀ Albáníà
Q48461	New Horizons
Q48604	Mir
Q48821	Gbọ̀ngàn Òfurufú Kennedy
Q49074	Kurt Vonnegut
Q49142	Brookline, Massachusetts
Q49143	Quincy, Massachusetts
Q49237	Pópù Leo 10k
Q49255	Tampa, Florida
Q49258	Colorado Springs
Q49266	Wichita
Q49325	Albert Schweitzer
Q49765	Louis 17k ilẹ̀ Fránsì
Q50005	Giulio Andreotti
Q50020	John Stuart Mill
Q51666	Jésù ti Násárétì
Q51670	Orin Sólómọ́nì
Q51675	Ìwé Málákì
Q52139	ẹ̀kọ́ ìmọ̀ ojú-ọjọ́
Q52922	Carl Bildt
Q53268	Toyota
Q53294	Arvid Lindman
Q53448	Henry 3k ilẹ̀ Fránsì
Q53620	Hjalmar Branting
Q53707	Tage Erlander
Q53713	Olof Palme
Q54129	Àgbájọ Òṣìṣẹ́ Káríayé
Q55264	Charles Laughton
Q56011	Anna Magnani
Q56022	Kánsílọ̀ ilẹ̀ Jẹ́mánì
Q57063	Philipp Lenard
Q57066	James Franck
Q57068	Wilhelm Wien
Q57075	Fritz Haber
Q57089	Paul Ehrlich
Q57106	Heinrich Schliemann
Q57128	Albrecht Kossel
Q57261	Georgi Parvanov
Q57306	Jalal Talabani
Q57336	Ali Khamenei
Q57360	Hamad bin Khalifa Al Thani
Q57449	Ian Khama
Q57613	Ahmed Ouyahia
Q58559	Pópù Leo 9k
Q58573	Pópù Clement 2k
Q58586	Edmund Husserl
Q60149	Àsìá ilẹ̀ Dẹ́nmárkì
Q60698	Ludwig Klages
Q60700	Robert Koldewey
Q62823	Barranquilla
Q62897	John Cockcroft
Q63413	Ulrich Wilcken
Q65955	Ìgbà Dẹfoníà
Q65989	Wolfgang Pauli
Q66107	Henry Kissinger
Q66710	Daman àti Diu
Q66743	Puducherry
Q70581	Philipp Scheidemann
Q70802	Ìgbà Òṣèlú Kẹta Fránsì
Q71074	Hasso Plattner
Q71243	Clark Gable
Q72984	Bing Crosby
Q76048	Congo Free State
Q76127	Sukarno
Q76167	Abdurrahman Wahid
Q76425	Emil Adolf von Behring
Q76474	Walther Bothe
Q76606	Carl Bosch
Q76766	Gerd Binnig
Q76904	Kẹrosínì
Q77081	Bert Sakmann
Q77183	Wilhelm Marx
Q78491	Stefan Zweig
Q78496	Konrad Lorenz
Q80008	Hope
Q80110	Àsìá ilẹ̀ Kánádà
Q80115	Ìwé Danieli
Q80516	Pópù Julius 2k
Q80938	John Travolta
Q80956	Svante Arrhenius
Q81054	Ìjì
Q81240	Ìwé àwọn Onídàjọ́
Q81286	Àsìá ilẹ̀ Swídìn
Q81414	TCP/IP
Q81477	Àsìá ilẹ̀ Lituéníà
Q81571	Pascal
Q81676	Àsìá ilẹ̀ Austrálíà
Q81725	KwaZulu-Natal
Q81952	Àsìá ilẹ̀ Túrkì
Q82151	Food and Agriculture Organization of the United Nations
Q82205	Àsìá ilẹ̀ Írẹ́lándì
Q82339	Clovis 1k
Q82955	olóṣèlú
Q82999	Melanie Klein
Q83029	Pópù Gregory 13k
Q83149	Àsìá ilẹ̀ Nọ́rwèy
Q83159	Pópù Clement 7k
Q83286	Orílẹ̀-èdè Olómìnira Àpapọ̀ Sósíálístì ilẹ̀ Yugoslafia
Q83370	Windows 95
Q83440	orin òyìnbó
Q85918	Hans Riegel
Q86070	Eberhard Hopf
Q93157	Eugene O'Neill
Q93341	Miles Davis
Q93356	Seamus Heaney
Q101266	Pópù Innocent 10k
Q101286	Pópù Innocent 11k
Q101294	Pópù Alexander 8k
Q101430	Pópù Páúlù 4k
Q101437	Pópù Pius 2k
Q102131	Pópù Marcellus 1k
Q102139	Margrethe Keji ile Denmark
Q102392	Àsìá ilẹ̀ Skọ́tlándì
Q102804	Henri Moissan
Q102822	Jacobus Henricus van 't Hoff
Q102865	Dáríù 3k Pẹ́rsíà
Q102987	Àsìá ilẹ̀ Hàítì
Q103423	Pópù Marinus 2k
Q103431	Pópù Anastasius 3k
Q103955	Gustav Stresemann
Q104358	Billie Holiday
Q104607	Andrew Huxley
Q104668	Vitaly Ginzburg
Q106039	Ẹlẹ́sìn Krístì
Q106624	Ahmed Zewail
Q106693	Ẹgbẹ́ kárbọ̀nù
Q107177	55 Pandora
Q107422	Herbert A. Hauptman
Q107450	Frank Wilczek
Q108316	Pópù Alexander 6k
Q108510	James Garner
Q109053	Art Tatum
Q110916	Hideki Shirakawa
Q110935	William Lipscomb
Q112307	Lena Horne
Q117840	Pópù Nicholas 2k
Q118081	Pópù Celestine 5k
Q121688	Àsìá ilẹ̀ Spéìn
Q122366	Daniel Bernoulli
Q122392	Jacob Bernoulli
Q122462	Àsìá ilẹ̀ Mẹ́ksíkò
Q123014	Alfred Werner
Q123022	Felix Bloch
Q123029	Heinrich Rohrer
Q123463	Clara Haskil
Q123759	Àgbájọ ilẹ̀ àwọn Orílẹ̀-èdè Amẹ́ríkà
Q124020	Àsìá ilẹ̀ Swítsàlandì
Q124754	Pópù Pius 7k
Q124831	Pópù Gregory 9k
Q125121	Aretha Franklin
Q125631	Pópù Urban 1k
Q127167	Western Cape
Q127254	Pópù Alexander 7k
Q127920	Ìsopọ̀ àjọfagbáradìmú
Q127974	Àsìá ilẹ̀ Ukréìn
Q128019	Pópù Pius 6k
Q128076	Pópù Innocent 3k
Q128297	Maria Callas
Q128323	Trínídád
Q128347	Àsìá ilẹ̀ Pakístàn
Q128563	Brian Mulroney
Q128614	John Diefenbaker
Q128633	William Lyon Mackenzie King
Q128645	Arthur Meighen
Q128655	Robert Borden
Q128664	Wilfrid Laurier
Q128686	John Sparrow David Thompson
Q128812	Àsìá ilẹ̀ Pọ́rtúgàl
Q128902	William Pitt the Younger
Q128967	Edward Heath
Q129003	Àwọn Agbègbè Apágúúsù àti Antárktìkì Fránsì
Q129132	Àsìá ilẹ̀ Gríìsì
Q129967	Pópù Clement 11k
Q130601	Romulus Augustulus
Q130774	Àsìá ilẹ̀ Argẹntínà
Q130873	Menachem Begin
Q130975	Robert Andrews Millikan
Q131066	Ìwé àwọn Ọba
Q131068	Ìwé Ẹsteri
Q131072	Ìwé àwọn Oniwasu
Q131101	Episteli Jòhánù Kìnní
Q131162	Pópù Dionysius
Q131204	Àsìá ilẹ̀ Fiẹtnám
Q131324	Janet Jackson
Q131337	Orílẹ̀-èdè Olómìnira Sófìẹ̀tì Sósíálístì Azerbaijan
Q131458	Ìwé Isaiah
Q131549	Claude Simon
Q131587	Pópù Clement 14k
Q131590	Ìwé Jeremiah
Q131635	Ìwé Ẹsra
Q131640	Ìwé Nehemiah
Q131643	Ìwé Joeli
Q131645	Leu Románíà
Q131691	Arthur Wellesley, 1st Duke of Wellington
Q131713	Het Wilhelmus
Q131814	Tina Turner
Q131964	Ilẹ̀ọbalúayé Austríà
Q132410	Mpumalanga
Q132551	United Nations High Commissioner for Refugees
Q132633	Àsìá ilẹ̀ Bẹ̀lárùs
Q132679	Willemstad, Ántíllès àwọn Nẹ́dálándì
Q132692	Pópù Gregory 15k
Q132708	Pópù Innocent 12k
Q132711	Pópù Páúlù 5k
Q132805	Thomas Hardy
Q132830	Douala
Q132845	Pópù Adrian 4k
Q132959	Áfríkà Ìsàlẹ̀-Sàhárà
Q133001	Pópù Páúlù 3k
Q133015	Àsìá ilẹ̀ Kroatíà
Q133046	Pópù Urban 5k
Q133083	Gauteng
Q133100	Pópù Innocent 13k
Q133108	Pópù Clement 12k
Q133123	Patras
Q133215	Kàsínò
Q133261	Du gamla, Du fria
Q133267	Lev Landau
Q133327	àyè ní àkókò
Q133356	Orílẹ̀-èdè Olómìnira Sófìẹ̀tì Sósíálístì ti Ukraine
Q133386	Jan Peter Balkenende
Q134556	orin àgbéjáde
Q134588	Pópù Nicholas 5k
Q134627	Àsìá ilẹ̀ àwọn Filipínì
Q134646	Pópù Boniface 8k
Q134737	gbajúmò
Q134874	Àsìá ilẹ̀ Bòlífíà
Q135171	Elias James Corey
Q137042	Nat King Cole
Q137106	Howard Florey
Q138518	Princeton, New Jersey
Q139670	Orílẹ̀-èdè Tìjọbaolóṣèlú Olómìnira ilẹ̀ Armẹ́níà
Q140686	aláàga
Q148442	idán
Q149315	Pópù Silverius
Q149813	Ìtàn ilẹ̀ Áfríkà
Q151722	Nicolas Steno
Q151908	Pópù Pelagius 2k
Q151983	Pierre Laval
Q152187	August Krogh
Q152378	Ismail Haniyeh
Q152393	Alfred Adler
Q152437	Alva Myrdal
Q153194	Edward Victor Appleton
Q153331	Singida
Q153509	Makarios III
Q153761	Elinor Ostrom
Q154691	Carlos Fuentes
Q154958	Nickelodeon
Q155375	Archibald Hill
Q155790	Eugene Wigner
Q155794	Hans Bethe
Q155956	Pópù Clement 10k
Q155961	Pópù Clement 9k
Q156268	Pierre Bourdieu
Q156349	Sarvepalli Radhakrishnan
Q156511	Pierre Mauroy
Q157259	John Russell, 1st Earl Russell
Q158500	Cevdet Sunay
Q158852	adarí akọrin
Q159477	Ajman
Q159538	Àsìá ilẹ̀ Sòmálí
Q159746	Àsìá ilẹ̀ Mónakò
Q159810	ọrọ̀ ajé
Q159979	Ìbejì
Q160030	Pópù Pius 3k
Q160182	Pópù Honorius 3k
Q160349	Charles 6k ilẹ̀ Fránsì
Q160369	Pópù Callixtus 3k
Q160453	Simple Mail Transfer Protocol
Q160514	Pópù Eusebius
Q160609	Pópù Innocent 4k
Q160614	Skanderbeg
Q160907	Pópù Boniface 1k
Q161351	Pópù Innocent 8k
Q161389	Vajiravudh
Q161443	Pópù Siricius
Q161841	Edward Gibbon
Q161885	Ìlú-ọba Brítánì Olókìkí
Q161953	Ìwé Kronika
Q162005	Paul Allen
Q162080	Pópù Felix 4k
Q163008	Àsìá ilẹ̀ Kúbà
Q163393	Post Office Protocol 3
Q163740	àgbájọ aláìjẹ́-tìèrè
Q164676	Makoto Hasebe
Q165561	Pópù Boniface 9k
Q165783	Agbègbè Antárktìkì Brítánì
Q165784	ìwọ̀ oòrùn
Q166635	Stanley Baldwin
Q166646	Ramsay MacDonald
Q166936	Internet Message Access Protocol
Q167782	Charles 5k ilẹ̀ Fránsì
Q168935	Àsìá ilẹ̀ Malaysia
Q169288	Pópù Innocent 6k
Q169577	Ernest Lawrence
Q169612	Pópù Martin 5k
Q169911	Pópù Julius 3k
Q169963	Jason Statham
Q170024	Ras al Khaimah
Q170297	Pópù Boniface 3k
Q170299	Pópù Boniface 5k
Q170303	Pópù Pelagius 1k
Q170385	Pópù Lucius 2k
Q170386	Pópù Innocent 2k
Q170395	Pópù Clement 8k
Q170468	Orílẹ̀-èdè Olómìnira Aṣọ̀kan Árábù
Q170499	Pópù Formosus
Q170654	Pópù Callixtus 2k
Q170790	Onímọ̀ ìsirò
Q170863	Pópù Clement 6k
Q170867	Àmì ọ̀pá àṣẹ ilẹ̀ Mẹ́ksíkò
Q170871	Pópù Innocent 5k
Q171001	Pópù Clement 3k
Q171195	Nagarjuna
Q171238	Pópù Celestine 4k
Q171520	Pópù Urban 3k
Q171537	Pópù Conon
Q171622	Pópù Gregory 14k
Q171626	Pópù Urban 6k
Q171639	Aṣdodu
Q171730	Georges Clemenceau
Q172083	Omar Bongo
Q172118	Percy Williams Bridgman
Q172377	Pópù Hilarius
Q172383	Pópù Sylvester 2k
Q172398	Pópù Adrian 3k
Q172495	Orin-ìyìn Orílẹ̀-èdè Argẹntínà
Q172517	Àsìá ilẹ̀ Jamáíkà
Q172877	Arno Allan Penzias
Q172916	Pópù Jòhánù 21k
Q172928	Pópù Clement 4k
Q173000	Pópù Adrian 5k
Q173338	Cetinje
Q173535	Àsìá ilẹ̀ Orílẹ̀-èdè Olómìnira ilẹ̀ Ṣáínà
Q173637	Ice Cube
Q174029	Pópù Felix 3k
Q174156	Yang di-Pertuan Agong
Q174193	Ilẹ̀ọba Aṣọ̀kan Brítánì Olókìkí àti Írẹ́lándì
Q174219	Ọ̀dà
Q174231	Emperor Meiji
Q174583	ota
Q174677	Ìwé Amosi
Q174753	Ìwé Obadiah
Q175021	Um Al Quwain
Q177054	Burger King
Q177220	olórin
Q178071	Pópù Boniface 6k
Q178076	Ìwé Mika
Q178338	Ìwé Haggai
Q178390	Ìwé Esekieli
Q178819	Ìwé Jona
Q179282	Steven Weinberg
Q179289	òùnfà
Q179702	Pópù Jòhánù 18k
Q179755	Ìwé Nahumu
Q179760	Ìwé Habakkuku
Q179769	Ìwé Sekariah
Q179876	Ilẹ̀-Ọba Ilẹ̀gẹ̀ẹ́sì
Q180123	Fátímọ̀ ọmọ Mùhammédù
Q180350	Frederick Banting
Q180642	Garrincha
Q181136	Glutamic acid
Q181278	Àwọn Ìdíje Òlímpíkì Ìgbà Oru 2020
Q181620	Ìwé Samuẹli
Q181665	Agostinho Neto
Q182059	Kumasi
Q182081	Pápá Eréìdárayá Ellis Park
Q182408	Glenda Jackson
Q182474	Pópù Lucius 3k
Q182489	Pópù Leo 7k
Q183266	Samuel Johnson
Q183279	Zhores Alferov
Q183298	Ìbàdàn
Q183509	Ilya Prigogine
Q183945	olóòtú orin
Q184030	Ìwé Hosea
Q184116	Gary
Q184485	eré oríìtàgé
Q184563	Sin-Itiro Tomonaga
Q184697	Gloria Estefan
Q185111	Tòbágò
Q186465	Julian Schwinger
Q186497	Willis Lamb
Q187099	Lionel Jospin
Q188563	Ìwé Sefaniah
Q188810	Sharjah
Q189006	Charles Louis Alphonse Laveran
Q189422	Jean Dujardin
Q189488	Willem Einthoven
Q189758	Marvin Gaye
Q189803	Arthur Harden
Q189912	Aberdeenshire
Q189960	Westminster
Q190503	Arthur Leonard Schawlow
Q190562	òkè Kamẹrúùnù
Q190770	Philip Warren Anderson
Q192111	Yun Chi-ho
Q192276	wíwọ̀n
Q192410	Jennifer Hudson
Q192435	Tripolitáníà
Q193043	Ferhat Abbas
Q193272	Àgbàjọ Tòkòwò àwọn Orílẹ̀-èdè Ìwọòrùn Áfríkà
Q193670	Frantz Fanon
Q193701	SpaceX
Q193803	Roger Penrose
Q197736	Rajendra Prasad
Q199612	Pópù Vitalian
Q201486	ìtàn sáyẹ́nsì
Q201538	Edward Said
Q202171	Juho Kusti Paasikivi
Q203591	Anastasia Myskina
Q203960	James Earl Jones
Q205545	Eleftherios Venizelos
Q206411	Orílẹ̀-èdè Olómìnira Tòṣèlúaráàlú ilẹ̀ Azerbaijan
Q206467	Uraninite
Q207521	Ilẹ̀ọbalúayé Ethiópíà
Q207534	Alfred Tarski
Q208217	sáyẹ́nsì ti lítíréṣọ̀
Q209054	Audio Video Interleave
Q209065	Ilẹ̀ Ọba Gríìsì
Q209529	Dimitrios Gounaris
Q210069	Milton Obote
Q211787	Jules Bordet
Q212960	Direct Stream Transfer
Q212963	Samuel Adams
Q213430	Larry King
Q214473	Steve Biko
Q214771	Elfen Lied
Q217070	Laurent Fabius
Q218642	Alanine
Q219060	Orílẹ̀-èdè Palẹstínì
Q219726	Àsìá Hawaii
Q221310	Anggun
Q222500	Pópù Stephen 8k
Q223545	Daniel D. Tompkins
Q225360	Àsìá ilẹ̀ Bùlgáríà
Q225641	Mombasa
Q227694	Pópù Gregory 12k
Q227713	Pópù Innocent 7k
Q227719	Pópù Martin 4k
Q227721	Pópù Marinus 1k
Q227963	Pópù Jòhánù 17k
Q227967	Pópù Paschal 2k
Q227976	Pópù Jòhánù 10k
Q227978	Pópù Jòhánù 19k
Q228649	Pópù Jòhánù 15k
Q230226	Melinda Czink
Q230346	Monica Niculescu
Q232024	John James Richard Macleod
Q233051	Eric Maskin
Q234141	Ian McShane
Q234463	Sydney Brenner
Q234801	Allah
Q235190	Manizales
Q235406	Hilary Hahn
Q236118	Apágúúsù Cone
Q237142	Ulf von Euler
Q237160	Bernardo Houssay
Q237833	George Santayana
Q238688	Floriano Peixoto
Q238752	Bàrbúdà
Q239774	Sue Barker
Q241214	Pataca
Q243196	Dudley R. Herschbach
Q244165	Olómìnira Nagorno-Karabakh
Q244441	Pete Seeger
Q245068	ẹlẹ́fẹ̀
Q252657	George Rallis
Q253414	FIFA
Q259502	Dọ́là Austrálíà
Q263686	Gúúsù-Ìlàòrùn Europe
Q265868	Egungun
Q266569	Eleda ere alaworan
Q268914	Garba Lawal
Q271585	Els Segadors
Q271822	Pierre Messmer
Q271887	Louis Barthou
Q272855	Kazuo Ishiguro
Q273212	John C. Breckinridge
Q273233	Paul Robeson
Q279979	Office Open XML
Q280761	Windows Media Video
Q285865	Joseph Paul-Boncour
Q291644	Erna Solberg
Q294578	Eduardo Duhalde
Q295175	Theuderic 3k
Q295919	Sam Cooke
Q297190	Giovanni Giolitti
Q297816	Sammy Davis
Q309100	ìsètò
Q309440	WebM
Q309995	Paul Deschanel
Q310129	Nicholas Liverpool
Q312026	Georges Bidault
Q312040	Francisco Largo Caballero
Q312575	Clive Granger
Q312966	Khan Abdul Ghaffar Khan
Q314006	Guy Mollet
Q315565	Kiichi Miyazawa
Q315723	Burl Ives
Q316390	Ántígúà
Q317439	Karim Abdul Razak
Q319444	Aimo Cajander
Q325191	Herman Gorter
Q325611	Homi J. Bhabha
Q326510	Martin Lundgaard Hansen
Q327414	Rabah Bitat
Q328235	Paul Ramadier
Q328240	Joseph Laniel
Q332626	Francesco Crispi
Q336027	Frederick Lugard
Q350613	Jules de Polignac
Q351710	Kalevi Sorsa
Q354695	Yakubu Gowon
Q357116	Adil Abdul Mahdi
Q363392	Michel Aoun
Q367342	Mario Scelba
Q367566	Yogi Berra
Q372313	Enrique Vila-Matas
Q374053	Vera Zvonareva
Q374365	Jeddah
Q376749	Chittagong
Q379741	Advanced Systems Format
Q379787	Juan Prim, 1st Marquis of los Castillejos
Q383260	Àjẹsára ọ̀fìnkì
Q383541	Basshunter
Q389737	Agbègbè Tanga
