Q2	পৃথিবী
Q23628	দ্য সোপরানোস
Q23633	এইচবিও
Q23635	বারমুডা
Q23640	মাথা
Q23661	ওয়েলিংটন
Q23666	গ্রেট ব্রিটেন
Q23681	তুর্কী উত্তর সাইপ্রাস প্রজাতন্ত্র
Q23733	সাইনফেল্ড
Q23757	ঘুটিং
Q23767	ক্যালসিয়াম কার্বনেট
Q23800	ভাল্লেত্তা
Q23808	ইন্টারফেস
Q23831	দ্য অফিস
Q24489	কয়লা
Q24603	ইন্ডিপেন্ডেন্স
Q24639	ভ্যানকুভার
Q24826	লিভারপুল
Q24861	আল্বানী
Q24869	ফিচার চলচ্চিত্র
Q24879	ব্রেমেন
Q24905	ক্রিয়াপদ
Q25100	নান্নি মোরেত্তি
Q25105	আলি আল রিদা
Q25164	নিনর্সক ভাষা
Q25177	রামশ্টাইন
Q25223	জার্মানির রাষ্ট্রপতি
Q25227	নেদারল্যান্ডস এন্টিলস
Q25228	এ্যাঙ্গুইলা
Q25231	স্বালবার্ড
Q25252	ঙ্গাগ-দ্বাং-ব্লো-ব্জাং-র্গ্যা-ম্ত্শো
Q25257	বৃষ্টিপাত
Q25258	ফারোয়েজীয় ভাষা
Q25260	দ্গে-'দুন-গ্রুব
Q25261	আবহাওয়াবিদ্যা
Q25270	প্রিস্তিনা
Q25271	আন্তর্জাতিক মহাকাশ স্টেশন
Q25280	হ্যারিসবার্গ
Q25282	ডানাং
Q25285	তাতার ভাষা
Q25287	গোটেনবার্গ
Q25289	কর্নিশ ভাষা
Q25319	অরহুস
Q25322	সুমেরু অঞ্চল
Q25330	ট্রেনটন
Q25331	ওদেন্স
Q25338	ল্য প্যতি প্র্যাঁস্
Q25395	নিওয়ার্ক
Q25396	বোনাইর
Q25409	কসিছে
Q25410	অ্যালবোর্গ
Q25416	স্টাভেঞ্জার
Q25430	বাডেনভাইলার
Q25444	ফুনশাল
Q25475	বাটোমি
Q25528	সাবা
Q25653	খেয়া
Q25721	আইপ্যাড ৪
Q25804	ট্রন্ডাইম
Q25956	মহাকাশ স্টেশন
Q25973	হেরমান হেস
Q26036	ফ্রেড লিন
Q26040	উইন্চেস্টার
Q26075	হাইড্রোজেন সায়ানাইড
Q26087	ত্রোমুসো
Q26119	প্রেসভ
Q26155	জউনিএহ
Q26163	স্যান্ডউইচ
Q26175	ত্রানাভা
Q26180	সিন্ট এউস্তাতিউস
Q26273	সিন্ট মার্টেন
Q26339	জার্সি শহর
Q26383	পারমাণবিক পদার্থবিজ্ঞান
Q26397	নিত্রা
Q26410	ইয়ককাইচি
Q26418	হাকুডেইট
Q26421	ডরড্রেখট
Q26430	তিলবার্গ
Q26432	যুতেরমের
Q26540	কৃত্রিম উপগ্রহ
Q26586	কেন্দ্রিয় ডেনমার্ক অঞ্চল
Q26590	সিউদাদ হুয়ারেস
Q26600	ফুকুওকা
Q26678	বিএমডব্লিউ
Q26695	লিওনেল রিচি
Q26777	সিয়েরা নেভাদা
Q26793	বার্গেন
Q26876	টেইলর সুইফট
Q26918	খালিদ বিন ওয়ালিদ
Q26927	লক্ষদ্বীপ
Q26988	কুক দ্বীপপুঞ্জ
Q27038	জাগরেব কাউন্টি
Q27074	অ্যাস্টন মার্টিন
Q27169	ইউরোপীয় সংসদ সদস্য
Q27224	বেন্টলি
Q27231	পূর্ব এশিয়া
Q27275	মধ্য এশিয়া
Q27293	পশ্চিম এশিয়া
Q27302	জার্মান ন্যাশনাল লাইব্রেরী
Q27356	মাদা’য়েন সালেহ
Q27381	উত্তর আফ্রিকা
Q27433	মধ্য আফ্রিকা
Q27449	দক্ষিণ ইউরোপ
Q27468	পূর্ব ইউরোপ
Q27496	পশ্চিম ইউরোপ
Q27509	মধ্য ইউরোপ
Q27586	ফেরারি
Q27597	ফিয়াট অটোমোবাইলস
Q27611	মধ্য আমেরিকা
Q27654	দর্শনের ইতিহাস
Q27686	হোটেল
Q27706	হামবুর্গ বিমানবন্দর
Q27716	লাতিন ব্যাকরণ
Q27827	খ্রীষ্টাডেলফিয়ান
Q27860	জায়াপুরা
Q27939	গাওয়া
Q28161	শ্রম অর্থশাস্ত্র
Q28198	জ্যাকসন
Q28206	অগাস্টা, মেইন
Q28218	ব্যাটন রুজ
Q28235	সুদূর পশ্চিমাঞ্চল বিকাস ক্ষেত্র, নেপাল
Q28237	ল্যানসিং
Q28249	কনকর্ড
Q28260	লিংকন
Q28271	এনোফিলিশ
Q28389	চিত্রনাট্যকার
Q28419	মান্ডান
Q28462	পশ্চিমাঞ্চল বিকাস ক্ষেত্র, নেপাল
Q28464	মধ্য-পশ্চিমাঞ্চল বিকাস ক্ষেত্র, নেপাল
Q28472	চুল
Q28513	অস্ট্রিয়া-হাঙ্গেরি
Q28515	স্প্রিংফিল্ড
Q28598	সাংস্কৃতিক নৃবিজ্ঞান
Q28602	আরামীয় ভাষা
Q28747	নিকোটিনামাইড অ্যাডেনিন ডাইনিউক্লিয়টাইড ফসফেট
Q28803	স্যান্ডউইচ
Q28823	কাপড়
Q28865	পাইথন
Q28911	লাহটি
Q29050	মোহাম্মদ হামা
Q29052	ভ্যান্ডারবিল্ট বিশ্ববিদ্যালয়
Q29171	পদাতিক সেনা
Q29179	ফ্রান্সিস্কো ফ্রাঙ্কো
Q29182	বিশপ
Q29245	নহেস্টিং
Q29294	সিয়ার্স টাওয়ার
Q29297	কার্ল রিটার
Q29303	ক্যান্টারব্যুরি
Q29339	মানিশ
Q29364	মন্টগুমারী
Q29445	জুনেউ
Q29493	পিটালি
Q29520	চীন
Q29539	ঘনত্ব
Q29540	বাভারীয় উপভাষা
Q29888	আসউয়ান
Q29943	আলেক্সান্দ্রিয়া গভর্নোরেট
Q29999	নেদারল্যান্ড রাজ্য
Q30002	চ্যাংদু
Q30185	মেয়র
Q30340	জিয়াংজৌ
Q30461	রাষ্ট্রপতি
Q30547	মাদার টেরিজা
Q30578	দ্বিতীয় পোপ আরবান
Q30603	শাহজালাল আন্তর্জাতিক বিমানবন্দর
Q30755	ওগুস্ত রদ্যাঁ
Q30805	কায়রো গভর্নোরেট
Q30849	ব্লগ
Q30942	গিডো ভান রসম
Q30971	ফরাসি পলিনেশিয়া
Q30974	রুয়া
Q30985	হ্যামিল্টন
Q31057	নরফোক দ্বীপ
Q31058	বার্লিংটন
Q31063	ক্রিসমাস দ্বীপমালা
Q31073	ওয়াল্টার ক্রনকাইট
Q31487	ক্রাকো
Q31621	কনরাড জ্যাকব টেমিঙ্ক
Q31920	সাঁতার
Q32067	মেষরাশি
Q32081	তাইওয়ান প্রদেশ
Q32112	মুষ্টিযুদ্ধ
Q32190	বেইজিং রাজধানী আন্তর্জাতিক বিমানবন্দর
Q32485	আধুনিক পেন্টাথলন
Q32620	টালসি গ্যাবার্ড
Q32635	ডোমেইন নাম
Q32724	ভেনেসীয় ভাষা
Q32815	মসজিদ
Q32884	গ্রিন ল্যান্টার্ন
Q32999	ভিয়েনা আন্তর্জাতিক বিমানবন্দর
Q33132	গেটিসবার্গের যুদ্ধ
Q33231	আলোকচিত্রী
Q33268	ভোজপুরি
Q33298	ফিলিপিনো ভাষা
Q33349	মেলিতোপুল
Q33384	উপভাষা
Q33405	লিটল রক
Q33486	হার্টফোর্ড
Q33487	হোমোফোবিয়া
Q33506	জাদুঘর
Q33521	প্রয়োগমূলক গণিত
Q33549	জাভানীয় ভাষা
Q33673	কন্নড় ভাষা
Q33698	লিভুনীয় ভাষা
Q33754	লোম্বার্ট ভাষা
Q33760	বারট্রান্ড রাসেল
Q33788	নিউ ক্যালিডোনিয়া
Q33823	নেপালি ভাষা
Q33837	দ্বীপপুঞ্জ
Q33850	নর্মান্ড ভাষা
Q33866	থিওডোর রুজভেল্ট
Q33881	তুর দ্য ফ্রঁস
Q33923	সন্ত পিতর
Q33935	তেল আভিভ
Q33946	চেকোস্লোভাকিয়া
Q33959	নিস
Q33971	পাতা
Q33973	সিসিলীয় ভাষা
Q33976	সার্ডিনীয় ভাষা
Q33986	ভালপারাইসো
Q33999	অভিনয়শিল্পী
Q34001	রুবে
Q34006	হলিউড
Q34020	নিউয়ে
Q34038	জলপ্রপাত
Q34057	তাগালোগ ভাষা
Q34095	ব্রোঞ্জ
Q34105	হোসনি মুবারক
Q34106	সারনিয়া
Q34109	ফার্গো
Q34110	ওয়াহাকা
Q34172	মাখন
Q34178	ধর্মতত্ত্ব
Q34217	অক্সফোর্ড
Q34218	বার্লিংটন
Q34261	পোর্ট-অ-প্রিন্স
Q34266	রুশ সাম্রাজ্য
Q34271	তিব্বতি ভাষা
Q34274	সুসমাচার
Q34296	উড্রো উইলসন
Q34362	জ্যোতিষশাস্ত্র
Q34366	তাসমানিয়া
Q34370	রটার্ডাম
Q34374	ক্রিট
Q34389	হুইটনী হাস্টন
Q34404	নিউ অরলিন্স
Q34424	শাকিরা
Q34433	অক্সফোর্ড বিশ্ববিদ্যালয়
Q34467	কমপ্যাক্ট ডিস্ক
Q34474	আলেক্সান্দ্র্ সলজেনিৎসিন
Q34486	হেলিকপ্টার
Q34493	মোটর সাইকেল
Q34503	উসমানীয় সাম্রাজ্যের শাহেনশাহ দ্বিতীয় মুহাম্মাদ
Q34589	ফোরাত
Q34597	জেমস এ. গারফিল্ড
Q34600	কিয়োতো
Q34617	সাঁ পিয়ের ও মিকলোঁ
Q34628	গটহোল্ট এফ্রায়িম লেসিং
Q34640	ইংলিশ চ্যানেল
Q34647	জোহানেসবার্গ
Q34659	মাই নেম ইস আর্ল
Q34664	হিরোশিমা
Q34670	আলবেয়ার কামু
Q34687	গোলাপ
Q34692	কিংস্টন
Q34713	জালৎস্বুর্গ
Q34726	গ্রিক পুরাণ
Q34739	ডেটন
Q34740	গণ
Q34749	সামাজিক বিজ্ঞান
Q34754	সোমালিল্যান্ড
Q34770	ভাষা
Q34787	ফ্রিডরিখ এঙ্গেলস
Q34800	শিনচিয়াং
Q34804	আলবাকার্কি
Q34820	সান্টো ডোমিঙ্গো
Q34863	ওকলাহোমা সিটি
Q34932	ব্রিসবেন
Q34943	টলেমি
Q34990	তাওরাত
Q35004	তারিজা
Q35054	ডাকঘর
Q35086	দক্ষিণ জর্জিয়া ও দক্ষিণ স্যন্ডউইচ দ্বীপপুঞ্জ
Q35127	ওয়েবসাইট
Q35178	কুয়েত সিটি
Q35222	প্রাচীন ফরাসি
Q35245	ব্যুৎপত্তি
Q35323	আরব জাতি
Q35339	ডাব্লিউডাব্লিউই
Q35381	কলম্বো
Q35395	ধ্বনিবিজ্ঞান
Q35456	অত্যাবশ্যকীয় ওষুধের তালিকা
Q35473	জানালা
Q35484	মদিনা
Q35493	আলমেটি
Q35497	প্রাচীন গ্রিক
Q35509	গুহা
Q35555	ওয়ালিস ও ফুটুনা
Q35572	উয়েফা
Q35581	হোক্কাইদো
Q35591	দজলা
Q35610	আর্থার কোনান ডয়েল
Q35622	ডাব্লিউডাব্লিউই স্ম্যাকডাউন
Q35666	হিমবাহ
Q35672	পীটকেয়ার্ন দ্বীপপুঞ্জ
Q35715	দক্ষিণ অস্ট্রেলিয়া
Q35722	গথিক ভাষা
Q35760	প্রবন্ধ
Q35765	ওসাকা
Q35773	সাফারি
Q35775	বইজি
Q35794	কেমব্রিজ বিশ্ববিদ্যালয়
Q35872	নৌকা
Q35874	হাস্যরস
Q35886	ল্যাম্বরগিনি
Q35903	ডাব্লিউডাব্লিউই এনএক্সটি
Q35986	নন্দনতত্ত্ব
Q35997	ইজমির
Q36014	হো চি মিন
Q36036	লবিব
Q36070	ডাব্লিউডাব্লিউই নেটওয়ার্ক
Q36074	কুইন্সল্যান্ড
Q36077	হা লং
Q36091	মিনিয়াপোলিস
Q36107	মুহাম্মদ আলী
Q36117	বোর্নিও
Q36124	জিব্রাল্টার প্রণালী
Q36161	সেট
Q36168	ব্রিজটাউন
Q36180	লেখক
Q36192	লোকাচারবিদ্যা
Q36236	মালয়ালম ভাষা
Q36260	আপিয়া
Q36268	ব্রিজিট বার্ডো
Q36293	হিস্টোন
Q36312	কালগেরি
Q36330	জর্দানো ব্রুনো
Q36405	অ্যাবরদিন
Q36420	সাংহাই পুডং আন্তর্জাতিক বিমানবন্দর
Q36433	পোর্তু
Q36442	রাষ্ট্রবিজ্ঞান
Q36465	আটা
Q36510	আধুনিক গ্রিক ভাষা
Q36600	হেগ
Q36620	ট্যুকো ব্রাহে
Q36633	বেশ্যাবৃত্তি
Q36647	কর্ক
Q36687	ভিক্টোরিয়া
Q36704	যুগোস্লাভিয়া
Q36730	উসমানীয় তুর্কি ভাষা
Q36740	অং সান সু চি
Q36794	দরজা
Q36823	টকেল্যু
Q36834	সুরকার
Q36947	সালভাদোর, বাইয়া
Q36955	দিয়েন বিয়েন
Q36963	শিকার
Q37024	সার্বিয়া ও মন্টিনিগ্রো
Q37043	টালাহাসি, ফ্লোরিডা
Q37066	বিসমার্ক
Q37079	টম ক্রুজ
Q37085	সলোমন
Q37093	ইয়াহু!
Q37100	অকল্যান্ড
Q37110	ফারাও
Q37122	আথেনা
Q37143	জি৮
Q37144	কার্তুজ
Q37156	আইবিএম
Q37172	তরঙ্গ
Q37187	লোহিত রক্তকণিকা
Q37211	সিন্ধু প্রদেশ
Q37226	শিক্ষক
Q37251	.de
Q37302	পবিত্র আত্মা
Q37312	ইন্টারনেট মুভি ডেটাবেজ
Q37320	ক্লিভল্যান্ড
Q37333	লাবলিন
Q37340	অ্যাপোলো
Q37349	দলাই লামা
Q37362	এক্রোতিরি ও ধেকেলিয়া
Q37407	.af
Q37437	বাক্যতত্ত্ব
Q37463	পিয়ের ক্যুরি
Q37470	জাতিসংঘ নিরাপত্তা পরিষদ
Q37525	গ্লুকোজ
Q37547	জ্যোতিঃপদার্থবিজ্ঞান
Q37562	দোনাতেল্লো
Q37577	জন কেলভিন
Q37610	ড্যাভিড বেন গুরিয়ন
Q37621	টমাস হব্স
Q37643	উপসাগরীয় যুদ্ধ
Q37693	পল গোগাঁ
Q37726	সেনাবাহিনী
Q37731	উসমান ইবন আফ্ফান
Q37736	উত্তর ককেশাস
Q37748	ক্রোমোজোম
Q37756	সংকর ধাতু
Q37801	বালতি
Q37806	পোর্ট ভিলা
Q37813	বাস্তুতন্ত্র
Q37836	মিলওয়াকি
Q37853	বারোক
Q37868	শৈবাল
Q37951	সাপোরু
Q37960	পীতসাগর
Q37970	গ্রেগর ইয়োহান মেন্ডেল
Q38022	সেন্ট লুইস
Q38035	ব্যঞ্জনধ্বনি
Q38101	পবিত্র রিস্তা
Q38112	বনবিদ্যা
Q38130	সম্মিলিত জাতিপুঞ্জ
Q38234	নাগাসাকি
Q38283	ইয়োকোহামা
Q38311	রূপমূলতত্ত্ব
Q38380	ওরজে
Q38453	কলাম্বিয়া, সাউথ ক্যারোলাইনা
Q38484	রোমানো প্রোদি
Q38511	টুর্কু
Q38545	আদানা
Q38555	সান্তা ফে
Q38695	রান্না
Q38733	হেলেনা
Q38799	হামাস
Q38807	সুভা
Q38823	রুহুল্লাহ্ খামেনেই
Q38872	প্রুশিয়া
Q38968	লিউঝু
Q38981	ভোরালবার্গ
Q39042	ছেয়েন
Q39061	উত্তর গোলার্ধ
Q39121	লীড্স
Q39178	পোর্ট অব স্পেন
Q39193	বোহেমিয়া
Q39286	কীটতত্ত্ব
Q39338	কমলা
Q39350	প্রজাত্যায়ন
Q39420	সোচি
Q39444	রোনালদিনহো
Q39450	অ্যাংকারিজ, আলাস্কা
Q39524	জামাল আব্দেল নাসের
Q39561	বুরব্যাংক
Q39599	ক্রিস্টিয়ান হাইগেনস
Q39614	কবরস্থান
Q39619	আলী ইবনে আবু তালিব
Q39631	চিকিৎসক
Q39645	শব্দার্থবিদ্যা
Q39689	আলকেমি
Q39709	ডে মইন
Q39715	বাতিঘর
Q39731	বাল্টিক রাষ্ট্র
Q39739	অ্যাকনকাগুয়া পর্বত
Q39760	গাজা ভূখণ্ড
Q39782	পিতল
Q39803	মারিও বার্গাস ইয়োসা
Q39816	উপত্যকা
Q39818	মূকাভিনয়
Q39825	আদমশুমারি
Q39833	অণুজীব
Q39837	ইবনে রুশদ
Q40056	কম্পিউটার প্রোগ্রাম
Q40178	অ্যাসিড বৃষ্টি
Q40191	হোবার্ট
Q40194	মাসাৎলান
Q40213	উইলিয়াম বাটলার ইয়েটস
Q40218	নভোযান
Q40236	মানাউশ
Q40244	ম্যারাথন
Q40249	আন্তালিয়া প্রদেশ
Q40269	পোর্তো আলেগ্রি
Q40285	নিউ গিনি
Q40347	নরম্যান
Q40348	আইনজীবী
Q40357	কারাগার
Q40395	বেলাইত জেলা
Q40398	তুতং জেলা
Q40430	বাহিয়া
Q40435	বাফালো
Q40495	পারভেজ মুশাররফ
Q40540	রাশিচক্র
Q40572	হিথ লেজার
Q40634	সাংস্কৃতিক ভাষাতত্ত্ব
Q40637	জ্যটোমার ওপল্লাস্ট
Q40722	দিলমা রৌসেফ
Q40738	বুর্সা
Q40747	পিয়ে
Q40754	বিয়োগ
Q40758	দামভান্দ পর্বত
Q40763	বীজ
Q40811	সোকো্মি
Q40821	অস্ত্রোপচার
Q40840	আমবেরে
Q40844	ব্রেডা
Q40861	মার্বেল
Q40898	ন্যান্সি
Q40904	ভের্নার কার্ল হাইজেনবের্গ
Q40909	ভার্জিনিয়া উল্ফ
Q40956	আনহুয়েই
Q40966	ওপেল
Q40970	আন্তর্জাতিক অলিম্পিক কমিটি
Q40984	স্কাইপ
Q40993	পোর্শা
Q40998	ধ্বনিতত্ত্ব
Q41057	টোপিকা
Q41064	গীতসংহিতা
Q41066	উত্তর চুংচেয়ং
Q41070	দক্ষিণ চুংচেয়ং
Q41071	গাংওয়ান
Q41079	অন্তর্দেশীয় মঙ্গোলিয়া
Q41087	র্যালি
Q41116	রেড স্কয়ার
Q41157	উত্তর জেওলা
Q41161	দক্ষিণ জেওলা
Q41177	গ্রানাইট
Q41180	লা মার্সেইয়েজ
Q41183	আলেপ্পো
Q41185	কায়েন
Q41187	সোনি
Q41207	পয়সা
Q41211	সান হুয়ান
Q41217	বলবিদ্যা
Q41228	দক্ষিণ গোলার্ধ
Q41252	বাইডগসসেজ
Q41262	নটিংহাম
Q41269	অঁরি বেক্যরেল
Q41278	উলসান
Q41283	গোয়াংজু
Q41284	জন ডাল্টন
Q41291	রকেট
Q41298	পত্রিকা
Q41304	ভাইমার প্রজাতন্ত্র
Q41309	ফ্রান্ৎস লিস্ট
Q41329	লীন্জ
Q41358	স্টায়রিয়া
Q41370	দাউদ
Q41415	স্যুপ
Q41425	ব্যালে
Q41426	প্রশিক্ষণ বিমান
Q41466	আইস হকি
Q41470	কুর্দিস্তান
Q41483	দ্য গুড, দ্য ব্যাড অ্যান্ড দি আগলি
Q41490	লেবীয় পুস্তক
Q41502	হেনরিক শিন্কিয়েউইচ
Q41506	স্ট্যানফোর্ড বিশ্ববিদ্যালয়
Q41533	ফ্রাঙ্ক ল্যাম্পার্ড
Q41534	স্টার্চ
Q41550	অর্থনৈতিক সহযোগিতা ও উন্নয়ন সংস্থা
Q41567	হ্যামলেট
Q41568	মিশেল দ্য মন্টেইন
Q41576	কোকেইন
Q41585	ডাভিড হিলবের্ট
Q41604	আমিয়েন
Q41621	হাইফা
Q41644	ওয়ারশ চুক্তি
Q41673	ভারতের জাতীয় পতাকা
Q41675	গিনেস বিশ্ব রেকর্ড
Q41688	হেন্ড্রিক আন্টোন লোরেন্ৎস
Q41699	কাস্তেরিস
Q41705	ফুচিয়েন
Q41735	আইরিশ সাগর
Q41746	অ্যাকিলিস
Q41749	জোসেফ গোয়েবলস
Q41753	ক্লাগেনফুর্ট
Q41766	তিসিবিওস
Q41819	কানসাস সিটি
Q41843	বীরসেবা
Q41876	রিমজ
Q41921	রোজা পার্কস
Q41967	আপার অস্ট্রিয়া
Q41975	মঙ্গোল
Q41984	আন্তর্জাতিক পরমাণু শক্তি সংস্থা
Q42000	তাহিতি
Q42007	সোম্বেতলি
Q42013	আনোয়ার সাদাত
Q42034	খাদিজা বিনতে খুওয়াইলিদ
Q42053	এসফাহন
Q42063	হিউয়েন সাঙ
Q42140	জিওনজু
Q42147	চেওংজু
Q42148	চুনচেওন
Q42157	পোহাং
Q42200	হাইনান
Q42240	গবেষণা
Q42247	সুলি প্রুদোম
Q42250	জলবিদ্যা
Q42262	ইউরোপীয় মহাকাশ সংস্থা
Q42267	স্পেন জাতীয় ফুটবল দল
Q42274	গুগল আর্থ
Q42295	গুল্ম
Q42305	প্রথম রিচার্ড
Q42308	খারকিভ
Q42332	পোর্টেবল ডকুমেন্ট ফরম্যাট
Q42369	কান চলচ্চিত্র উৎসব
Q42372	নীহারিকা
Q42392	কানসু
Q42443	আনাতোল ফ্রঁস
Q42448	শেফিল্ড
Q42462	ইয়র্ক
Q42482	আয়রন মেইডেন
Q42497	লোয়ার অস্ট্রিয়া
Q42505	হাইলাকান্দি জেলা
Q42515	মানচিত্রাঙ্কনবিদ্যা
Q42614	দ্বিতীয় বিবরণ
Q42620	ফিলিস্তিন জাতীয় প্রশাসন
Q42622	সুঝু
Q42635	ওয়েনঝু
Q42651	উজি
Q42716	সেন্ত এতিয়েন
Q42731	ফার্নান্দো তরেস
Q42735	অলিম্পিয়া
Q42765	শোণিতপুর জেলা
Q42767	তিমি শিকার
Q42780	নিংবো
Q42800	বেলু ওরিজোঁতি
Q42807	নিম
Q42810	লে হাভ্রে
Q42857	নবী
Q42880	টিরোল
Q42891	কৃষ্ণ
Q42901	অররিয়া জেলা
Q42918	পরিব্যক্তি
Q42944	সার্ন
Q42952	থর
Q42956	হারপিন
Q42962	তেল
Q42973	স্থপতি
Q42985	ইভান পাভলভ
Q42989	টপোগণিত
Q42992	গোল্ডা মেয়ার
Q42998	ঐকতান-বাদকদল
Q43015	অর্থসংস্থান
Q43027	এডুইন হাবল
Q43033	ডেসমন্ড টুটু
Q43041	হিমোগ্লোবিন
Q43067	হেনরিক হিমলার
Q43070	ডুনেস্ক
Q43084	গোল মরিচ
Q43099	গণনাপুস্তক
Q43175	জাপানের জাতীয় পতাকা
Q43183	বীমা
Q43192	ফ্রান্সের জাতীয় পতাকা
Q43193	ট্রাক
Q43194	ইউনান
Q43199	ওমাহা
Q43210	বুর্গেনল্যান্ড
Q43244	আলেকজান্দ্রিয়ার বাতিঘর
Q43269	জুলিয়া
Q43274	চার্লস, প্রিন্স অব ওয়েলস
Q43287	জার্মান সাম্রাজ্য
Q43290	তালমুদ
Q43292	সুলতান
Q43297	টাইম
Q43301	ফ্রেসনো
Q43303	ম্যালকম এক্স
Q43319	মাতো গ্রোস দো সৌল
Q43325	সলজবুর্গ
Q43347	জালাল উদ্দিন মুহাম্মদ রুমি
Q43359	এমটিভি
Q43380	সিবিএস
Q43382	প্লাইমাউথ
Q43407	শানতুং
Q43421	রিচমন্ড
Q43433	চণ্ডীগড়
Q43450	জিমন্যাস্টিকস
Q43455	জাতিবিদ্যা
Q43475	ডার্বি
Q43482	ফ্রাঙ্ক জাতি
Q43509	গুয়াইয়াকিল
Q43511	মৌরি
Q43595	কোটোনো
Q43627	ম্যাক ওএস
Q43631	লাইডেন
Q43637	একচেটিয়া কারবার
Q43668	লুভল
Q43684	হ্যনান
Q43697	জঁ রেনো
Q43788	ম্যাডিসন
Q43812	পাসপোর্ট
Q43845	ব্যবসায়ী
Q43919	স্যালেম
Q43926	আন্দ্রেয়া পিরলো
Q43934	লিয়াওনিং
Q43939	ক্যান্টারবেরির আনসেলম
Q43944	হামিদ কারজাই
Q43948	ইয়োসেফ ফন ফ্রাউনহোফার
Q44003	থিওডোর হের্জল
Q44013	ভন
Q44016	মার্কহাম
Q44059	লা প্লাতা
Q44137	জেফ হার্ডি
Q44160	তুলুুন
Q44167	ইঞ্জিন
Q44197	ম্যাক্সিমিলিয়েন দ্য রোবসপিয়ের
Q44198	ব্র্যাম্পটন
Q44206	দুর্গ
Q44210	কর্ডোবা
Q44213	পার্না
Q44237	মেন্ডোজা
Q44244	সান্তা ফে
Q44255	সান মিগেল দে তুকুমান
Q44289	অফ দ্য ওয়াল
Q44325	তত্ত্ববিদ্যা
Q44337	মেট্রিক্স
Q44377	সুড়ঙ্গ
Q44403	হাইনরিখ হাইনে
Q44424	রাসায়নিক বন্ধন
Q44455	ক্রীড়া তত্ত্ব
Q44512	মহামারী
Q44559	বহির্গ্রহ
Q44564	চার্লসটন
Q44567	ট্রিপল এইচ
Q44571	গনু
Q44661	নিউজিল্যান্ডীয় ইংরেজি
Q44676	কানাডীয় ইংরেজি
Q44679	অস্ট্রেলীয় ইংরেজি
Q44703	পক্ষীবিজ্ঞান
Q44709	জঁ-জাক গোল্দমান
Q44759	কর্ডোবা প্রদেশ
Q44782	বন্দর
Q44819	সুহার্তো
Q44843	তোচিগি প্রশাসনিক অঞ্চল
Q44868	কুয়াংচৌ পাইইয়ুন আন্তর্জাতিক বিমানবন্দর
Q44980	অ্যালেক্স ফার্গুসন
Q44989	টালসা, ওকলাহোমা
Q45188	কোল্ডপ্লে
Q45301	ট্রাবজোন
Q45341	পূর্ব চীন সাগর
Q45412	কইম্ব্রা
Q45422	ইস্ট
Q45584	বৈষ্ণবধর্ম
Q45662	ক্লেমেন্স ভন মেটরনিখ
Q45713	তিতান
Q45758	স্লোভেনিয়ার প্রধানমন্ত্রী
Q45761	হুনান
Q45779	পিকস
Q45782	অ্যাকোয়ারিয়াম
Q45789	সত্যেন্দ্রনাথ বসু
Q45797	দানকির্ক
Q45805	জুরাসিক
Q45810	গানপাউডার প্লট
Q45833	ছিংহাই
Q45868	এলবা কাউন্টি
Q45942	আন্নাবা
Q46033	ফ্রাঙ্কফুর্ট বিমানবন্দর
Q46052	আন্ডার্স ফগ রাসমুসেন
Q46070	পাজেন অঞ্চল
Q46107	দাদরা ও নগর হাভেলি
Q46120	উইলিয়াম আলফ্রেড ফাওলার
Q46185	বেস গিটার
Q46325	সফেক্স
Q46420	ইবনুল আরাবী
Q46422	সোনোরা
Q46508	বাহা কালিফোর্নিয়া সুর
Q46602	ইভান বুনিন
Q46611	অ্যাপোলো
Q46633	চার্লস ব্যাবেজ
Q46747	সেনদাই
Q46763	বিলেচিক প্রদেশ
Q46830	রবার্ট হুক
Q46841	লেনা নদী
Q46852	ইয়াশি
Q46857	বৈজ্ঞানিক পদ্ধতি
Q46862	হুপেই
Q46910	চিন অঙ্গরাজ্য
Q46913	শানসি
Q46940	আল্কালা দে হেনারেস
Q46961	গুন্ডা
Q46970	এয়ারলাইন
Q47034	এস্পো
Q47041	জীববৈচিত্র্য
Q47045	সাঁ-দ্যনি
Q47048	আউলু
Q47062	ফার্নান্দো দে লা মোরা
Q47064	সামরিক ব্যক্তিত্ব
Q47089	ভূ-চ্যুতি
Q47092	ধর্ষণ
Q47097	কুয়েইচৌ
Q47134	শেটল্যান্ড
Q47146	ব্যবহারকারি ইন্টারফেস
Q47158	ট্রায়াসিক
Q47162	রোম্যাঁ রোলাঁ
Q47164	সান্তা মনিকা
Q47243	এলফ্রিডে ইয়েলিনেক
Q47264	হাস্সান
Q47273	কেন্দ্রীয় স্নায়ুতন্ত্র
Q47280	ইব্রাহিমীয় ধর্ম
Q47282	অস
Q47359	কিয়োটো প্রোটোকল
Q47398	অর্থনৈতিক ইতিহাস
Q47465	এক্সাম-পভান্স
Q47478	স্বামী বিবেকানন্দ
Q47488	আন্তর্জাতিক অপরাধী আদালত
Q47492	গাজা
Q47512	অ্যাসিটিক এসিড
Q47526	জিকো
Q47528	রাডার
Q47543	অর্গানাইজেশন অব ইসলামিক কোঅপারেশন
Q47554	তোরান
Q47577	ফিবোনাচ্চি রাশিমালা
Q47602	মাসিমো দালেমা
Q47604	এমএস-ডস
Q47652	ভেনাস
Q47680	যিহোশূয়
Q47683	বেপ্পে গ্রিল্লো
Q47700	কালাহারি মরুভূমি
