fact,label,sentence,langs,number of langs
"('Q159986', 'P1001', 'Q954')","('flag of Zimbabwe', '[X] is a legal term in [Y] .', 'Zimbabwe')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi', 'mbert_base__el']",5
"('Q209508', 'P176', 'Q41187')","('Sony Alpha', '[X] is produced by [Y] .', 'Sony')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__tr', 'mbert_base__ko', 'mbert_base__vi']",5
"('Q183', 'P530', 'Q232')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Kazakhstan')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q2028813', 'P190', 'Q160642')","('Salisbury', '[X] and [Y] are twin cities .', 'Salisbury')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr']",5
"('Q878942', 'P1001', 'Q1370')","('Governor of Virginia', '[X] is a legal term in [Y] .', 'Virginia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",5
"('Q2616448', 'P276', 'Q172114')","('Battle of Kufra', '[X] is located in [Y] .', 'Kufra')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__ko']",5
"('Q1130996', 'P176', 'Q26921')","('Alfa Romeo GT', '[X] is produced by [Y] .', 'Alfa Romeo')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr']",5
"('Q42274', 'P178', 'Q95')","('Google Earth', '[X] is developed by [Y] .', 'Google')",,"['mbert_base__ru', 'mbert_base__zh', 'mbert_base__tr', 'mbert_base__ko', 'mbert_base__mr']",5
"('Q540273', 'P131', 'Q1903')","('Catania-Fontanarossa Airport', '[X] is located in [Y] .', 'Catania')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi']",5
"('Q1494554', 'P1001', 'Q779')","('Connecticut Senate', '[X] is a legal term in [Y] .', 'Connecticut')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__ru', 'mbert_base__el']",5
"('Q1079140', 'P131', 'Q490385')","('Indiana University Bloomington', '[X] is located in [Y] .', 'Bloomington')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru']",5
"('Q2914452', 'P1001', 'Q262')","('President of Algeria', '[X] is a legal term in [Y] .', 'Algeria')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",5
"('Q199860', 'P1001', 'Q403')","('Coat of arms of Serbia', '[X] is a legal term in [Y] .', 'Serbia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__el']",5
"('Q154862', 'P138', 'Q1088421')","('4947 Ninkasi', '[X] is named after [Y] .', 'Ninkasi')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru']",5
"('Q104231', 'P36', 'Q1754')","('Stockholm County', 'The capital of [X] is [Y] .', 'Stockholm')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__es', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",5
"('Q1494590', 'P1001', 'Q1166')","('Michigan House of Representatives', '[X] is a legal term in [Y] .', 'Michigan')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__el']",5
"('Q30', 'P37', 'Q1860')","('United States of America', 'The official language of [X] is [Y] .', 'English')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__el']",5
"('Q1423569', 'P176', 'Q26921')","('Alfa Romeo Giulia', '[X] is produced by [Y] .', 'Alfa Romeo')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr']",5
"('Q15341', 'P36', 'Q3120966')","('Guntur district', 'The capital of [X] is [Y] .', 'Guntur')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi', 'mbert_base__mr']",5
"('Q191728', 'P1001', 'Q236')","('Coat of arms of Montenegro', '[X] is a legal term in [Y] .', 'Montenegro')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh']",5
"('Q219690', 'P36', 'Q576368')","('Quneitra Governorate', 'The capital of [X] is [Y] .', 'Quneitra')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__he']",5
"('Q688978', 'P276', 'Q6231')","('Battle of Cremona', '[X] is located in [Y] .', 'Cremona')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__es', 'mbert_base__ko', 'mbert_base__el']",5
"('Q149974', 'P138', 'Q104012')","('27 Euterpe', '[X] is named after [Y] .', 'Euterpe')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__el']",5
"('Q3058109', 'P1001', 'Q55')","('Prime Minister of the Netherlands', '[X] is a legal term in [Y] .', 'Netherlands')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi', 'mbert_base__el']",5
"('Q183', 'P530', 'Q41')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Greece')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q636947', 'P1001', 'Q794')","(""People's Mujahedin of Iran"", '[X] is a legal term in [Y] .', 'Iran')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__el']",5
"('Q15696', 'P1376', 'Q71113')","('Zamora', '[X] is the capital of [Y] .', 'Zamora Province')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi']",5
"('Q182323', 'P176', 'Q44294')","('Ford Model T', '[X] is produced by [Y] .', 'Ford Motor Company')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__es', 'mbert_base__tr', 'mbert_base__vi']",5
"('Q5830', 'P176', 'Q67')","('Airbus A380', '[X] is produced by [Y] .', 'Airbus')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__he', 'mbert_base__tr', 'mbert_base__vi']",5
"('Q137334', 'P138', 'Q26771')","('1251 Hedera', '[X] is named after [Y] .', 'Hedera')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi']",5
"('Q180274', 'P138', 'Q130272')","('Notre-Dame de Chartres', '[X] is named after [Y] .', 'Chartres')",,"['mbert_base__zh', 'mbert_base__he', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__el']",5
"('Q878254', 'P1001', 'Q730')","('President of Suriname', '[X] is a legal term in [Y] .', 'Suriname')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__el']",5
"('Q855724', 'P1376', 'Q142258')","('Kampong Cham', '[X] is the capital of [Y] .', 'Kampong Cham Province')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi', 'mbert_base__el']",5
"('Q320275', 'P1001', 'Q1370')","('Virginia House of Delegates', '[X] is a legal term in [Y] .', 'Virginia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__el']",5
"('Q238759', 'P1001', 'Q14773')","('flag of Macau', '[X] is a legal term in [Y] .', 'Macau')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__el']",5
"('Q183', 'P530', 'Q36')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Poland')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q216082', 'P1001', 'Q408')","('Australian Labor Party', '[X] is a legal term in [Y] .', 'Australia')",,"['mbert_base__nl', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",5
"('Q184599', 'P36', 'Q209126')","('County Wexford', 'The capital of [X] is [Y] .', 'Wexford')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh']",5
"('Q1157553', 'P176', 'Q27511')","('Daihatsu Charade', '[X] is produced by [Y] .', 'Daihatsu')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__he']",5
"('Q235829', 'P1001', 'Q16635')","('flag of Guam', '[X] is a legal term in [Y] .', 'Guam')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ko', 'mbert_base__el']",5
"('Q1150437', 'P159', 'Q23661')","('Victoria University of Wellington', 'The headquarter of [X] is in [Y] .', 'Wellington')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__ko']",5
"('Q655494', 'P103', 'Q7737')","('Yuri Ozerov', 'The native language of [X] is [Y] .', 'Russian')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh']",5
"('Q77', 'P36', 'Q1335')","('Uruguay', 'The capital of [X] is [Y] .', 'Montevideo')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi']",5
"('Q56022', 'P1001', 'Q183')","('Chancellor of Germany', '[X] is a legal term in [Y] .', 'Germany')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",5
"('Q633529', 'P276', 'Q34370')","('Erasmus University Rotterdam', '[X] is located in [Y] .', 'Rotterdam')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__zh', 'mbert_base__el']",5
"('Q647404', 'P176', 'Q53268')","('Toyota Supra', '[X] is produced by [Y] .', 'Toyota')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr']",5
"('Q1852384', 'P176', 'Q35996')","('Mazda Millenia', '[X] is produced by [Y] .', 'Mazda')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr']",5
"('Q183', 'P530', 'Q45')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Portugal')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q2269875', 'P1001', 'Q1456')","('South Carolina Senate', '[X] is a legal term in [Y] .', 'South Carolina')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__el']",5
"('Q29108', 'P159', 'Q656')","('FC Zenit Saint Petersburg', 'The headquarter of [X] is in [Y] .', 'Saint Petersburg')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__mr']",5
"('Q49110', 'P159', 'Q100')","('Boston University', 'The headquarter of [X] is in [Y] .', 'Boston')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__ko']",5
"('Q162615', 'P190', 'Q6343')","('Cartagena', '[X] and [Y] are twin cities .', 'Carthage')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__tr']",5
"('Q207285', 'P1001', 'Q842')","('Coat of arms of Oman', '[X] is a legal term in [Y] .', 'Oman')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__el']",5
"('Q183', 'P530', 'Q1028')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Morocco')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q183', 'P530', 'Q35')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Denmark')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q332448', 'P176', 'Q29570')","('Chevrolet Camaro', '[X] is produced by [Y] .', 'Chevrolet')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr']",5
"('Q1323139', 'P138', 'Q103717')","('Rovaniemi Airport', '[X] is named after [Y] .', 'Rovaniemi')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi']",5
"('Q183', 'P530', 'Q145')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'United Kingdom')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q183', 'P530', 'Q347')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Liechtenstein')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q1133424', 'P176', 'Q26921')","('Alfa Romeo Brera', '[X] is produced by [Y] .', 'Alfa Romeo')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr']",5
"('Q1166896', 'P138', 'Q1035')","('Darwin', '[X] is named after [Y] .', 'Charles Darwin')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh']",5
"('Q1727570', 'P36', 'Q3636023')","('Vijaypura District', 'The capital of [X] is [Y] .', 'Vijayapura district')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi', 'mbert_base__mr']",5
"('Q1153410', 'P176', 'Q259011')","('Motorola 68881', '[X] is produced by [Y] .', 'Motorola')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ko']",5
"('Q5207', 'P37', 'Q7737')","('Stavropol Krai', 'The official language of [X] is [Y] .', 'Russian')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__zh', 'mbert_base__vi']",5
"('Q29558', 'P1001', 'Q33')","('President of Finland', '[X] is a legal term in [Y] .', 'Finland')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi', 'mbert_base__el']",5
"('Q210090', 'P36', 'Q18777')","('Gramsh District', 'The capital of [X] is [Y] .', 'Gramsh')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi']",5
"('Q35381', 'P1376', 'Q854')","('Colombo', '[X] is the capital of [Y] .', 'Sri Lanka')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi']",5
"('Q183', 'P530', 'Q1033')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Nigeria')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q183', 'P530', 'Q32')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Luxembourg')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q68965', 'P1376', 'Q11929')","('Solothurn', '[X] is the capital of [Y] .', 'Canton of Solothurn')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__he', 'mbert_base__vi']",5
"('Q183', 'P530', 'Q227')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Azerbaijan')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q951305', 'P159', 'Q5465')","('University of Cape Town', 'The headquarter of [X] is in [Y] .', 'Cape Town')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__el']",5
"('Q758752', 'P176', 'Q23317')","('Audi A5', '[X] is produced by [Y] .', 'Audi')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__tr']",5
"('Q328473', 'P1001', 'Q60')","('New York City Police Department', '[X] is a legal term in [Y] .', 'New York City')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh']",5
"('Q213268', 'P36', 'Q3866')","('Dodoma Region', 'The capital of [X] is [Y] .', 'Dodoma')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi']",5
"('Q23058', 'P17', 'Q39')","('canton of Switzerland', '[X] is located in [Y] .', 'Switzerland')",,"['mbert_base__zh', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",5
"('Q208376', 'P279', 'Q841267')","('positron emission tomography', '[X] is a subclass of [Y] .', 'tomography')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__he']",5
"('Q1460885', 'P159', 'Q84')","('Royal Society of Arts', 'The headquarter of [X] is in [Y] .', 'London')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh']",5
"('Q187377', 'P176', 'Q188508')","('MiG-15', '[X] is produced by [Y] .', 'Mikoyan')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr', 'mbert_base__vi']",5
"('Q1328962', 'P176', 'Q40993')","('Porsche 911 GT1', '[X] is produced by [Y] .', 'Porsche')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr']",5
"('Q508140', 'P36', 'Q54758')","('Katrineholm Municipality', 'The capital of [X] is [Y] .', 'Katrineholm')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh']",5
"('Q714349', 'P276', 'Q34370')","('Rotterdam Blitz', '[X] is located in [Y] .', 'Rotterdam')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__el']",5
"('Q132637', 'P36', 'Q134291')","('Mersin Province', 'The capital of [X] is [Y] .', 'Mersin')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi']",5
"('Q183', 'P530', 'Q794')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Iran')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",5
"('Q469476', 'P159', 'Q85')","('The American University in Cairo', 'The headquarter of [X] is in [Y] .', 'Cairo')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh']",5
"('Q921907', 'P138', 'Q123565')","('Charles Bonnet syndrome', '[X] is named after [Y] .', 'Charles Bonnet')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__he']",5
"('Q324338', 'P159', 'Q649')","('FC Torpedo Moscow', 'The headquarter of [X] is in [Y] .', 'Moscow')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__zh', 'mbert_base__ko']",5
"('Q595857', 'P176', 'Q36008')","('Mercedes-Benz CLK-Class', '[X] is produced by [Y] .', 'Mercedes-Benz')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr']",5
"('Q1140115', 'P1001', 'Q159')","('Government of Russia', '[X] is a legal term in [Y] .', 'Russia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__vi', 'mbert_base__el']",5
"('Q414110', 'P159', 'Q64')","('Academy of Arts, Berlin', 'The headquarter of [X] is in [Y] .', 'Berlin')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh']",5
"('Q13231451', 'P178', 'Q95')","('Google Hangouts', '[X] is developed by [Y] .', 'Google')",,"['mbert_base__zh', 'mbert_base__he', 'mbert_base__tr', 'mbert_base__ko', 'mbert_base__el']",5
"('Q694586', 'P276', 'Q2942')","('Solingen arson attack of 1993', '[X] is located in [Y] .', 'Solingen')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__el']",5
"('Q130449', 'P1001', 'Q211')","('flag of Latvia', '[X] is a legal term in [Y] .', 'Latvia')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi', 'mbert_base__mr']",5
"('Q147194', 'P138', 'Q831685')","('2054 Gawain', '[X] is named after [Y] .', 'Gawain')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__el']",5
"('Q174158', 'P159', 'Q1218')","('Hebrew University of Jerusalem', 'The headquarter of [X] is in [Y] .', 'Jerusalem')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__el']",5
"('Q319994', 'P1001', 'Q1197')","('Landtag of Lower Saxony', '[X] is a legal term in [Y] .', 'Lower Saxony')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__el']",4
"('Q272983', 'P279', 'Q8054')","('green fluorescent protein', '[X] is a subclass of [Y] .', 'protein')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__he']",4
"('Q6761', 'P1376', 'Q16200')","('Livorno', '[X] is the capital of [Y] .', 'Province of Livorno')",,"['mbert_base__nl', 'mbert_base__es', 'mbert_base__he', 'mbert_base__vi']",4
"('Q203837', 'P364', 'Q1860')","('Awkward', 'The original language of [X] is [Y] .', 'English')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__es', 'mbert_base__ko']",4
"('Q159', 'P37', 'Q7737')","('Russia', 'The official language of [X] is [Y] .', 'Russian')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__he', 'mbert_base__vi']",4
"('Q196357', 'P37', 'Q7737')","('Snezhinsk', 'The official language of [X] is [Y] .', 'Russian')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__zh']",4
"('Q2299195', 'P103', 'Q7737')","('Fyodor Bondarchuk', 'The native language of [X] is [Y] .', 'Russian')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es']",4
"('Q16', 'P530', 'Q218')","('Canada', '[X] maintains diplomatic relations with [Y] .', 'Romania')",,"['mbert_base__he', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__yo']",4
"('Q30', 'P530', 'Q222')","('United States of America', '[X] maintains diplomatic relations with [Y] .', 'Albania')",,"['mbert_base__fr', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__yo']",4
"('Q116993', 'P937', 'Q90')","('Bernard Pierre Magnan', '[X] used to work in [Y] .', 'Paris')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__es', 'mbert_base__vi']",4
"('Q183', 'P530', 'Q214')","('Germany', '[X] maintains diplomatic relations with [Y] .', 'Slovakia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__yo']",4
"('Q162284', 'P276', 'Q1899')","('Battle of Kiev (1941)', '[X] is located in [Y] .', 'Kiev')",,"['mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__ko']",4
"('Q818290', 'P176', 'Q27224')","('Bentley Brooklands', '[X] is produced by [Y] .', 'Bentley')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr']",4
"('Q27', 'P36', 'Q1761')","('Ireland', 'The capital of [X] is [Y] .', 'Dublin')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__vi']",4
"('Q7101257', 'P1001', 'Q824')","('Oregon Legislative Assembly', '[X] is a legal term in [Y] .', 'Oregon')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he']",4
"('Q1090623', 'P17', 'Q819')","('Lao League', '[X] is located in [Y] .', 'Laos')",,"['mbert_base__es', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__vi']",4
"('Q7231072', 'P276', 'Q34261')","('Port international de Port-au-Prince', '[X] is located in [Y] .', 'Port-au-Prince')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__es', 'mbert_base__zh']",4
"('Q2071905', 'P127', 'Q9531')","('BBC Worldwide', '[X] is owned by [Y] .', 'British Broadcasting Corporation')",,"['mbert_base__nl', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__el']",4
"('Q1244922', 'P279', 'Q12323')","('embankment dam', '[X] is a subclass of [Y] .', 'dam')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__he']",4
"('Q17', 'P37', 'Q5287')","('Japan', 'The official language of [X] is [Y] .', 'Japanese')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__el']",4
"('Q172385', 'P36', 'Q652098')","('Firozpur District', 'The capital of [X] is [Y] .', 'Firozpur')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__es', 'mbert_base__mr']",4
"('Q504272', 'P1001', 'Q183')","('Vice-Chancellor of Germany', '[X] is a legal term in [Y] .', 'Germany')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",4
"('Q591346', 'P127', 'Q54718')","('Yle TV1', '[X] is owned by [Y] .', 'Yle')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__el']",4
"('Q3276071', 'P1001', 'Q32')","('Grand Duke of Luxembourg', '[X] is a legal term in [Y] .', 'Luxembourg')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__zh', 'mbert_base__vi']",4
"('Q38', 'P530', 'Q36')","('Italy', '[X] maintains diplomatic relations with [Y] .', 'Poland')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__tr', 'mbert_base__yo']",4
